timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
202552,-0.153125,-0.119628906,-0.3158203,-4.0893555,-9.887695,-0.5493164,99.83826,-78.64563,88.51075
202569,-0.095703125,-0.20576172,-0.35410157,-5.004883,-12.023926,-1.0375977,100.66223,-78.60718,88.51075
202586,0.0,-0.2296875,-0.30146486,-5.9814453,-12.939453,-0.6713867,101.60156,-78.54675,88.51075
202603,0.124414064,-0.17705078,-0.21533203,-6.8969727,-12.207031,-1.4648438,102.76611,-78.497314,88.51289
202620,0.19140625,-0.25839844,-0.13398437,-6.958008,-10.620117,-1.7089844,103.48572,-78.44238,88.51289
202637,0.2536133,-0.35888672,-0.095703125,-6.286621,-6.225586,-1.7089844,104.122925,-78.38745,88.51289
202654,0.05263672,-0.32060546,-0.21533203,-6.7749023,-5.79834,-0.91552734,104.45801,-78.359985,88.51289
202671,-0.043066405,-0.32539064,-0.26796874,-7.873535,-7.6293945,0.7324219,104.89746,-78.349,88.51289
202688,-0.11484375,-0.33496094,-0.23447266,-9.033203,-9.82666,2.0751953,105.69397,-78.343506,88.51289
202705,-0.13876954,-0.35888672,-0.2536133,-10.375977,-13.122559,3.2958984,106.517944,-78.349,88.51289
202722,0.11484375,-0.5167969,-0.08613281,-9.460449,-12.6953125,5.432129,107.78137,-78.38745,88.51289
202739,0.24882813,-0.459375,0.0047851563,-8.117676,-11.230469,6.1035156,108.64929,-78.43689,88.51289
202756,0.29667968,-0.3732422,0.08134766,-6.0424805,-10.192871,5.6762695,109.42383,-78.5083,88.51289
202773,0.20097657,-0.34931642,0.13398437,-4.9438477,-10.986328,5.1879883,110.478516,-78.54675,88.51289
202790,0.17226562,-0.44023436,0.14355469,-3.2958984,-11.108398,4.3945312,111.31897,-78.57422,88.51289
202807,0.10048828,-0.47851562,0.153125,-0.9765625,-11.291504,4.1503906,112.48901,-78.60718,88.51611
202824,0.10527344,-0.40673828,0.26796874,0.9765625,-12.023926,3.2958984,113.42285,-78.60718,88.51611
202841,0.17226562,-0.32539064,0.4354492,4.4555664,-12.207031,0.91552734,114.32922,-78.585205,88.51611
202858,0.41152343,-0.4354492,0.6699219,8.972168,-7.507324,-1.0986328,115.26306,-78.54675,88.51611
202875,0.30146486,-0.4258789,0.71298826,14.038086,-5.6152344,-3.2348633,115.69153,-78.50281,88.518265
202892,0.023925781,-0.2727539,0.7512695,17.700195,-7.6904297,-6.8359375,116.21887,-78.38745,88.52041
202909,0.019140625,-0.2631836,0.84697264,19.226074,-10.559082,-9.155273,116.74072,-78.22815,88.52041
202926,-0.119628906,-0.25839844,0.83740234,20.874023,-14.282227,-13.183594,117.317505,-78.030396,88.52041
202943,0.08613281,-0.54072267,0.98095703,23.498535,-13.916016,-14.038086,118.201904,-77.700806,88.52041
202960,0.24404296,-0.43066406,1.2202148,26.428223,-12.329102,-16.296387,118.69629,-77.44263,88.52041
202977,0.38759765,-0.30625,1.5168946,30.944824,-9.338379,-19.104004,119.053345,-77.08557,88.52041
202994,0.30625,-0.2631836,1.559961,34.362793,-7.9345703,-21.728516,119.10828,-76.79443,88.518265
203011,0.05263672,-0.27753907,1.5408204,37.109375,-11.413574,-22.766113,119.27307,-76.47583,88.518265
203028,0.13398437,-0.34931642,1.6795899,40.222168,-12.878418,-23.68164,119.67407,-76.00891,88.518265
203045,0.2727539,-0.34931642,1.8901367,42.72461,-12.451172,-24.719238,120.00366,-75.651855,88.51611
203062,0.48808593,-0.4354492,2.024121,48.339844,-10.009766,-26.306152,120.47058,-75.1355,88.51611
203079,0.5072266,-0.44023436,2.138965,52.124023,-11.901855,-28.076172,120.97595,-74.696045,88.50539
203096,0.8708984,-0.6029297,2.359082,58.83789,-15.869141,-26.794434,121.728516,-74.245605,88.50539
203113,1.4307617,-0.29189453,2.6844726,65.42969,-17.76123,-28.198242,122.91504,-73.59192,88.50539
203130,1.9858398,0.20576172,2.9476562,70.007324,-20.874023,-30.334473,123.986206,-73.064575,88.50539
203147,3.5027344,0.83261716,3.2060547,80.200195,-18.554688,-32.836914,125.38696,-72.30652,88.50539
