timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1424952,0.023925781,-0.55507815,0.28710938,0.0,0.6713867,-5.6152344,-172.42493,-73.22388,86.29846
1424969,0.1961914,-1.0479492,0.29189453,3.9672852,3.0517578,-3.4179688,-172.47437,-73.26782,86.29846
1424986,-0.066992186,-0.56464845,0.28710938,6.4086914,6.0424805,-4.8828125,-172.38098,-73.410645,86.29632
1425003,-0.19140625,-0.6603516,0.22490235,8.117676,2.380371,-4.4555664,-172.39197,-73.47656,86.29632
1425020,-0.0765625,-0.55986327,0.4354492,10.253906,2.8076172,-5.3100586,-172.32056,-73.54248,86.29632
1425037,-0.31103516,-0.5167969,0.3828125,11.84082,-0.061035156,-6.652832,-172.40845,-73.602905,86.29632
1425054,-0.08613281,-0.57900393,0.48330078,14.953613,1.4038086,-6.7749023,-172.40845,-73.64136,86.29632
1425071,-0.10527344,-0.55029297,0.4258789,16.723633,0.4272461,-10.131836,-172.58972,-73.690796,86.29632
1425088,0.009570313,-0.72734374,0.47373047,19.226074,1.4038086,-10.803223,-172.73254,-73.74573,86.29632
1425105,-0.033496093,-0.7225586,0.49765626,21.972656,1.3427734,-12.512207,-172.88635,-73.811646,86.29632
1425122,-0.43066406,-0.5455078,0.41630858,23.132324,-4.638672,-14.709473,-173.24341,-73.82263,86.29632
1425139,-0.81347656,-0.5072266,0.38759765,21.484375,-13.793945,-17.700195,-173.74878,-73.690796,86.29632
1425156,-0.58378905,-1.0910156,0.57900393,23.68164,-13.977051,-18.981934,-174.43542,-73.4436,86.29632
1425173,-0.3301758,-1.4929688,0.57900393,28.564453,-5.3710938,-20.019531,-174.84192,-73.35571,86.29632
1425190,-0.45458984,-1.469043,0.47373047,33.691406,1.8310547,-21.606445,-175.16602,-73.38318,86.29632
1425207,-0.7416992,-1.0144532,0.5024414,34.66797,3.3569336,-23.498535,-175.68787,-73.48755,86.2931
1425224,-1.2919922,-0.71777344,0.32060546,35.095215,-3.4179688,-25.57373,-176.28662,-73.50952,86.2931
1425241,-1.1627929,-0.9283203,0.3732422,38.269043,-14.709473,-23.010254,-177.0282,-73.306274,86.2931
1425258,-0.83740234,-0.8852539,0.6412109,42.785645,-15.869141,-22.277832,-177.40173,-73.09204,86.2931
1425275,-0.54072267,-0.765625,0.92353517,50.598145,-12.329102,-21.118164,-177.70935,-72.90527,86.2931
1425292,-0.10048828,-0.47373047,1.2106445,56.152344,-5.493164,-21.057129,-177.87415,-72.81189,86.2931
1425309,-0.27753907,-0.32539064,0.84697264,60.424805,-9.765625,-21.78955,-178.00598,-72.74597,86.2931
1425326,0.057421874,-0.36367187,0.6651367,65.24658,-14.831543,-19.042969,-177.92358,-72.526245,86.2931
1425343,0.3828125,-0.3301758,0.6459961,68.42041,-16.601562,-18.737793,-177.79724,-72.317505,86.290955
1425360,0.9283203,-0.14355469,0.8948242,73.42529,-9.277344,-18.676758,-177.55005,-72.17468,86.290955
1425377,1.2154297,0.13398437,0.8756836,76.9043,-6.7749023,-17.700195,-177.22046,-72.09778,86.290955
1425394,1.1005859,0.59814453,0.7751953,77.697754,-8.666992,-16.113281,-176.85791,-72.04285,86.287735
1425411,1.225,1.1532227,0.59814453,77.697754,-17.39502,-15.319824,-176.51733,-71.82312,86.28023
1425428,1.5982422,1.5886719,0.61728513,76.416016,-19.104004,-16.296387,-176.25916,-71.60889,86.28023
1425445,2.2873046,1.4307617,0.6651367,78.97949,-14.038086,-14.953613,-176.05042,-71.36719,86.28023
1425462,2.6461914,1.8135742,0.765625,78.308105,-6.8969727,-16.662598,-175.44067,-71.21887,86.28023
1425479,2.789746,1.684375,0.49765626,80.62744,-2.746582,-15.380859,-174.99023,-71.16943,86.28023
1425496,2.7658203,2.3303711,0.05263672,79.58984,-3.6010742,-15.930176,-174.28711,-71.14746,86.28023
1425513,3.119922,2.1868165,0.057421874,81.05469,-3.2348633,-11.962891,-173.70483,-71.103516,86.27808
1425530,3.1773438,2.971582,-0.05263672,80.322266,-5.3100586,-12.268066,-173.04016,-71.06506,86.27808
1425547,3.8472657,3.8185546,-0.6125,80.99365,-5.79834,-7.3242188,-172.03491,-70.97717,86.27271
1425564,5.1296873,5.455078,-1.8901367,77.819824,-10.314941,-9.765625,-171.29333,-70.86182,86.2695
