timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
964733,-0.2727539,-0.6555664,-0.47373047,3.7231445,-2.8076172,-9.155273,125.996704,-37.523804,87.02588
964750,0.55029297,-0.79433596,-0.12919922,3.90625,1.6479492,-1.7700195,126.05713,-37.47986,87.02588
964767,1.5121094,-0.7895508,0.28232422,7.507324,17.211914,-1.2817383,126.09009,-37.628174,87.02588
964784,1.378125,-0.8756836,0.2536133,10.498047,27.22168,0.79345703,126.00769,-37.91931,87.02588
964801,0.71298826,-0.60771483,-0.1866211,12.634277,37.719727,0.61035156,125.826416,-38.430176,87.02588
964818,0.20576172,-0.70341796,-0.59335935,13.061523,35.7666,1.953125,125.722046,-38.792725,87.02266
964835,0.0,-0.70820314,-0.83261716,12.023926,19.89746,5.1879883,125.73303,-39.09485,87.02266
964852,0.40673828,-0.68427736,-0.56464845,11.230469,9.643555,8.300781,125.9198,-39.385986,87.02266
964869,1.1388671,-0.70341796,-0.24882813,12.756348,9.765625,9.277344,126.11206,-39.622192,87.020515
964886,1.8183594,-0.8661133,0.08134766,19.714355,24.475098,8.483887,126.30432,-40.039673,87.020515
964903,1.8805664,-1.0240234,0.36367187,25.756836,35.27832,9.765625,126.40869,-40.424194,87.020515
964920,1.7992188,-0.56943357,0.5455078,31.921387,50.04883,7.1411133,126.45264,-40.929565,87.01515
964937,1.0048828,-0.29667968,0.3828125,35.7666,49.804688,7.080078,126.485596,-41.715088,87.01515
964954,0.6220703,-0.043066405,0.09091797,36.315918,44.067383,4.760742,126.57349,-42.23694,87.01515
964971,0.61728513,-0.48808593,-0.019140625,37.53662,33.87451,3.4179688,126.82617,-42.75879,87.01515
964988,1.2154297,-0.85654294,0.124414064,41.19873,34.851074,1.5869141,127.07886,-43.148804,87.01515
965005,1.8183594,-1.1675781,0.5263672,50.04883,47.11914,-1.3427734,127.337036,-43.533325,87.01515
965022,1.9475586,-0.82304686,1.1340821,55.480957,58.166504,-5.6152344,127.54578,-44.1156,87.01515
965039,1.8470703,-0.56464845,1.2154297,60.668945,71.28906,-10.7421875,127.56775,-44.626465,87.020515
965056,0.7704102,-0.41152343,0.7560547,64.51416,74.157715,-21.362305,127.41394,-45.302124,87.020515
965073,0.0,-0.6555664,0.46894532,65.24658,65.36865,-25.268555,127.32605,-45.670166,87.02266
965090,-0.13398437,-0.8613281,0.27753907,65.7959,51.51367,-29.35791,127.34802,-45.911865,87.02266
965107,0.08613281,-1.0192382,0.35888672,66.65039,47.11914,-31.433105,127.51282,-46.071167,87.02266
965124,0.94267577,-0.8708984,0.83740234,66.345215,48.828125,-36.010742,127.6062,-46.14807,87.02266
965141,2.1246095,-1.1292969,1.4164063,73.97461,73.18115,-43.945312,127.457886,-46.290894,87.02266
965158,2.138965,-1.1292969,1.440332,81.17676,91.4917,-50.78125,127.10083,-46.499634,87.02266
965175,1.593457,-1.1101563,1.2393554,87.890625,96.92383,-55.41992,126.65588,-46.713867,87.02266
965192,0.7321289,-0.82783204,0.8900391,90.63721,83.49609,-59.753418,126.14502,-46.94458,87.02266
965209,0.67470706,-0.85654294,0.8852539,92.40723,68.90869,-59.265137,125.996704,-46.9281,87.02266
965226,2.1006837,-0.29189453,1.469043,92.28516,70.3125,-67.56592,125.842896,-46.724854,87.02266
965243,2.9763672,-0.95703125,1.6556641,100.46387,86.242676,-70.739746,125.617676,-46.58203,87.02266
965260,3.5936522,-1.0288086,1.808789,114.01367,101.80664,-72.509766,125.33203,-46.5271,87.02588
965277,3.7515626,-0.6412109,2.45,124.75586,109.86328,-73.54736,124.98596,-46.56006,87.02588
965294,3.7180665,0.12919922,2.5552735,137.87842,105.46875,-71.28906,124.93652,-46.59851,87.02588
965311,4.6607423,2.1246095,2.4834962,154.84619,83.92334,-66.589355,125.458374,-46.554565,87.02588
965328,7.622754,3.9094727,4.12959,167.41943,64.51416,-65.979004,126.414185,-46.37329,87.02588
965345,14.489453,5.914453,7.957715,189.51416,103.45459,-77.51465,127.38098,-46.14807,87.02588
965362,25.323048,9.125293,14.494238,226.80664,144.16504,-100.89111,128.46313,-46.235962,87.02588
965379,32.993652,14.7574215,18.595118,241.1499,243.77441,-124.75586,128.30383,-46.82373,87.02588
965396,31.993555,25.911621,15.838867,245.54443,362.91504,-159.17969,125.667114,-48.24646,87.02588
965413,25.375683,35.697266,8.292676,119.56787,389.52637,-169.25049,121.37146,-49.44397,87.02588
965430,13.355371,30.203907,-9.785645,-50.231934,520.2637,-294.4336,113.24707,-48.31787,87.05699
965447,-2.8041015,29.208593,-32.98408,-388.24463,433.5327,-241.82129,96.96533,-45.648193,87.07523
965464,-11.584864,16.480078,-45.703026,-660.2173,119.018555,-40.039062,85.78125,-44.263916,87.08918
965481,-12.283496,0.85654294,-56.885937,-1018.85986,-25.512695,150.63477,66.97815,-45.725098,87.10742
965498,-15.580469,-11.221191,-62.264454,-1178.772,-84.59473,220.09277,49.0979,-48.95508,87.12029
965515,-23.595606,-15.843653,-67.46592,-1293.5791,-369.38477,387.6953,28.899536,-53.206787,87.138535
965532,-42.3917,-26.260937,-71.44717,-1270.813,-925.10986,744.1406,-15.128174,-66.94519,87.15248
965549,-23.208008,-45.81787,-52.909473,-916.07666,-1296.875,1127.5024,-87.79175,-65.945435,87.17072
965566,42.554394,-22.351465,3.0912108,-483.45947,-632.1411,1029.9072,-117.68005,-40.12207,87.17072
965583,36.104004,-6.062793,17.059082,-216.73584,-314.20898,820.3125,-121.44287,-25.378418,87.17072
965600,22.892187,12.996485,17.987402,-30.334473,-20.812988,425.65918,-121.64612,-14.397583,87.17072
965617,1.5456054,20.997265,6.000586,22.094727,23.132324,127.56348,-121.04736,-11.436768,87.17072
965634,3.7228515,14.408106,0.46416014,70.06836,80.200195,-110.83984,-120.338745,-12.425537,87.205055
965651,4.679883,6.976758,-2.0624022,116.21094,139.03809,-326.29395,-118.756714,-18.457031,87.24475
965668,3.3256836,4.048242,-0.6794922,151.79443,212.52441,-435.36377,-116.88904,-25.471802,87.27908
965685,-0.57900393,0.91875,-1.7274414,188.41553,252.62451,-488.46436,-114.11499,-33.52478,87.355255
965702,-3.4644532,-1.9571289,-4.7612305,228.6377,273.37646,-480.34668,-108.671265,-44.560547,87.39281
965719,-5.383301,-2.636621,-7.254297,244.20166,245.60547,-416.25977,-102.86499,-52.01477,87.42928
965736,-5.684766,-2.2490234,-7.6036134,227.35596,191.65039,-346.8628,-93.47717,-60.144653,87.463615
965753,-4.6320314,-2.2107422,-6.7518554,201.17188,171.26465,-276.18408,-85.35278,-64.57214,87.49795
965770,-5.2253904,-1.4211915,-5.9575195,148.86475,101.68457,-195.86182,-76.761475,-67.7417,87.49795
965787,-3.3304687,-1.1723633,-4.9861326,108.58154,78.85742,-144.22607,-66.95618,-70.41138,87.49795
965804,-3.1007812,-0.7704102,-4.8665037,70.43457,28.564453,-100.5249,-61.73767,-71.66931,87.49795
965821,-1.6030273,0.3158203,-4.0291014,26.367188,-5.6152344,-60.11963,-58.21106,-72.89429,87.49795
965838,-1.0479492,0.80390626,-3.4166017,2.380371,-24.353027,-39.611816,-57.63977,-73.63037,87.49795
965855,-0.8804687,1.7992188,-2.5887694,-20.080566,-44.006348,-22.583008,-58.485718,-74.27307,87.49795
965872,0.08613281,1.9571289,-1.2776368,-29.052734,-50.354004,-15.136719,-61.38611,-75.113525,87.495804
965889,1.1675781,1.9523437,-0.55507815,-30.395508,-46.569824,-11.474609,-64.03931,-75.651855,87.495804
965906,1.6317383,1.9092773,-0.521582,-22.888184,-24.963379,-13.977051,-66.48926,-76.16272,87.495804
965923,1.1723633,1.9092773,-0.93789065,-15.869141,-13.48877,-17.822266,-67.335205,-76.48682,87.495804
965940,0.0,1.9236329,-1.3350586,-7.751465,-19.104004,-22.766113,-67.79114,-76.90979,87.492584
965957,-0.8900391,2.019336,-1.3302734,-4.638672,-37.353516,-25.08545,-69.49402,-77.56897,87.492584
965974,-0.18183593,2.0958984,-1.0000976,-1.5869141,-42.23633,-28.137207,-71.63635,-78.15674,87.492584
965991,0.93310547,1.7705078,-0.54072267,5.6152344,-28.808594,-32.104492,-74.25659,-79.02466,87.492584
966008,1.3685547,1.5791016,-0.5072266,12.756348,-4.760742,-34.729004,-74.23462,-79.60144,87.492584
966025,1.1675781,1.3589844,-0.67470706,20.202637,24.230957,-41.503906,-72.1582,-80.3595,87.492584
966042,0.49765626,1.0335938,-1.0910156,24.047852,35.339355,-42.3584,-66.61011,-80.842896,87.492584
966059,-0.57900393,1.2106445,-1.9954102,23.31543,30.334473,-48.828125,-61.42456,-81.28784,87.4883
966076,-1.5264648,1.0958008,-2.942871,20.812988,13.183594,-50.109863,-55.057983,-81.919556,87.46898
