timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
686508,3.2969728,5.3115234,-4.59375,12.939453,157.71484,1.8310547,101.69495,-65.181885,87.37993
686525,3.5649414,5.0626955,-4.6081057,2.5024414,170.89844,7.9956055,96.98181,-65.46753,87.38959
686542,3.1055665,3.8568358,-5.144043,-5.126953,206.72607,10.986328,89.34082,-65.65979,87.400314
686559,2.1006837,3.6415038,-6.278125,-12.878418,228.69873,15.197754,82.75452,-65.50598,87.400314
686576,1.253711,3.5266602,-7.8189454,-25.268555,248.35205,20.019531,75.79468,-65.028076,87.41105
686593,-0.40195313,3.612793,-9.560742,-37.597656,241.69922,22.888184,67.0166,-63.85254,87.41105
686610,-2.2538085,4.172656,-10.489062,-56.884766,217.10205,24.658203,61.52893,-62.698975,87.41105
686627,-3.8137696,4.4358397,-10.757031,-94.23828,176.14746,33.87451,56.94214,-61.24878,87.41105
686644,-4.3975587,3.459668,-10.441211,-118.53027,163.75732,37.78076,51.377563,-60.238037,87.41105
686661,-4.0003905,2.1006837,-10.297656,-137.20703,172.30225,44.799805,47.125854,-59.27124,87.46147
686678,-3.9046874,0.73691404,-10.603907,-144.40918,181.03027,48.40088,41.116333,-57.83203,87.50653
686695,-4.689453,0.3732422,-11.551367,-158.14209,181.51855,49.560547,36.584473,-56.62903,87.55696
686712,-6.1393557,-0.5455078,-12.771582,-189.51416,160.64453,54.6875,30.536499,-55.057983,87.60631
686729,-7.2112303,-1.440332,-12.278711,-213.31787,136.2915,65.30762,25.768433,-54.20105,87.651375
686746,-7.3021483,-2.0336914,-11.120703,-238.40332,120.84961,76.66016,20.615845,-53.514404,87.75437
686763,-6.546094,-3.430957,-9.445898,-244.99512,128.90625,85.69336,12.766113,-52.597046,87.79943
686780,-6.125,-4.2875,-8.330957,-239.31885,162.53662,95.947266,6.091919,-51.229248,87.84985
686797,-7.560547,-3.919043,-8.948242,-252.01416,184.2041,90.69824,-2.5323486,-48.19153,87.84985
686814,-8.900391,-3.8520508,-8.943457,-242.49268,194.2749,116.1499,-8.668213,-45.214233,87.84985
686831,-9.699512,-3.4979491,-10.029688,-263.61084,177.18506,122.43652,-14.529419,-42.039185,87.84985
686848,-9.871778,-5.2158203,-10.340723,-270.87402,168.51807,139.95361,-22.247314,-37.650146,87.84985
686865,-10.134961,-5.3402343,-10.646973,-277.16064,152.64893,155.57861,-28.00415,-34.244385,87.87882
686882,-10.780957,-4.957422,-9.441113,-287.29248,134.46045,182.8003,-35.57373,-29.509277,87.934616
686899,-11.18291,-4.134375,-8.517578,-295.77637,119.87305,203.61328,-41.220703,-25.708008,87.96358
686916,-11.824121,-3.6367188,-7.905078,-301.63574,73.48633,238.40332,-46.862183,-20.43457,87.98933
686933,-12.412695,-3.9238281,-6.44082,-305.66406,27.893066,271.11816,-54.365845,-16.408081,88.01615
686950,-11.556152,-5.1966796,-4.383203,-298.82812,7.6904297,308.04443,-59.80957,-12.035522,88.04512
686967,-9.340625,-5.249316,-3.0768554,-277.64893,12.023926,335.20508,-66.30249,-5.5151367,88.07731
686984,-9.517675,-5.450293,-2.8615234,-257.01904,10.314941,359.80225,-70.55969,-0.10986328,88.10306
687001,-10.010547,-5.675195,-2.2873046,-230.28564,-9.765625,383.8501,-74.30603,5.5700684,88.10306
687018,-9.3980465,-5.684766,-0.61728513,-212.52441,-24.108887,398.37646,-78.513794,13.573608,88.10306
687035,-7.766309,-6.11543,0.82783204,-191.40625,-34.484863,406.12793,-81.07361,19.654541,88.10306
687052,-5.813965,-7.0389647,3.3831055,-146.24023,-15.319824,421.75293,-83.57849,28.048096,88.10306
687069,-4.5793943,-6.436035,4.2205076,-106.38428,28.381348,432.8003,-84.990234,34.508057,88.0934
687086,-6.278125,-3.9668946,2.359082,-75.62256,26.794434,437.6831,-86.23169,41.154785,88.08267
687103,-7.445703,-1.378125,1.4451172,-63.23242,9.277344,444.88525,-87.37427,50.17456,88.068726
687120,-6.0675783,0.84697264,1.4833984,-48.706055,7.019043,458.61816,-87.8302,57.156372,88.05799
687137,-5.0722656,4.3162107,0.8804687,-30.456543,25.024414,471.61865,-88.203735,66.89575,88.03761
687154,-2.45,10.713964,-0.32539064,-18.127441,69.0918,480.77393,-90.93933,74.49829,88.021515
687171,-2.0384765,17.805567,-3.1007812,-31.25,153.38135,487.54883,-104.35913,82.07886,88.01401
687188,-4.1822267,28.079296,-10.881445,-69.33594,212.89062,474.54834,154.98413,83.534546,88.00328
687205,-5.943164,35.658985,-20.07373,-147.58301,251.70898,445.3125,132.68738,76.0199,88.00328
687222,-12.986914,46.09541,-31.582031,-279.90723,193.54248,371.09375,123.50281,66.42883,88.00328
687239,-9.63252,55.416893,-33.988964,-400.14648,116.45508,248.10791,117.02637,61.237793,88.00328
687256,1.7370117,70.10732,-37.257225,-577.2705,74.58496,-117.43164,110.98938,59.00757,88.00328
687273,29.24209,72.32285,-53.962208,-681.4575,56.57959,-520.93506,104.21631,64.06128,88.066574
687290,58.646873,59.321583,-71.600296,-776.12305,53.588867,-964.84375,103.584595,75.2948,88.129875
687307,104.84277,38.386524,-80.26621,-851.0132,17.51709,-1584.9609,-108.984375,77.838135,88.19318
687324,146.54062,25.600586,-73.217674,-819.15283,92.34619,-1864.9292,-106.25427,51.427002,88.25648
687341,-153.34512,12.077734,-44.48281,-224.97559,463.8672,-1989.685,-110.67078,11.096191,88.317635
687358,152.91924,14.369824,10.393359,554.0161,890.68604,1999.6338,-107.79785,-23.197632,88.380936
687375,134.68779,-47.703224,10.584765,1488.3423,1276.8555,-1860.1685,-74.2511,-54.77234,88.44423
687392,52.292187,-75.304,-46.93281,1726.7456,1410.7056,-1393.3105,10.008545,-49.449463,88.57083
687409,-21.57627,-35.859962,-109.61836,1220.3369,1169.1284,155.88379,30.706787,-27.756958,88.57083
687426,-64.67139,24.811035,-84.089554,622.0093,-296.08154,200.13428,46.16455,-29.388428,88.57083
687443,-6.5173826,65.700195,-5.4311523,223.99902,-375.8545,146.85059,59.968872,-33.425903,88.57083
687460,-4.842578,52.22998,3.5266602,-107.36084,-428.833,87.21924,63.742676,-35.804443,88.57083
687477,21.451855,20.872852,5.943164,-307.312,-222.53418,122.49756,64.40735,-40.303345,88.57083
687494,16.561426,13.403223,4.780371,-358.03223,-101.867676,172.85156,59.65576,-44.000244,88.51075
687511,0.8756836,13.235743,3.8520508,-379.5166,-205.44434,160.82764,55.17334,-46.224976,88.39381
687528,4.5746093,8.823828,4.1056643,-347.53418,-325.98877,138.5498,51.83899,-50.690918,88.333725
687545,19.174122,0.34453124,10.871875,-227.47803,-247.19238,110.5957,49.96582,-55.129395,88.27794
687562,21.74375,-1.2919922,12.905566,-10.375977,45.715332,28.381348,46.42273,-57.453003,88.21678
687579,10.154101,1.4451172,4.5411134,85.632324,131.34766,-23.55957,44.65393,-56.381836,88.1567
687596,-0.27753907,2.8854492,-2.9667969,125.24414,44.677734,-65.24658,46.58203,-54.959106,88.10091
687613,-0.57900393,1.6508789,-4.033887,124.02344,20.568848,-77.75879,52.558594,-53.459473,88.03976
687630,-0.13398437,0.119628906,-3.119922,123.71826,44.86084,-74.401855,56.184082,-52.443237,88.03976
687647,-0.6555664,-0.80390626,-3.4979491,116.51611,82.70264,-58.532715,58.754883,-51.036987,88.03976
