timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1573388,-0.94746095,0.8661133,0.67470706,-18.066406,-6.591797,-30.395508,-75.877075,11.711426,86.77161
1573405,-1.1675781,1.1197265,0.7416992,-26.733398,-10.009766,-39.916992,-76.22864,11.156616,86.774826
1573422,-0.8613281,0.5167969,0.56943357,-36.499023,-37.353516,-49.194336,-76.79993,10.206299,86.774826
1573439,-0.59814453,0.23447266,0.82304686,-37.53662,-53.771973,-48.828125,-77.2229,9.338379,86.774826
1573456,0.61728513,-0.0765625,1.5360352,-32.836914,-46.447754,-52.612305,-77.72827,8.091431,86.774826
1573473,0.71298826,0.1866211,2.0384765,-26.550293,-32.53174,-60.668945,-78.10181,7.124634,86.774826
1573490,0.6220703,0.11484375,2.2681642,-20.568848,-25.32959,-71.71631,-78.44238,5.6799316,86.77161
1573507,0.8661133,-0.3828125,2.3399415,-14.038086,-22.521973,-78.49121,-78.777466,4.493408,86.76624
1573524,1.0288086,-0.55986327,2.359082,-9.094238,-22.888184,-83.6792,-78.931274,3.213501,86.7641
1573541,2.3495116,-0.8900391,2.512207,-0.24414062,-10.070801,-90.69824,-78.9917,1.4117432,86.755516
1573558,3.493164,-1.5791016,2.9189453,13.366699,13.244629,-94.7876,-78.881836,0.060424805,86.753365
1573575,3.8376954,-1.8949219,3.0768554,32.043457,47.973633,-94.42139,-78.359985,-1.6589355,86.748
1573592,3.4692383,-1.4164063,3.119922,44.921875,63.842773,-92.34619,-77.69531,-2.8509521,86.74478
1573609,3.6367188,-1.253711,3.1629882,54.260254,75.25635,-81.90918,-76.85486,-3.8616943,86.74264
1573626,3.708496,-1.3350586,2.727539,63.90381,90.88135,-61.157227,-75.476074,-4.828491,86.74264
1573643,3.7228515,-1.3446289,2.1628907,67.993164,101.379395,-40.71045,-74.32251,-5.1361084,86.74264
1573660,3.402246,-1.0910156,1.6269531,70.007324,115.66162,-13.000488,-73.11401,-5.059204,86.74264
1573677,2.234668,-0.6364258,0.84697264,61.706543,116.63818,10.7421875,-71.5979,-4.3780518,86.74264
1573694,2.076758,-0.70820314,0.45458984,50.04883,120.84961,35.88867,-70.68054,-3.4057617,86.74264
1573711,1.8422852,-1.2441406,-0.23925781,35.64453,125.183105,62.62207,-69.77966,-1.6314697,86.74049
1573728,1.0479492,-1.1771485,-0.7704102,21.30127,126.64795,85.20508,-69.400635,0.07141113,86.74049
1573745,-0.34453124,-0.68427736,-1.4211915,-2.8686523,119.07959,114.74609,-69.32373,2.8839111,86.74049
1573762,-2.665332,0.062207032,-2.7418945,-25.939941,103.57666,138.12256,-69.818115,5.3997803,86.73513
