timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
465719,-1.0670898,1.0240234,-0.4928711,-45.410156,75.19531,38.45215,-69.04907,-44.066162,87.84985
465736,-1.4451172,0.8852539,-0.7225586,-50.53711,69.64111,43.945312,-69.06006,-43.077393,87.86058
465753,-1.2776368,0.81347656,-0.22490235,-60.72998,65.24658,45.532227,-69.40613,-41.73706,87.86058
465770,-0.60771483,-0.4498047,0.08134766,-57.18994,81.4209,46.50879,-69.576416,-40.665894,87.86058
465787,-0.5359375,-0.8708984,-0.03828125,-50.964355,105.83496,50.1709,-69.488525,-39.42444,87.86058
465804,-1.4642578,-0.5167969,-0.40195313,-50.65918,114.56299,52.124023,-69.16992,-37.617188,87.86058
465821,-2.3303711,-0.5072266,-1.0910156,-53.833008,113.586426,56.152344,-68.95569,-36.23291,87.86058
465838,-3.4740233,-0.41152343,-1.3063476,-57.006836,103.515625,70.80078,-69.00513,-34.27185,87.868095
465855,-3.3161132,-0.5072266,-1.0048828,-57.922363,105.285645,83.00781,-69.20288,-32.60742,87.87346
465872,-3.3113282,-0.2631836,-0.6029297,-52.734375,118.71338,103.21045,-69.36218,-30.706787,87.87668
465889,-3.8999023,0.57900393,-0.5120117,-47.790527,125.061035,118.4082,-69.51599,-27.773438,87.88097
465906,-4.689453,1.1292969,-0.8900391,-47.790527,120.42236,134.21631,-69.70276,-25.3125,87.88633
465923,-5.2923827,0.83261716,-1.3637695,-53.588867,105.407715,160.40039,-70.285034,-21.730957,87.88955
465940,-5.1918945,0.54072267,-1.3350586,-57.556152,94.60449,181.03027,-70.92224,-18.770142,87.90028
465957,-4.5219727,0.21054688,-0.9953125,-56.762695,93.99414,196.5332,-71.66382,-15.595093,87.90243
465974,-4.383203,0.08613281,-0.81826174,-55.05371,92.7124,215.82031,-72.67456,-10.914917,87.90243
465991,-4.7277346,0.047851562,-0.47373047,-55.96924,87.524414,228.27148,-73.47656,-7.168579,87.90243
466008,-5.1871095,-0.46416014,-0.0765625,-56.518555,76.35498,243.04199,-74.575195,-2.1588135,87.90243
466025,-5.115332,-1.1292969,0.23925781,-55.358887,69.33594,259.52148,-75.41565,1.7907715,87.90243
466042,-4.349707,-1.7705078,0.7608398,-46.875,77.88086,265.38086,-76.20117,5.888672,87.90565
466059,-3.646289,-2.631836,0.9043945,-37.902832,90.33203,271.30127,-77.107544,11.502686,87.90565
466076,-3.493164,-2.6126952,0.6603516,-35.27832,93.07861,277.52686,-77.76123,15.858765,87.91101
466093,-4.1774416,-2.3208008,0.7799805,-30.151367,87.70752,281.9214,-78.601685,21.71997,87.913155
466110,-5.05791,-2.1054688,0.6364258,-34.362793,68.78662,287.1704,-79.21692,26.14746,87.913155
466127,-4.5506835,-2.3351562,0.153125,-29.23584,53.40576,295.10498,-79.73328,30.602417,87.916374
466144,-3.3926759,-2.6557617,0.12919922,-16.845703,61.76758,300.7202,-80.28259,36.7218,87.916374
466161,-4.7708006,-1.9810547,0.009570313,-5.3100586,73.12012,307.25098,-80.65613,41.451416,87.92066
466178,-7.259082,-0.56943357,-1.1580079,-6.225586,54.07715,323.85254,-81.00769,47.91687,87.92066
466195,-7.412207,-0.03828125,-2.296875,-17.578125,19.042969,335.63232,-80.80994,52.926636,87.92066
466212,-6.6035156,-0.55986327,-2.3303711,-24.108887,-8.117676,348.51074,-79.90906,57.98584,87.92066
466229,-4.282715,-0.8900391,-1.7561524,-13.73291,5.859375,353.51562,-77.73926,64.87976,87.92066
466246,-2.7753906,0.2296875,-1.7513672,0.061035156,34.973145,358.09326,-75.72876,70.18616,87.92066
466263,-2.722754,2.2538085,-2.727539,6.4086914,46.75293,361.8164,-71.658325,77.34924,87.92066
466280,-2.9333007,3.7324219,-3.4644532,7.6293945,54.260254,366.8213,-63.69873,82.73804,87.92066
466297,-2.784961,5.6416993,-4.498047,0.4272461,71.65527,371.39893,-22.840576,87.890625,87.92388
466314,-3.1294923,8.158691,-7.326074,-9.216309,86.18164,380.24902,83.99048,83.40271,87.92388
466331,-3.0385742,11.211621,-9.814356,-34.973145,91.24756,374.45068,92.59277,77.75574,87.92388
466348,-2.9907227,13.809961,-13.154394,-84.53369,99.731445,361.20605,96.256714,70.24658,87.92066
466365,-2.1533203,14.23584,-14.805273,-119.384766,90.88135,342.77344,96.56433,64.87976,87.92066
466382,0.49765626,15.106738,-15.862793,-159.85107,110.10742,256.16455,96.20178,58.727417,87.92066
466399,6.794922,14.39375,-16.748047,-194.39697,120.05615,221.67969,95.267944,55.17334,87.92066
466416,14.967969,19.332031,-18.51377,-215.75928,190.36865,105.22461,95.339355,52.7948,87.92066
466433,24.63877,35.328808,-28.486034,-277.83203,242.67578,-138.5498,96.35559,53.02002,87.92066
466450,37.90801,56.98164,-48.114746,-412.6587,230.46875,-443.7256,96.85547,57.634277,87.98718
466467,49.105274,62.226173,-89.78389,-746.3989,-32.592773,-991.6382,95.355835,67.81311,88.10842
466484,93.899124,38.080273,-136.74063,-1090.5762,-322.81494,-1296.0815,-15.490723,84.9353,88.17494
466501,143.79395,26.95957,-149.65097,-1482.9102,-401.00098,-1547.3633,-76.71753,63.704224,88.238235
466518,-151.67989,0.32060546,-138.55899,-1830.5054,-134.33838,-1631.1035,-105.46326,31.591187,88.30154
466535,-155.08691,0.10048828,-80.75908,-1467.4683,347.83936,-1472.9614,-126.91406,10.15686,88.36269
466552,147.43066,59.489063,-50.33506,-1050.6592,500.79346,-1534.0576,-146.8982,-10.717163,88.422775
466569,112.56123,21.461426,-38.348244,-381.65283,663.5742,-1254.6997,-169.60144,-32.003174,88.48608
466586,51.497852,-4.9765625,-27.974024,107.91016,602.478,-865.0513,179.70886,-42.874146,88.48608
466603,10.780957,11.450879,-35.21875,197.44873,35.827637,-332.70264,173.10059,-47.493896,88.48608
466620,25.629297,15.188086,-34.15166,122.25342,-307.06787,-93.13965,173.36426,-44.071655,88.48608
466637,44.262695,4.804297,-23.365917,72.631836,-295.22705,-22.277832,174.51233,-38.85315,88.48608
466654,49.40674,-11.288183,-7.766309,86.05957,-122.00928,-41.3208,175.93506,-34.573975,88.44423
466671,35.67334,-9.967481,-3.8999023,77.75879,-11.962891,-59.143066,176.74255,-33.964233,88.40239
466688,24.571777,-5.115332,-3.4453125,8.605957,-3.2348633,-103.271484,176.20422,-33.87085,88.359474
466705,22.806055,-5.9623046,-0.95703125,-49.560547,-41.3208,-146.48438,174.42993,-33.250122,88.317635
466722,24.65791,-10.278516,2.1485353,-60.72998,-2.746582,-192.99316,171.94702,-32.39868,88.22751
466739,23.586035,-13.16875,3.8089843,-12.6953125,106.68945,-212.34131,168.5028,-32.717285,88.18567
466756,8.905176,-9.110937,-5.388086,15.319824,162.29248,-254.94385,165.94849,-34.085083,88.14812
466773,14.618652,-9.426758,-1.6795899,-24.658203,82.6416,-73.97461,163.0426,-33.305054,88.10628
466790,10.847949,-1.0814453,1.2489258,-18.737793,198.7915,-62.01172,161.94946,-35.299072,88.10628
466807,-1.6173828,1.2967774,-4.531543,-83.19092,51.879883,42.48047,160.88928,-37.02942,88.10628
466824,4.4549804,-1.0623047,-4.483691,-64.39209,22.460938,41.44287,159.84009,-37.88086,88.10628
466841,6.6178713,-1.7705078,-4.483691,-29.174805,21.606445,61.645508,159.70825,-38.35327,88.10628
466858,2.9667969,1.7322266,0.043066405,16.235352,28.503418,75.805664,160.66956,-39.331055,88.02366
466875,0.82304686,2.5217774,1.0910156,43.884277,28.564453,93.01758,162.14172,-40.166016,87.94212
466892,0.08134766,1.1388671,-0.35888672,52.246094,7.6904297,107.1167,164.06982,-41.09436,87.86273
466909,0.41630858,-1.4786133,-1.8853515,51.879883,-6.286621,103.08838,166.94275,-41.42395,87.78119
466926,0.70341796,-1.8279297,-2.6126952,47.058105,-20.202637,86.79199,168.93677,-41.48987,87.7018
466943,1.3111328,-1.2345703,-1.8183594,41.931152,-28.320312,62.5,171.21094,-41.18225,87.622406
466960,1.4020507,0.20097657,-1.0575196,39.916992,-13.916016,40.83252,172.50732,-41.00647,87.54086
466977,1.2489258,0.8086914,-1.1053711,41.07666,2.8076172,26.489258,173.4961,-41.03943,87.38208
