timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
57482,0.93789065,-1.4211915,-1.287207,56.396484,75.07324,12.6953125,-0.9942627,-81.28784,88.76932
57499,0.46416014,-0.8661133,-1.3541992,45.043945,66.65039,19.28711,-1.8457031,-79.89807,88.76932
57516,0.58857423,-0.72734374,-0.8756836,34.179688,61.462402,23.376465,-3.0651855,-78.98071,88.76932
57533,1.1149414,-1.2967774,-0.5263672,31.61621,65.67383,33.569336,-4.850464,-77.76672,88.76932
57550,1.4211915,-0.98095703,-0.459375,29.296875,75.50049,31.188965,-6.5148926,-76.63513,88.76717
57567,0.73691404,-0.48330078,-0.98095703,20.446777,71.28906,37.53662,-7.9266357,-75.50903,88.76717
57584,0.35888672,-0.9043945,-0.79433596,13.427734,64.331055,49.865723,-10.338135,-74.10828,88.75859
57601,0.54072267,-0.81347656,-0.55986327,6.225586,61.157227,60.546875,-12.601318,-73.05908,88.75859
57618,1.6125977,-1.0814453,-0.043066405,17.089844,80.50537,65.979004,-15.380859,-71.33972,88.75859
57635,1.4068359,-0.8948242,0.0047851563,25.390625,92.34619,69.2749,-16.907959,-69.77966,88.75859
57652,1.0144532,-0.033496093,-0.17226562,21.54541,92.041016,75.62256,-18.171387,-68.098755,88.75859
57669,0.20097657,0.28232422,-0.81347656,14.038086,82.51953,78.36914,-19.91272,-65.97839,88.75859
57686,-0.17705078,0.14833984,-1.0048828,7.3242188,69.33594,78.308105,-21.340942,-64.56116,88.75859
57703,-0.119628906,-0.13876954,-0.83740234,3.7231445,63.78174,76.538086,-23.312988,-62.841797,88.77468
57720,0.2727539,0.009570313,-0.4354492,-3.1738281,54.19922,81.23779,-24.785156,-61.57837,88.78219
57737,0.38759765,0.057421874,-0.23925781,-4.3945312,54.626465,80.74951,-26.207886,-60.342407,88.78755
57754,0.6459961,0.10048828,-0.21054688,-3.2958984,58.288574,77.63672,-27.822876,-58.639526,88.796135
57771,0.36845702,0.30625,-0.34453124,-2.5634766,61.09619,72.75391,-28.75122,-57.332153,88.80365
57788,-0.1866211,0.5455078,-0.8517578,-5.6762695,58.166504,66.345215,-29.73999,-55.651245,88.80901
57805,-0.53115237,0.70820314,-1.2297852,-8.544922,53.527832,61.828613,-30.443115,-54.486694,88.821884
57822,-0.6603516,0.7608398,-1.4499023,-14.465332,47.48535,60.058594,-31.206665,-53.4375,88.83047
57839,-0.28232422,0.8086914,-1.4355469,-13.183594,50.04883,54.504395,-32.10205,-52.058716,88.83047
57856,-0.57900393,0.93310547,-1.6987305,-12.451172,50.842285,49.743652,-32.61841,-51.05896,88.83047
57873,-1.1149414,1.2632812,-2.1676757,-13.183594,47.302246,43.09082,-33.17871,-49.817505,88.83047
57890,-1.5073242,1.469043,-2.694043,-15.74707,41.3208,39.489746,-33.579712,-48.96057,88.83047
