timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1077105,-0.24404296,-0.10048828,0.29189453,-1.0986328,-9.765625,-9.765625,-100.59082,-8.75061,86.748
1077122,0.54072267,-0.7512695,0.043066405,-0.79345703,-7.385254,-8.728027,-100.651245,-8.904419,86.748
1077139,0.9857422,-0.41630858,-0.009570313,1.159668,4.1503906,-12.756348,-100.634766,-9.118652,86.748
1077156,0.35888672,0.0047851563,0.03828125,0.18310547,4.0283203,-17.76123,-100.62378,-9.387817,86.748
1077173,0.55986327,-0.3923828,0.29189453,-1.6479492,-0.18310547,-22.094727,-100.634766,-9.838257,86.748
1077190,2.019336,-1.6125977,0.45458984,3.9672852,7.9956055,-15.197754,-100.59631,-10.151367,86.748
1077207,3.612793,-1.9714844,0.8804687,22.766113,51.574707,0.0,-100.33264,-10.349121,86.748
1077224,3.5649414,-1.8279297,0.6603516,39.0625,76.049805,18.310547,-99.470215,-10.39856,86.748
1077241,2.3830078,-1.5647461,0.36845702,46.569824,75.13428,40.83252,-98.57483,-10.085449,86.74264
1077258,2.2107422,-2.1533203,0.13876954,44.6167,49.438477,77.27051,-97.404785,-9.069214,86.74264
1077275,2.6796875,-2.5313478,0.047851562,42.419434,35.583496,99.79248,-96.63025,-7.805786,86.74264
1077292,3.3783202,-3.124707,0.014355469,39.367676,36.193848,122.07031,-95.9491,-5.6085205,86.74478
1077309,3.675,-3.6941407,-0.023925781,42.785645,50.598145,136.23047,-95.01526,-3.7078857,86.74478
1077326,2.234668,-2.5361328,0.2296875,38.81836,47.973633,146.91162,-94.36157,-1.6369629,86.74478
1077343,1.3972657,-1.8805664,0.459375,31.677246,32.958984,155.51758,-93.63098,1.2689209,86.74478
1077360,1.746582,-1.9523437,0.459375,27.58789,23.55957,161.19385,-93.202515,3.581543,86.74478
1077377,3.3065429,-2.6126952,0.46894532,32.77588,41.381836,163.94043,-92.81799,6.8115234,86.74478
1077394,3.670215,-2.8567383,0.42109376,40.161133,59.814453,164.61182,-92.246704,9.239502,86.748
1077411,3.1151366,-2.3925781,0.3397461,46.447754,72.08252,166.74805,-91.79077,11.700439,86.753365
1077428,1.6508789,-1.3398438,0.13398437,52.978516,73.30322,171.32568,-91.13159,15.018311,86.753365
1077445,1.2967774,-0.44023436,-0.033496093,57.006836,70.739746,178.95508,-90.62073,17.60559,86.755516
1077462,1.3111328,0.4498047,0.09091797,63.537598,76.72119,189.63623,-90.10986,20.34668,86.7641
1077479,0.36367187,1.8997071,-0.009570313,71.71631,84.8999,196.3501,-89.37927,24.208374,86.7641
1077496,0.14355469,2.7371094,-0.16269532,76.171875,86.30371,203.18604,-88.85742,27.312012,86.758736
1077513,-0.33496094,3.612793,-0.20576172,76.171875,89.35547,211.54785,-88.26416,31.525269,86.76088
1077530,-0.05263672,3.5601563,-0.47373047,75.68359,88.74512,218.62793,-87.92908,34.821167,86.76088
1077547,0.071777344,3.5601563,-0.72734374,75.68359,89.35547,222.35107,-87.69287,39.34204,86.76088
1077564,0.009570313,3.9238281,-0.6603516,72.387695,89.660645,220.21484,-87.56653,42.714844,86.76088
1077581,0.30625,3.5649414,-0.6316406,68.78662,90.57617,217.83447,-87.72583,46.06018,86.76088
1077598,0.40673828,3.5601563,-0.67470706,63.171387,98.93799,211.73096,-88.445435,50.41626,86.77161
1077615,-0.70341796,3.612793,-0.42109376,59.692383,97.53418,199.09668,-89.33533,53.338623,86.78233
1077632,-0.91396487,4.1104493,-0.29189453,47.058105,102.7832,189.88037,-90.78003,56.40381,86.79307
1077649,-1.4164063,2.9333007,-0.7416992,48.706055,94.84863,201.41602,-93.26843,60.31494,86.803795
1077666,-1.0575196,3.1916993,-0.22011718,46.50879,97.839355,190.12451,-95.72388,63.270264,86.816666
1077683,-2.4404297,3.0337892,-0.35888672,43.762207,102.35596,191.46729,-100.40405,66.79138,86.8274
1077700,-3.1294923,3.4788086,-0.71298826,40.405273,101.19629,190.6128,-105.05127,69.246826,86.84027
1077717,-3.4500976,4.3927736,-1.1532227,38.57422,99.06006,187.56104,-110.928955,71.50452,86.86173
1077734,-3.1294923,6.4121094,-1.4881836,35.40039,108.52051,182.92236,-121.45935,73.932495,86.86173
1077751,-2.4308593,8.182617,-2.5791993,33.569336,125.36621,182.61719,-132.0227,75.05859,86.86173
1077768,-1.8997071,11.642285,-5.3163085,28.320312,159.24072,175.354,-148.68347,75.04761,86.86173
1077785,-1.4833984,15.948926,-8.230469,14.6484375,181.57959,167.90771,-160.73547,73.723755,86.86173
1077802,-0.8948242,21.906445,-12.278711,-16.540527,191.34521,159.48486,-170.49683,71.64734,86.87782
1077819,4.703809,35.056053,-21.518848,-65.979004,191.89453,114.68506,179.56604,67.71973,86.89069
1077836,1.8327148,52.215626,-30.720703,-92.34619,51.330566,29.418945,176.8634,66.121216,86.90357
1077853,8.350098,96.68408,-34.67803,-268.9209,-130.3711,-226.31836,177.30286,67.77466,86.9304
1077870,27.773046,90.93711,-46.995018,-467.59033,-292.1753,-596.7407,-169.96948,70.75195,86.94327
1077887,67.17881,62.48457,-48.84209,-608.8257,-337.70752,-1021.78955,-137.87292,68.115234,86.957214
1077904,113.02061,34.807228,-52.1917,-752.7466,-174.19434,-1412.2925,-115.20813,53.38257,86.96151
1077921,142.33926,12.72373,-72.06445,-938.5376,-145.26367,-1723.7549,-116.52649,32.32727,86.9776
1077938,151.9335,-36.883984,-61.66631,-728.2715,351.5625,-1642.6392,-128.99048,0.9503174,86.9776
1077955,94.70781,9.273633,-27.351954,-494.812,342.28516,-1737.4878,-140.36682,-21.445312,86.9776
1077972,41.319824,16.733692,0.71777344,-2.1972656,258.36182,-1368.3472,-151.40259,-37.611694,86.9776
1077989,18.79131,-9.407618,3.3448243,469.90967,275.39062,-793.45703,-159.68079,-50.685425,86.9776
1078006,7.866797,-4.833008,-13.422363,554.1992,134.21631,-430.17578,-161.10901,-56.21704,87.0409
1078023,6.828418,23.557323,-15.360352,329.40674,-290.1001,12.6953125,-157.06055,-54.5636,87.10206
1078040,21.916016,23.399414,-4.5746093,187.86621,-454.7119,120.910645,-155.05554,-48.15857,87.16535
1078057,41.429882,8.173047,1.3733399,169.31152,-207.39746,5.7373047,-154.82483,-42.297363,87.22651
1078074,40.826954,-12.85293,-3.0720704,204.1626,40.283203,111.6333,-150.39734,-40.48462,87.28981
1078091,22.136133,-2.3303711,-7.445703,136.47461,13.977051,134.70459,-146.2445,-39.96277,87.34989
1078108,10.613477,5.043555,2.694043,-13.61084,-152.46582,74.157715,-144.9701,-37.232666,87.46898
1078125,18.097462,-0.6125,8.062988,-66.711426,-149.41406,17.333984,-146.43127,-34.909058,87.5355
1078142,23.696095,-8.407519,7.196875,-33.38623,6.713867,-34.5459,-147.81555,-34.02466,87.5355
1078159,13.3123045,-6.220703,2.3064454,-4.0893555,80.26123,-63.78174,-148.39783,-35.392456,87.5355
1078176,2.7753906,-1.3876953,-0.23447266,-22.460938,52.734375,-73.30322,-148.86475,-36.809692,87.5355
1078193,1.7848632,1.7322266,1.7322266,-66.28418,-6.958008,-66.467285,-150.86426,-37.71057,87.5355
1078210,5.3785157,-1.1627929,2.7179687,-44.921875,7.3242188,-50.964355,-152.25403,-38.10608,87.5355
1078227,5.3163085,-1.7226562,1.9619141,-2.9907227,53.771973,-30.578613,-152.89673,-38.80371,87.291954
1078244,0.94267577,-0.32539064,-1.5503906,14.099121,62.37793,-10.009766,-152.60559,-40.094604,87.17609
1078261,-1.8997071,1.1292969,-4.033887,9.460449,31.00586,14.282227,-152.10571,-40.632935,87.05699
1078278,-1.8949219,1.1053711,-4.842578,-2.319336,-8.422852,39.0625,-151.56738,-40.39673,86.93576
1078295,-0.42109376,0.047851562,-3.9381835,2.0751953,-5.6762695,55.603027,-151.05652,-39.92981,86.816666
1078312,-0.42109376,0.46416014,-2.8950195,3.479004,-0.061035156,71.10596,-150.271,-39.46289,86.69758
1078329,-0.73691404,1.6604493,-2.4691405,-0.61035156,-9.033203,75.50049,-149.24927,-38.633423,86.57634
1078346,-0.70820314,1.775293,-2.5839844,-2.4414062,-13.85498,77.697754,-148.56812,-37.875366,86.45725
1078363,-0.6651367,1.4977539,-2.8375976,-5.3100586,-12.6953125,78.91846,-147.74963,-36.793213,86.45725
1078380,-0.30625,1.3398438,-2.6605468,-3.2348633,-8.361816,80.01709,-147.11792,-36.02417,86.45725
1078397,-0.41152343,1.9427735,-2.1820312,-9.82666,-17.8833,75.805664,-146.51367,-35.255127,86.45725
1078414,-0.6220703,1.253711,-2.0097656,-5.79834,-23.620605,74.21875,-145.94238,-34.00818,86.45725
1078431,-0.5263672,1.9427735,-1.5360352,-4.760742,-30.700684,70.19043,-145.66772,-33.04138,86.45725
1078448,1.0240234,1.1292969,-0.9953125,2.4414062,-18.188477,65.55176,-145.22278,-31.89331,86.45725
