timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
809614,-0.70820314,0.60771483,-0.1866211,11.352539,7.6293945,12.512207,-129.375,-44.626465,87.266205
809631,-0.6268555,0.4928711,-0.20576172,10.437012,6.5307617,12.268066,-129.04541,-44.53308,87.266205
809648,-0.47373047,0.4498047,-0.2727539,9.887695,5.3100586,11.535645,-128.63892,-44.40674,87.26835
809665,-0.40673828,0.4498047,-0.23447266,8.972168,4.760742,9.94873,-128.37524,-44.318848,87.27157
809682,-0.4258789,0.36367187,-0.23925781,8.544922,5.6152344,8.911133,-128.04565,-44.230957,87.27693
809699,-0.47851562,0.34931642,-0.28710938,7.9956055,5.554199,8.239746,-127.80945,-44.170532,87.27908
809716,-0.5263672,0.32060546,-0.2631836,7.019043,5.554199,6.8969727,-127.58423,-44.121094,87.28659
809733,-0.58857423,0.35410157,-0.23925781,5.6152344,3.90625,5.9814453,-127.34253,-44.055176,87.28981
809750,-0.55507815,0.34931642,-0.21533203,4.211426,2.6245117,4.0893555,-127.21619,-44.016724,87.291954
809767,-0.3158203,0.05263672,-0.17226562,4.211426,1.8920898,2.9907227,-127.09534,-43.961792,87.291954
809784,-0.095703125,-0.047851562,-0.15791015,5.6152344,4.272461,2.1972656,-126.9635,-43.9563,87.291954
809801,0.0047851563,-0.08613281,-0.11005859,8.178711,9.399414,0.36621094,-126.78223,-43.99475,87.291954
809818,0.066992186,-0.11005859,-0.08134766,10.498047,14.709473,-0.6713867,-126.4032,-44.137573,87.291954
809835,0.066992186,-0.09091797,-0.08134766,12.268066,19.40918,-2.0141602,-126.02966,-44.318848,87.291954
809852,0.23925781,-0.22011718,-0.20097657,14.465332,23.55957,-2.319336,-125.4364,-44.609985,87.291954
809869,0.41630858,-0.28710938,-0.17705078,16.845703,27.893066,-3.2348633,-124.89258,-44.87915,87.29517
809886,0.48808593,-0.42109376,-0.16269532,20.690918,34.362793,-2.4414062,-124.25537,-45.181274,87.29732
809903,0.69384766,-0.56943357,-0.043066405,25.32959,42.72461,-0.18310547,-123.14026,-45.637207,87.29732
809920,0.79433596,-0.42109376,0.062207032,29.907227,52.612305,1.0375977,-122.05261,-46.038208,87.30268
809937,1.1101563,-0.37802735,0.41152343,39.18457,71.96045,5.6762695,-120.08606,-46.66443,87.30268
809954,0.83261716,-0.028710937,0.5455078,45.47119,83.49609,10.498047,-118.21289,-47.1698,87.3059
809971,0.40195313,0.44023436,0.6125,49.194336,92.40723,17.27295,-116.05957,-47.625732,87.30268
809988,-0.17226562,0.97617185,0.44501954,49.1333,96.31348,25.512695,-112.95593,-48.065186,87.30805
810005,-0.7895508,1.5456054,0.019140625,45.715332,96.67969,33.813477,-110.55542,-48.19702,87.30805
810022,-1.5121094,1.9188477,-0.5263672,32.89795,85.38818,46.38672,-107.682495,-48.02124,87.30805
810039,-1.746582,1.9810547,-0.70341796,22.460938,77.57568,53.466797,-105.86975,-47.63672,87.30805
810056,-2.1006837,1.9332031,-0.94746095,3.6621094,62.194824,63.78174,-104.34265,-47.059937,87.30805
810073,-1.8662109,1.5121094,-0.84697264,-7.2021484,55.603027,68.0542,-102.88696,-46.0437,87.311264
810090,-1.5743164,1.6317383,-0.6220703,-17.39502,57.556152,68.0542,-102.09595,-45.219727,87.311264
810107,-1.378125,1.8183594,-0.53115237,-28.198242,67.0166,67.993164,-101.19507,-44.126587,87.313416
810124,-1.5073242,2.239453,-0.67470706,-34.606934,77.819824,66.16211,-100.530396,-43.36853,87.31878
810141,-2.0528321,2.9524415,-1.071875,-44.98291,88.62305,63.11035,-99.82727,-42.63794,87.32092
810158,-2.7179687,3.5266602,-1.4307617,-52.734375,97.229004,61.157227,-98.97034,-41.709595,87.32414
810175,-2.7466798,3.8951173,-1.7226562,-59.08203,126.46484,57.922363,-98.21777,-41.083374,87.31878
