timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
523443,-1.8997071,1.8997071,-4.3927736,-75.13428,99.487305,42.052223,41.87439,-80.31555,87.50331
523460,-2.6844726,1.7083008,-4.464551,-82.94678,75.927734,52.612305,36.743774,-79.99695,87.5255
523477,-3.124707,3.0433593,-3.7467773,-94.29932,67.81006,74.157715,29.921265,-79.93103,87.571976
523494,-2.6079102,3.335254,-2.9476562,-91.97998,80.078125,74.95117,24.417114,-79.54651,87.60631
523511,-2.4021485,3.0529296,-2.516992,-86.79199,125.67139,90.69824,14.902954,-78.255615,87.67283
523528,-2.694043,3.3208985,-2.6796875,-85.32715,157.89795,98.38867,8.21228,-76.58569,87.709305
523545,-3.0768554,3.8664062,-3.36875,-96.74072,204.95605,103.08838,2.4664307,-74.30603,87.74364
523562,-4.60332,3.2586913,-5.67041,-105.83496,223.93799,103.45459,-2.8894043,-70.823364,87.77797
523579,-6.158496,2.5261328,-6.881055,-117.614746,217.28516,120.23926,-7.272949,-68.40637,87.77797
523596,-6.790137,2.2298827,-6.708789,-131.83594,203.00293,121.45996,-12.359619,-65.527954,87.77797
523613,-6.2063475,0.47373047,-5.479004,-132.75146,203.125,125.24414,-17.056274,-63.182373,87.77797
523630,-5.7708983,-0.119628906,-4.990918,-132.26318,221.25244,128.35693,-21.862793,-60.073242,87.77797
523647,-4.8473635,-1.1052711,-4.938281,-132.32422,243.2251,127.38037,-27.180176,-55.030518,87.808014
523664,-4.804297,-1.9810547,-4.9861326,-128.72314,262.20703,121.032715,-30.327759,-50.723877,87.83698
523681,-5.574707,-2.3973632,-5.4359374,-117.91992,284.11865,115.112305,-33.54126,-44.42871,87.868095
523698,-6.665723,-1.6269521,-6.211133,-121.33789,284.9121,115.29541,-35.738525,-39.44641,87.89491
523715,-7.0916014,-1.0670898,-6.780566,-142.82227,261.52564,126.89209,-38.17749,-34.475098,87.92388
523732,-6.220703,-2.6988282,-6.4025293,-139.09912,262.63428,129.63867,-41.627197,-27.993164,87.95285
523749,-6.5987306,-2.3303711,-6.5987306,-138.24463,267.27295,135.9252,-44.02771,-23.076782,87.98504
523766,-6.708789,-2.2585938,-6.3786135,-134.70459,272.3999,151.79443,-46.46118,-16.314697,88.03761
523783,-6.306836,-2.3303711,-4.9813476,-119.07959,268.5547,160.21729,-49.39452,-11.206055,88.03761
523800,-6.7422852,-1.5743164,-3.9908204,-119.93408,267.15088,182.43408,-51.454468,-5.9490967,88.03761
523817,-8.464941,-0.46894522,-4.7420897,-131.52076,237.24365,203.73525,-54.431763,1.2304688,88.03761
523834,-8.168262,-1.1675781,-4.694238,-137.57324,207.6416,234.1919,-56.90918,6.564331,88.03761
523851,-8.10127,-2.2585938,-4.009961,-131.83594,172.36328,263.91602,-60.21057,13.595581,88.03761
523868,-7.8524413,-2.3064454,-2.5261328,-120.42236,167.41943,295.16602,-62.418823,19.121704,88.03761
523885,-7.7375975,-0.7847656,-1.9044921,-118.28613,162.10938,315.24658,-64.45679,24.955444,88.04298
523902,-7.134668,-0.35410157,-1.2154297,-122.680664,147.88818,341.55273,-67.093506,32.95249,88.04298
523919,-5.9288087,-0.68427736,-0.95224607,-108.39844,147.15576,347.0459,-68.99963,38.99048,88.04298
523936,-5.7326174,-0.46894522,-0.67470706,-90.69824,142.82227,370.6665,-71.328735,47.197266,88.04298
523952,-5.9527345,0.40673828,-0.96660155,-81.848145,126.89209,390.07568,-72.84485,52.602295,88.03976
523970,-5.392871,1.1101563,-1.1197265,-74.645996,103.02734,416.19873,-74.03137,60.254517,88.03976
523987,-4.9717774,1.8518555,-1.258496,-67.93213,77.63672,417.96875,-74.48181,69.19739,88.03976
524004,-3.7228515,2.2203126,-0.5263672,-61.828613,70.43457,434.021,-73.00964,75.99243,88.03976
524021,-0.71298826,2.2873046,0.14355469,-33.691406,97.839355,429.8706,-63.270264,84.98474,88.03976
524038,2.1102528,3.0864258,0.4258789,-21.057129,140.38086,446.28906,81.5625,87.46765,88.03976
524055,4.464551,4.3401365,-0.21054688,-13.549805,188.04932,457.21436,101.865234,77.195435,88.03976
524072,7.560547,6.1632814,-0.32529064,-7.446289,231.38428,442.99316,107.38037,68.99414,88.03976
524089,10.632617,7.7136717,-1.1915039,0.5493164,291.07666,438.84277,110.62683,60.479736,88.03976
524106,14.41289,11.843262,-3.4213867,-0.48828125,397.52197,408.93555,115.00488,48.652954,88.03976
524123,15.771875,15.422559,-6.550879,-21.728516,485.0464,373.52516,118.14697,39.529795,88.03439
524140,18.202734,19.852613,-11.431738,-70.373525,582.6416,295.71523,120.684814,30.322266,88.03439
524157,20.226856,30.055567,-20.700586,-127.01416,602.417,196.16699,122.18994,18.841552,88.03439
524174,22.600292,42.12373,-27.083984,-206.35986,573.9136,37.17041,121.35498,12.474976,88.03439
524191,36.974903,61.71416,-33.213768,-298.21777,561.34033,-285.15625,118.048096,8.635254,88.03439
524208,58.943554,58.996193,-41.023144,-386.6577,470.09277,-685.1196,114.46106,11.964111,88.03439
524225,92.3918,30.988672,-44.94697,-382.38525,291.62598,-1252.2583,111.96716,27.515259,88.03439
524242,126.586525,-4.033887,-50.16758,-316.4673,197.08252,-1675.6592,116.62527,46.528086,88.03439
524259,141.2913,-5.36416,-51.091114,-334.28955,16.113281,-1999.2065,143.55286,67.67029,88.03439
524276,-151.69902,-5.66084,-48.70332,-435.6079,-123.90137,-1997.4365,-142.81677,60.117188,88.251114
524293,155.0582,21.049902,-27.816113,-298.15674,128.90625,-1995.1172,-117.79541,32.81067,88.35733
524310,156.45068,40.166603,-16.97295,31.311035,364.2578,-1726.6846,-118.05259,4.257202,88.46247
524327,114.37002,-7.0246096,-8.436231,437.6831,414.2456,-1359.9243,-115.09277,-29.976196,88.57405
