timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
650710,2.3830078,6.57959,-10.225879,-61.706543,130.92041,-9.033203,94.20776,-45.86792,77.048065
650727,2.6461914,6.096289,-10.077539,-81.970215,134.58252,-4.0893555,92.15881,-45.637207,77.0663
650744,2.5648437,4.8760743,-10.08711,-105.10254,154.11377,3.6010742,89.730835,-45.499878,77.08776
650761,1.0814453,4.4549804,-10.651758,-125.79346,155.45654,7.507324,86.00098,-45.302124,77.08776
650778,-0.043066405,3.9764647,-11.1015625,-143.61572,141.90674,10.7421875,83.166504,-45.043945,77.08776
650795,-0.41152343,2.6414063,-10.948438,-166.87012,122.680664,18.371582,79.48059,-44.813232,77.08776
650812,-0.60771483,1.3589844,-10.608691,-183.41064,115.53955,22.705078,76.6626,-44.752808,77.08776
650829,-0.69384766,0.38759765,-10.364649,-204.22363,121.64307,30.151367,73.602905,-44.796753,77.14355
650846,-2.138965,-1.3733399,-10.431641,-217.83447,124.51172,34.5459,69.22485,-44.91211,77.198265
650863,-2.5600586,-2.5552735,-10.302442,-230.10254,131.7749,40.58838,65.69275,-45.08789,77.25191
650880,-1.8135742,-3.2539062,-10.297656,-245.05615,153.38135,47.668457,60.26001,-45.390015,77.306625
650897,-0.56943357,-3.1916993,-10.723536,-253.479,184.32617,48.76709,55.447998,-45.45044,77.36564
650914,0.58378905,-2.942871,-11.537012,-268.0664,244.32373,48.217773,49.921875,-45.038452,77.42036
650931,0.6555664,-3.0290039,-12.661524,-271.72852,297.66846,41.992188,41.764526,-43.341064,77.474
650948,-1.3972657,-3.3639648,-13.786036,-276.42822,338.50098,37.719727,35.562744,-41.0614,77.52335
650965,-6.1728516,-4.3209963,-15.379492,-286.68213,336.54785,32.89795,27.767944,-36.87561,77.57914
650982,-7.718457,-5.5316405,-15.623535,-290.52734,320.19043,40.100098,21.989136,-33.250122,77.57914
650999,-8.56543,-6.3977537,-15.499121,-293.33496,300.04883,59.448242,16.116943,-27.993164,77.57914
651016,-8.8046875,-6.646582,-14.633008,-292.7246,290.22217,77.02637,8.195801,-23.724976,77.57914
651033,-9.34541,-6.651367,-14.116211,-290.16113,276.7334,99.731445,2.2961426,-19.193115,77.57914
651050,-10.240234,-6.6130857,-13.470215,-284.9121,248.7793,133.72803,-5.3448486,-12.9748535,77.61347
651067,-11.025,-6.091504,-13.044336,-279.96826,216.85791,160.03418,-10.81604,-8.322144,77.65317
651084,-10.747461,-5.4120116,-12.216504,-270.93506,179.26025,205.44434,-16.105957,-3.8781738,77.727196
651101,-9.847852,-4.172656,-11.412598,-266.6626,159.11865,236.93848,-22.664795,2.175293,77.76153
651118,-9.120508,-3.4357421,-10.55127,-256.71387,150.08545,268.98193,-27.16919,6.9543457,77.80122
651135,-8.302246,-2.30166,-9.106153,-247.86377,142.02881,308.77686,-32.557983,13.738403,77.835556
651152,-8.297461,-1.1053711,-8.58457,-244.6289,126.708984,335.9375,-36.035156,19.16565,77.87204
651169,-8.675488,-0.55507815,-7.9385743,-242.67578,81.604004,365.6006,-38.984985,26.438599,77.90959
651186,-8.412305,-1.5073242,-6.4838867,-234.80225,40.893555,395.87402,-41.797485,31.70105,77.90959
651203,-5.177539,-1.6173828,-5.258887,-219.84863,35.52246,415.6494,-42.868652,36.90857,77.90959
651220,-1.3541992,-0.12919922,-3.2586913,-202.75879,97.0459,434.93652,-43.19275,44.401245,77.90959
651237,-1.8709961,1.3111328,-2.9763672,-195.92285,135.0708,445.37354,-42.51709,50.756836,77.90959
651254,-5.172754,1.7417969,-3.22041,-195.80078,105.10254,460.87646,-40.325317,57.227783,77.90208
651271,-3.8568358,3.2969728,-4.0291014,-200.13428,85.69336,470.1538,-32.574463,65.13794,77.89349
651288,-0.6890625,5.029199,-5.0914063,-189.51416,124.38965,476.98975,-21.060791,70.614624,77.88599
651305,-2.0289063,9.106153,-6.6178713,-197.81494,160.03418,495.91064,9.624023,75.580444,77.8774
651322,-5.2875977,12.87207,-8.575,-201.41602,168.88428,513.97705,40.97351,74.783936,77.867744
651339,-9.106153,17.020802,-10.532129,-224.3042,98.51074,501.52588,60.600586,69.86206,77.851654
