timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
2230482,1.0335938,0.29667968,0.23925781,43.518066,3.2348633,39.611816,117.95471,52.091675,57.61814
2230499,1.1915039,0.55507815,0.35888672,35.461426,0.7324219,36.56006,118.19092,51.54236,57.623505
2230516,1.4881836,0.119628906,0.4354492,38.94043,8.605957,39.245605,118.50403,50.76233,57.625652
2230533,1.2776368,0.44023436,0.40195313,33.87451,14.282227,39.79492,118.83911,50.097656,57.625652
2230550,0.94267577,0.34931642,0.26796874,32.65381,18.737793,38.45215,119.245605,49.18579,57.625652
2230567,0.36367187,0.55986327,0.0765625,29.296875,15.563965,36.743164,119.76196,48.554077,57.625652
2230584,0.28710938,0.71298826,0.14833984,24.353027,17.028809,37.841797,120.04761,47.911377,57.625652
2230601,0.17705078,0.7608398,0.043066405,19.836426,14.404297,39.611816,120.31128,47.043457,57.625652
2230618,0.28232422,0.8086914,0.062207032,19.470215,15.258789,40.527344,120.44861,46.378784,57.623505
2230635,0.48808593,1.0862305,0.32539064,14.6484375,20.324707,41.19873,120.580444,45.670166,57.61492
2230652,0.5072266,1.1723633,0.8613281,5.79834,32.165527,40.649414,120.71777,44.63745,57.60956
2230669,0.3158203,0.9043945,1.1388671,1.7089844,44.311523,41.44287,120.877075,43.76953,57.60741
2230686,-0.26796874,0.46894532,1.043164,-3.479004,52.246094,42.297363,121.14624,42.53357,57.602047
2230703,-0.72734374,-0.11005859,0.57900393,3.0517578,51.940918,44.677734,121.415405,41.583252,57.596684
2230720,-1.1388671,0.19140625,0.1866211,4.211426,35.705566,44.677734,121.65161,40.69336,57.594536
2230737,-1.315918,0.72734374,0.31103516,6.958008,25.634766,43.09082,121.78894,39.65515,57.585953
2230754,-1.4020507,1.3063476,0.7321289,3.7231445,19.65332,40.58838,121.76697,38.984985,57.585953
2230771,-1.1197265,1.9523437,1.1149414,-3.1738281,17.333984,36.193848,121.59119,38.16101,57.585953
2230788,-0.71777344,2.2873046,1.2919922,-8.972168,19.104004,33.14209,121.448364,37.58423,57.585953
2230805,-0.58857423,2.4930663,1.3541992,-12.023926,24.536133,31.12793,121.32202,36.8042,57.585953
2230822,-0.91875,2.9907227,1.3207031,-16.052246,24.047852,25.20752,121.14075,36.254883,57.585953
2230839,-1.1053711,3.124707,1.6365235,-19.226074,21.66748,16.479492,120.95947,35.837402,57.58059
2230856,-0.7464844,3.182129,2.1246095,-28.076172,21.66748,5.3100586,120.65735,35.45288,57.578445
2230873,-0.28232422,2.8232422,2.2442384,-32.104492,26.245117,-2.319336,120.41565,35.26062,57.57308
2230890,0.33496094,2.4930663,2.3351562,-29.541016,41.931152,-11.59668,120.27283,35.112305,57.569862
2230907,0.8900391,2.727539,2.387793,-29.47998,55.29785,-17.8833,120.38269,34.865112,57.564495
2230924,0.56464845,2.6892579,2.2203126,-29.11377,61.157227,-24.780273,120.60242,34.700317,57.55484
2230941,-0.057421874,2.75625,1.9475586,-28.320312,57.556152,-34.301758,120.97046,34.612427,57.549477
2230958,-0.33496094,2.7418945,1.8805664,-27.282715,51.02539,-40.771484,121.23413,34.700317,57.549477
2230975,-0.2727539,2.842383,1.9714844,-24.963379,48.76709,-47.48535,121.519775,34.96399,57.549477
2230992,-0.43066406,3.3639648,2.0576172,-22.521973,50.231934,-49.804688,121.99219,35.194702,57.549477
2231009,-0.59814453,4.163086,1.9619141,-20.751953,52.612305,-47.973633,122.420654,35.403442,57.549477
2231026,-1.6987305,5.455078,1.746582,-18.432617,48.40088,-44.555664,122.99744,35.617676,57.549477
2231043,-2.29209,6.6130857,1.5168946,-22.705078,38.391113,-43.09082,123.32153,35.820923,57.549477
2231060,-1.7992188,7.3643556,0.96181643,-21.42334,26.794434,-43.45703,123.51929,36.101074,57.549477
2231077,-0.2536133,9.579883,-0.09091797,-26.794434,24.169922,-38.879395,123.70056,36.51306,57.546257
2231094,1.0575196,12.580175,-2.2729492,-51.879883,16.113281,-40.405273,123.50281,36.83716,57.546257
2231111,1.3829101,16.494434,-6.919336,-111.083984,-37.65869,-51.940918,121.986694,37.732544,57.546257
2231128,2.0001953,19.13584,-6.7422853,-129.82178,-86.54785,-106.87256,119.88281,39.380493,57.549477
2231145,3.6797853,24.040625,-4.0243163,-190.85693,-135.9253,-178.71094,116.99341,42.264404,57.546257
2231162,13.675977,27.012207,-1.9858398,-243.95752,-85.57129,-304.19922,112.41211,47.90039,57.546257
2231179,21.868164,28.366405,-3.2921875,-340.75928,0.0,-450.31738,110.00061,53.5968,57.546257
2231196,35.204395,11.742773,-2.8902345,-357.66602,94.9707,-713.501,112.00012,64.64905,57.546257
2231213,49.679493,3.8089843,-1.1340821,-401.9165,194.76318,-934.63135,129.72107,74.79492,57.546257
2231230,59.22588,-3.612793,-9.369336,-423.15674,394.83643,-1248.291,-166.64062,75.997925,57.59132
2231247,61.996483,-18.628613,-22.6625,-323.36426,542.5415,-1448.7305,-133.3136,52.871704,57.631016
2231264,59.991505,-29.079395,-22.05957,-165.03906,754.45557,-1625.1831,-129.57825,28.465576,57.676075
2231281,51.612694,-48.07168,-21.346582,177.4292,1072.3877,-1675.7202,-127.4469,-9.695435,57.76298
2231298,33.161133,-61.762012,-27.99795,545.166,1255.8594,-1559.2651,-120.338745,-39.63318,57.802677
2231315,0.46416014,-64.76231,-43.492287,993.4082,1157.898,-1260.315,-91.675415,-71.10901,57.847736
2231332,-35.773827,-44.25791,-49.062206,1108.4595,784.729,-1036.6211,7.0532227,-67.60986,57.88207
2231349,-46.889748,-20.250782,-41.209766,1028.6255,365.9668,-854.126,40.83069,-54.975586,57.92177
2231366,-41.405956,6.4838867,-27.662989,741.6382,42.785645,-658.93555,65.42908,-41.583252,57.92177
2231383,-28.122364,17.829493,-14.738281,536.37695,-48.52295,-504.1504,76.87134,-33.87085,57.92177
2231400,-34.654102,42.71709,-17.379688,-253.96729,-621.2158,-111.328125,89.18701,-36.8042,57.92177
