timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1029950978,0.26796874,-0.08613281,0.0,15.808105,-9.399414,-1.953125,127.787476,-60.84778,30.679106
1029950995,0.32539064,0.17705078,0.30146486,15.197754,-5.9814453,-0.9765625,128.28186,-60.7489,30.679106
1029951012,0.153125,0.08613281,0.27753907,14.221191,-2.8686523,-1.2207031,128.52356,-60.71045,30.67696
1029951029,0.062207032,0.071777344,0.22011718,12.939453,-2.0141602,-0.7324219,128.75977,-60.67749,30.67696
1029951046,0.30625,0.019140625,0.21054688,14.404297,0.48828125,-1.0375977,129.00696,-60.666504,30.67696
1029951063,0.3397461,0.124414064,0.22490235,13.549805,1.8310547,-1.8920898,129.1333,-60.666504,30.671597
1029951080,0.5072266,0.17705078,0.29667968,12.512207,3.2958984,-1.8920898,129.24866,-60.682983,30.671597
1029951097,0.45458984,0.09091797,0.22490235,11.901855,6.0424805,-2.9296875,129.24866,-60.715942,30.671597
1029951114,0.16748047,0.071777344,0.13876954,11.657715,3.7841797,-3.112793,129.24316,-60.74341,30.671597
1029951131,0.22490235,0.071777344,0.10048828,11.962891,3.90625,-2.8076172,129.2926,-60.74341,30.671597
1029951148,0.13876954,0.18183593,0.095703125,10.925293,5.92041,-3.7841797,129.28162,-60.759888,30.671597
1029951165,-0.15791015,0.08613281,0.05263672,11.413574,3.479004,-2.6855469,129.28711,-60.759888,30.671597
1029951182,-0.10527344,0.14355469,0.019140625,9.643555,3.1738281,-2.9296875,129.32007,-60.754395,30.671597
1029951199,-0.066992186,-0.023925781,0.0,10.925293,2.380371,-3.1738281,129.35852,-60.737915,30.671597
1029951216,0.019140625,0.028710937,0.0047851563,9.338379,3.479004,-3.7841797,129.40247,-60.721436,30.671597
1029951233,0.028710937,-0.124414064,-0.057421874,10.620117,5.859375,-4.272461,129.39148,-60.715942,30.671597
1029951250,-0.3923828,-0.11484375,-0.095703125,11.779785,6.7749023,-4.3945312,129.33105,-60.737915,30.671597
1029951267,-0.6268555,-0.119628906,-0.10527344,12.207031,1.953125,-3.7231445,129.38599,-60.715942,30.666231
1029951284,-0.55507815,-0.12919922,-0.124414064,13.427734,0.18310547,-3.6010742,129.51233,-60.671997,30.666231
1029951301,-0.79433596,-0.18183593,-0.17226562,13.977051,-6.225586,-3.8452148,129.80896,-60.55664,30.666231
1029951318,-0.40673828,-0.27753907,-0.08613281,14.831543,-8.972168,-4.272461,130.15503,-60.41382,30.666231
1029951335,0.119628906,-0.2296875,0.09091797,16.662598,-2.319336,-7.3242188,130.50659,-60.265503,30.666231
1029951352,-0.16269532,-0.28232422,0.12919922,18.859863,-2.380371,-9.094238,130.67139,-60.161133,30.666231
1029951369,-0.17705078,-0.14355469,0.3158203,20.324707,-5.6762695,-12.634277,130.86365,-60.00183,30.664085
1029951386,0.15791015,-0.066992186,0.6220703,22.888184,-3.6621094,-16.113281,131.0614,-59.73816,30.664085
1029951403,0.16748047,-0.033496093,0.81826174,24.658203,-4.760742,-19.348145,131.14929,-59.518433,30.660868
1029951420,0.16748047,0.0,1.0623047,28.320312,-10.498047,-23.4375,131.33057,-59.106445,30.660868
1029951437,0.44023436,0.0,1.258496,33.38623,-10.131836,-28.198242,131.48438,-58.738403,30.655502
1029951454,0.4928711,0.18183593,1.7178711,39.001465,-14.465332,-32.836914,131.67114,-58.31543,30.653357
1029951471,0.91396487,0.34453124,1.9714844,43.518066,-17.76123,-36.254883,132.06665,-57.617798,30.655502
1029951488,1.4307617,0.34453124,2.0384765,47.302246,-16.174316,-40.283203,132.4292,-57.01355,30.653357
1029951505,2.1246095,0.6507813,2.172461,59.32617,-14.221191,-47.058105,132.95654,-56.151123,30.653357
1029951522,2.5791993,1.7370117,2.5409179,73.73047,-21.606445,-52.490234,133.51685,-55.41504,30.653357
1029951539,4.072168,4.163086,3.1294923,74.76807,-47.60742,-58.95996,134.40674,-54.44275,30.653357
1029951556,10.603907,7.010254,4.1248045,75.31738,-36.315918,-79.3457,135.36804,-52.84973,30.653357
1029951573,16.312597,10.307226,5.7374024,94.84863,-7.873535,-103.759766,135.65918,-51.6687,30.653357
1029951590,25.729786,18.260157,9.80957,94.9707,41.015625,-132.56836,135.09338,-50.196533,30.655502
1029951607,31.960058,25.413965,12.149511,73.73047,129.15039,-146.1792,133.25867,-49.66919,30.655502
1029951624,33.84541,33.319042,10.460352,-42.175293,296.56982,-147.03369,129.40247,-50.092163,30.655502
1029951641,18.891796,32.89795,-2.2203126,-140.38086,432.73926,-155.45654,117.86682,-51.70166,30.658722
1029951658,-5.5268555,35.472363,-13.661621,-357.4829,261.4746,-130.98145,106.622314,-51.745605,30.658722
1029951675,-13.264453,24.801464,-32.993652,-789.978,-149.59717,69.58008,94.04297,-51.674194,30.655502
1029951692,-12.819433,8.321386,-46.53086,-1021.3013,-296.26465,281.67725,84.67163,-54.854736,30.660868
1029951709,-16.953808,-8.909961,-48.885155,-1110.5347,-304.38232,508.30078,73.97095,-62.006836,30.660868
1029951726,-45.803516,-15.1019535,-51.1916,-997.49756,-260.437,837.8906,41.242676,-76.00891,30.660868
1029951743,-69.39433,-30.677637,-53.55547,-773.2544,-834.2285,919.7998,-76.06384,-83.638916,30.660868
1029951760,14.996679,-18.595118,-14.192774,-123.65723,-766.90674,861.4502,-127.161255,-60.111694,30.660868
1029951777,43.028126,8.857325,10.077539,72.75391,-54.626465,543.7622,-123.29956,-49.51538,30.708075
1029951794,3.6415038,16.69541,6.215918,165.03906,161.68213,67.07764,-116.81213,-46.675415,30.753136
1029951811,-11.493945,10.584765,-2.5887694,232.60498,260.68115,-274.23096,-109.72595,-50.39978,30.80356
1029951828,-12.628027,3.402246,-6.1680665,266.96777,372.9248,-474.73145,-101.25,-57.886963,30.848621
1029951845,-16.52793,-4.7612305,-8.048633,280.15137,328.4912,-544.86084,-82.63367,-68.983154,30.944109
1029951862,-13.733398,-5.2780275,-8.086914,302.30713,316.40625,-533.6914,-55.178833,-74.95972,30.991316
1029951879,-14.862696,-4.196582,-8.842969,266.23535,207.94678,-433.71582,-19.973145,-76.1792,31.043886
1029951896,-15.212011,0.83740234,-7.2782226,190.85693,66.95557,-358.45947,14.80957,-73.811646,31.094313
1029951913,-9.498535,2.8184571,-3.7563477,106.44531,-29.846191,-269.71436,30.48706,-72.108765,31.094313
1029951930,-2.4260743,2.8041015,-0.8708984,44.73877,-68.359375,-154.47998,43.093872,-70.67505,31.094313
1029951947,0.46894532,1.315918,0.10048828,33.26416,-74.401855,-77.02637,48.883667,-70.356445,31.094313
1029951964,1.315918,1.1340821,-0.05263672,17.944336,-77.39258,-18.066406,52.668457,-70.669556,31.094313
1029951981,1.1915039,0.47851562,-0.05263672,28.076172,-113.40332,34.973145,57.403564,-72.11426,31.083584
1029951998,2.8854492,0.6364258,0.2536133,33.569336,-128.05176,50.53711,61.984863,-73.65784,31.07071
1029952015,6.311621,1.1292969,0.91396487,33.935547,-101.07422,49.621582,68.88977,-75.6189,31.062126
1029952032,6.8332033,0.3732422,0.7608398,43.273926,-57.617188,37.475586,72.77344,-76.60217,31.05247
1029952049,5.6273437,0.19140625,0.6507813,51.818848,-6.958008,17.456055,74.70154,-77.13501,31.043886
1029952066,2.6605468,0.46416014,0.8517578,51.757812,-1.8920898,-1.2817383,75.69031,-77.32178,31.033157
1029952083,2.1293945,0.3301758,0.56464845,50.476074,-5.004883,-15.319824,76.85486,-77.18445,31.023502
1029952100,2.30166,0.071777344,0.08134766,46.447754,11.169434,-32.104492,77.88208,-76.65161,31.002045
1029952117,1.7178711,-0.16748047,-0.39716798,44.067383,23.376465,-41.625977,77.87109,-76.03088,31.002045
1029952134,1.0479492,-0.3397461,-0.68427736,42.053223,25.390625,-48.217773,77.750244,-75.322266,31.002045
1029952151,0.42109376,-0.40195313,-0.55986327,43.823242,21.1792,-49.743652,77.76672,-74.295044,31.002045
1029952168,0.05263672,0.066992186,-0.071777344,42.419434,8.361816,-47.546387,78.32153,-73.54797,31.002045
1029952185,0.6555664,0.11005859,0.5263672,44.067383,2.746582,-41.19873,79.469604,-72.66907,31.002045
1029952202,1.3494141,0.28232422,0.9091797,47.36328,10.498047,-35.03418,80.05737,-72.10327,30.98917
1029952219,1.3541992,0.55029297,0.70341796,45.47119,27.526855,-28.930664,79.974976,-71.56494,30.964493
1029952236,-0.119628906,0.30146486,-0.16748047,43.5791,24.047852,-21.728516,79.60144,-70.9552,30.949472
1029952253,-0.97138673,0.08613281,-0.81347656,42.053223,11.535645,-14.770508,79.74426,-70.64758,30.94089
1029952270,-1.0670898,-0.057421874,-0.95703125,35.339355,-14.6484375,-6.4086914,81.09558,-70.44983,30.924797
1029952287,-0.22490235,-0.13876954,-0.6555664,34.484863,-20.446777,-2.1972656,82.55676,-70.444336,30.911922
1029952304,0.20576172,-0.028710937,-0.24882813,32.714844,-22.521973,0.061035156,84.02893,-70.477295,30.901194
1029952321,1.2010742,-0.033496093,0.24404296,32.77588,-6.7749023,0.8544922,85.528564,-70.53772,30.888319
