timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
103305,-5.330664,5.148828,-0.095703125,-14.465332,61.157227,34.973145,116.7572,-46.636963,21.042465
103322,-5.239746,2.239453,0.014355469,-55.725098,-75.8667,45.47119,116.25183,-45.395508,21.031736
103339,-2.177246,1.3733399,-0.3301758,-53.344727,-90.08789,63.659668,116.87805,-44.873657,21.026373
103356,-1.2106445,0.71777344,0.119628906,-43.45703,-96.86279,83.49609,117.784424,-44.94507,21.021008
103373,0.062207032,0.55986327,0.6890625,-27.893066,-90.33203,79.46777,119.25659,-45.357056,21.018862
103390,0.3397461,0.119628906,0.32539064,-22.460938,-76.171875,77.0874,120.43213,-45.79651,21.011353
103407,-0.32060546,-0.13876954,-1.1819336,-18.188477,-66.89453,63.598633,122.266846,-46.312866,21.011353
103424,-0.85654294,0.22011718,-1.5360352,-34.66797,-82.6416,62.927246,123.706055,-46.23047,21.011353
103441,-1.0288086,0.29189453,-2.081543,-52.856445,-106.01807,59.32617,125.216675,-45.856934,21.011353
103458,-1.3207031,-0.043066405,-1.5216796,-92.59033,-124.14551,71.47217,126.76575,-45.043945,21.011353
103475,-1.1771485,-1.378125,-0.6125,-73.48633,-141.11328,70.92285,128.172,-44.527588,21.008133
103492,0.93310547,-1.0575196,-0.09091797,-33.325195,-134.58252,37.109375,130.39124,-43.68164,21.008133
103509,2.3782227,-1.0288086,0.028710937,-31.61621,-110.90088,24.536133,131.6217,-43.12683,21.008133
103526,3.3065429,-1.4594727,0.85654294,6.164551,-52.246094,4.638672,132.5116,-43.00049,21.00277
103543,2.3782227,-0.043066405,0.5167969,14.282227,-24.108887,-7.1411133,133.21472,-43.093872,21.00277
103560,1.7513672,0.6794922,0.58378905,-19.042969,-15.075684,7.9956055,133.1543,-43.132324,21.00277
103577,2.1628907,-0.14355469,2.0145507,-51.14746,0.4272461,28.503418,132.20947,-43.85742,21.00277
103594,2.722754,-1.1388671,1.5216796,-14.587402,38.45215,-1.5258789,131.4679,-44.73633,21.00277
103611,2.3734374,-0.8804687,1.1532227,20.385742,91.12549,-30.212402,130.45715,-45.71411,21.00277
103628,0.44023436,-0.25839844,1.6891601,31.00586,81.604004,-37.353516,128.8147,-46.697388,21.00277
103645,0.7799805,0.22011718,2.3973632,38.69629,46.75293,-32.53174,127.803955,-47.10388,21.00277
103662,3.7276368,0.095703125,1.8757813,43.45703,28.869629,-45.654297,127.023926,-47.340088,21.00277
103679,5.1583986,-1.1245117,1.6173828,56.09131,52.246094,-55.603027,126.51306,-47.686157,21.00277
103696,5.723047,-1.9140625,1.5791016,92.83447,92.59033,-78.91846,125.92529,-48.2135,20.997404
103713,5.273242,-1.9092773,1.4451172,126.15967,114.13574,-86.364746,125.07385,-49.004517,20.997404
