timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1535213,2.569629,-0.43066406,0.46416014,16.601562,-21.66748,-38.45215,161.28479,-53.00354,26.705145
1535230,2.3447266,-0.40673828,0.153125,16.967773,0.4272461,-39.67285,160.7135,-52.695923,26.696562
1535247,1.6795899,-0.3301758,-0.10048828,16.540527,4.1503906,-39.367676,160.22461,-52.591553,26.696562
1535264,0.95224607,-0.22490235,-0.25839844,16.235352,-4.9438477,-36.254883,159.77966,-52.443237,26.696562
1535281,0.56943357,-0.13398437,-0.19140625,15.625,-14.160156,-32.89795,159.36768,-52.025757,26.696562
1535298,0.8086914,-0.03828125,-0.119628906,15.869141,-12.6953125,-31.00586,159.14795,-51.679688,26.696562
1535315,0.6029297,-0.11005859,-0.23925781,14.892578,-3.7841797,-28.686523,158.81287,-51.350098,26.694416
1535332,-0.19140625,-0.1961914,-0.32539064,15.197754,-4.0893555,-27.770996,158.59314,-51.14685,26.691198
1535349,-0.95224607,-0.27753907,-0.3397461,16.601562,-18.432617,-26.794434,158.45032,-50.81726,26.686907
1535366,-1.2345703,-0.30625,-0.2296875,15.563965,-28.564453,-26.916504,158.41736,-50.125122,26.683687
1535383,-1.009668,-0.5024414,0.009570313,18.981934,-35.705566,-26.245117,158.49976,-49.47693,26.681541
1535400,0.14355469,-0.11484375,0.69863284,20.996094,-37.109375,-27.46582,158.65906,-48.57605,26.676178
1535417,1.0144532,0.10048828,1.0958008,20.263672,-26.306152,-30.090332,158.67004,-48.043213,26.672958
1535434,1.3876953,0.10527344,1.2345703,21.728516,-13.73291,-31.982422,158.58215,-47.65869,26.683687
1535451,1.1484375,0.18183593,1.0192382,23.19336,2.0141602,-32.958984,158.3844,-47.4115,26.683687
1535468,0.7464844,0.095703125,0.67470706,23.132324,5.92041,-34.606934,158.15369,-47.334595,26.683687
1535485,0.55507815,-0.047851562,0.3732422,25.08545,10.986328,-33.14209,157.87903,-47.301636,26.683687
1535502,0.124414064,0.08134766,0.27753907,24.291992,7.446289,-31.677246,157.70325,-47.268677,26.683687
