timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
374103,-2.507422,-1.775293,-4.6416016,-68.725586,203.91846,-21.484375,-3.2904053,-58.485718,29.391645
374120,-3.7850585,-1.6939453,-4.3162107,-68.42041,190.24658,-17.578125,-3.7023926,-54.596558,29.391645
374137,-4.588965,-1.8279297,-4.196582,-71.59424,170.95947,-14.160156,-4.2077637,-51.94336,29.391645
374154,-4.8617187,-2.0097656,-3.5792968,-71.10596,145.56885,-11.291504,-4.817505,-49.592285,29.391645
374171,-4.59375,-2.0624022,-2.7801757,-66.16211,124.51172,-9.643555,-5.696411,-46.9281,29.423832
374188,-3.9094727,-1.746582,-2.2681642,-61.340332,119.4458,-9.399414,-6.2841797,-45.148315,29.450655
374205,-4.0243163,-1.622168,-1.7848632,-53.588867,121.032715,-10.253906,-6.959839,-42.753296,29.513954
374222,-4.167871,-1.6173828,-1.5264648,-56.152344,106.56738,-5.6762695,-7.503662,-41.105347,29.539703
374239,-3.9046874,-1.6795899,-1.4068359,-48.27881,100.03662,-3.9672852,-8.0859375,-39.60022,29.57189
374256,-4.196582,-1.3350586,-1.0335938,-51.14746,83.00781,-0.79345703,-8.805542,-37.77649,29.603004
374273,-3.5745118,-1.2632812,-1.038379,-57.9834,72.5708,5.3100586,-9.547119,-36.66687,29.633045
374290,-3.1103516,-1.808789,-1.2202148,-65.06348,67.13867,8.178711,-10.739136,-35.2771,29.664158
374307,-2.6701171,-2.516992,-1.1723633,-67.68799,65.24658,13.000488,-11.749878,-34.28833,29.664158
374324,-2.2538085,-2.9141603,-1.0527344,-49.682617,84.83887,13.916016,-12.623291,-33.167725,29.664158
374341,-3.3783202,-2.1820312,-0.5072266,-43.884277,90.08789,18.188477,-13.480225,-31.35498,29.664158
374358,-4.0195312,-1.0575196,-0.21533203,-58.47168,75.56152,20.324707,-14.238281,-30.097046,29.664158
374375,-3.2634766,-1.1580079,-0.11005859,-112.54883,61.828613,33.02002,-16.237793,-28.690796,29.677032
374392,-2.5983398,-2.478711,0.36845702,-119.99512,71.3501,49.316406,-18.253784,-27.504272,29.696344
374409,-2.512207,-3.0959961,0.94746095,-82.27539,82.58057,58.71582,-19.989624,-26.103516,29.709219
374426,-2.3686523,-1.4786133,1.8997071,-88.98926,85.632324,68.17627,-21.939697,-24.082031,29.727459
374443,-1.4259765,-0.39716798,2.0097656,-119.384766,104.79736,84.28955,-23.76892,-22.296753,29.741405
374460,-2.115039,-1.1005859,1.5073242,-162.90283,132.14111,107.84912,-27.03186,-19.204102,29.77252
374477,-2.9476562,-1.8805664,1.4020507,-181.7627,133.8501,134.09424,-29.899292,-16.506958,29.796124
374494,-2.727539,-2.4356446,1.3733399,-202.27051,107.97119,147.15576,-33.030396,-13.870239,29.812216
374511,-0.25839844,-2.6605468,0.83740234,-206.17676,114.80713,163.69629,-37.41394,-10.27771,29.812216
374528,0.96660155,-1.9666992,0.93310547,-211.9751,153.86963,182.67822,-40.73181,-6.9818115,29.812216
374545,1.0910156,-0.41152343,0.60771483,-262.45117,218.01758,200.80566,-45.52185,-1.5875244,29.812216
374562,-0.6794922,-0.3301758,-1.4307617,-297.36328,257.20215,231.0791,-49.883423,3.3673096,29.812216
374579,-3.4979491,0.095703125,-3.0433593,-320.80078,238.83057,237.60986,-54.695435,8.580322,29.82509
374596,-5.565137,2.086328,-5.144043,-367.98096,190.30762,253.2959,-61.896973,15.26001,29.841185
374613,-5.943164,2.3495116,-6.3546877,-432.00684,136.41357,276.42822,-68.19214,19.901733,29.857277
374630,-4.6128907,0.8756836,-6.1441407,-467.40723,90.75928,307.06787,-77.475586,26.119995,29.870152
374647,-4.038672,0.57900393,-5.665625,-472.7173,107.666016,337.8296,-84.990234,31.23413,29.888391
374664,-4.158301,1.6987305,-6.3786135,-470.21484,123.10791,364.13574,-93.1366,36.551514,29.902338
374681,-4.6368165,4.153516,-9.881348,-481.62842,145.20264,378.90625,-105.92468,43.41797,29.915213
374698,-5.6464844,6.120215,-14.068359,-498.9624,171.93604,389.9536,-117.888794,47.911377,29.928087
374715,-6.8332033,8.010351,-19.815332,-522.7661,154.23584,372.49756,-136.91711,51.992798,29.942036
374732,-7.04375,9.378906,-26.260937,-562.25586,91.36963,302.18506,-151.70471,53.481445,29.942036
374749,-8.019922,8.957812,-30.428808,-662.90283,-64.02588,213.43994,-166.23962,54.58008,29.942036
374766,-3.2491212,6.44082,-29.457422,-595.8252,-181.45752,157.04346,175.91309,57.469482,29.942036
374783,7.684961,15.082812,-32.567772,-568.48145,51.574707,85.20508,164.36646,57.79358,29.942036
374800,-10.278516,33.012794,-38.711914,-538.6963,-82.88574,-209.28955,156.50024,58.584595,29.983877
374817,-8.25918,43.520996,-44.16221,-508.11768,-291.62598,-539.7949,157.0221,64.25903,30.026793
374834,22.332325,37.64961,-48.22959,-364.19678,-370.72754,-1016.05225,175.45166,72.67456,30.110477
374851,49.14834,29.85459,-50.019238,-259.94873,-473.14453,-1348.938,-117.29553,67.48901,30.14803
374868,78.935936,26.863867,-59.221092,-272.94922,-672.1802,-1532.5317,-96.72363,48.290405,30.18987
374885,104.36426,33.692284,-33.252052,-80.322266,-404.60205,-1392.334,-90.53284,19.654541,30.232786
374902,84.103905,48.966503,-2.9955077,-65.30762,-307.92236,-1327.9419,-90.62622,-0.4284668,30.267118
