timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
302844,1.6269531,-2.30166,-1.6508789,6.3476562,8.239746,-13.244629,126.49109,0.2142334,19.176722
302861,3.3161132,-2.3830078,-1.5838867,15.869141,-7.2021484,0.5493164,126.82617,0.21972656,19.176722
302878,4.3257813,-1.8901367,-1.8470703,21.1792,2.1972656,10.375977,127.177734,0.09338379,19.176722
302895,4.837793,-1.6365235,-2.1868165,0.6713867,4.638672,15.930176,127.30957,-0.115356445,19.17994
302912,6.550879,-2.631836,-2.784961,-0.6713867,8.178711,24.719238,127.194214,-0.5163574,19.174576
302929,8.187403,-2.665332,-3.708496,25.512695,22.644043,29.907227,127.45239,-1.0217285,19.174576
302946,10.082324,-1.4929688,-4.3305664,39.978027,56.762695,41.56494,128.20496,-2.1038818,19.174576
302963,10.742676,-0.8421875,-4.703809,38.635254,95.336914,49.438477,128.75427,-3.4387207,19.174576
302980,10.4220705,-0.3732422,-4.957422,45.532227,136.35254,54.992676,129.34753,-5.185547,19.174576
302997,9.608594,0.48330078,-5.1871095,47.180176,151.36719,58.654785,130.1001,-7.89917,19.174576
303014,9.192286,1.3637695,-5.35459,56.030273,169.37256,64.7583,130.68787,-10.206299,19.176722
303031,8.474512,3.0912108,-5.359375,63.11035,183.41064,72.87598,131.5448,-13.595581,19.176722
303048,7.876367,4.2205076,-5.3785157,66.223145,197.08252,73.30322,132.14355,-16.35315,19.182085
303065,7.129883,4.813867,-5.4263673,65.12451,210.69336,70.55664,132.64343,-19.220581,19.182085
303082,6.761426,5.1918945,-5.823535,69.58008,236.57227,66.711426,133.08289,-23.26355,19.185305
303099,5.880957,5.995801,-6.665723,68.42041,268.61572,57.250977,133.12134,-26.625366,19.185305
303116,3.828125,6.7375,-7.110742,52.368164,283.5083,54.07715,132.46216,-31.223145,19.190668
303133,2.9811523,6.57959,-7.0533204,45.410156,292.5415,54.504395,131.44043,-34.683838,19.190668
303150,1.5216796,6.459961,-6.6992188,53.466797,296.2036,50.41504,130.0946,-38.16101,19.190668
303167,-0.31103516,6.493457,-6.311621,49.987793,275.75684,53.03955,127.93579,-42.561035,19.190668
303184,-1.1149414,5.7086916,-6.024512,47.180176,264.2212,58.044434,126.02966,-45.653687,19.190668
303201,-2.5409179,4.3640623,-5.943164,43.70117,253.1128,67.81006,123.08533,-49.630737,19.190668
303218,-3.6606445,3.244336,-6.038867,35.217285,238.58643,73.913574,120.52002,-52.487183,19.205688
303235,-4.3401365,2.3160157,-5.9288087,14.221191,227.53906,84.04541,117.509766,-55.2063,19.245386
303252,-5.488574,0.73691404,-5.7708983,-3.4179688,206.54297,92.65137,112.8186,-58.59558,19.261478
303269,-5.6799803,-0.68427736,-5.273242,0.30517578,186.40137,101.19629,109.02283,-61.001587,19.282936
303286,-5.488574,-1.2010742,-4.990918,11.779785,174.37744,114.19678,103.85925,-64.121704,19.301176
303303,-5.579492,-1.1149414,-4.9861326,4.0283203,168.5791,122.7417,99.28894,-66.395874,19.317268
303320,-5.780469,-1.1771485,-4.8856444,-17.51709,161.6211,136.2915,93.80676,-68.60962,19.338726
303337,-5.943164,-1.4833984,-4.7708006,-36.68213,162.41455,147.76611,84.2157,-71.416626,19.356966
303354,-5.9288087,-1.8566406,-4.780371,-41.015625,173.82812,156.55518,74.43237,-73.22388,19.356966
303371,-6.129785,-1.3398438,-5.569922,-40.893555,200.0122,164.42871,56.90918,-74.60266,19.356966
303388,-6.919336,0.08613281,-6.1776366,-50.964355,238.09814,181.51855,40.79773,-74.366455,19.356966
303405,-8.74248,1.7370117,-7.3834963,-110.90088,266.72363,205.87158,23.911743,-72.66907,19.356966
303422,-11.761914,2.5265625,-9.881348,-211.24268,298.52295,241.21094,3.9935303,-68.1427,19.391298
303439,-14.69043,2.722754,-12.206934,-289.48975,302.97852,272.82715,-8.305664,-63.495483,19.42563
303456,-18.07832,2.2538085,-15.288574,-400.0244,268.79883,313.5376,-22.818604,-56.398315,19.459963
303473,-19.743555,1.5073242,-17.360546,-457.6416,233.58154,356.01807,-33.2666,-50.72937,19.49644
303490,-21.552343,1.7226562,-19.044922,-482.60498,175.23193,393.67676,-43.115845,-44.802246,19.568323
