timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
172181,1.8231446,-2.2585938,-0.96181643,-47.60742,-113.95264,161.74316,159.41162,-27.993164,29.497862
172198,2.4404297,-2.239453,-1.2776368,-39.978027,-96.43555,169.67773,160.72998,-27.67456,29.494642
172215,2.138965,-1.9140625,-2.454785,-35.095215,-85.510254,179.38232,162.54272,-27.366943,29.49035
172232,2.3638673,-2.024121,-3.4500976,-33.813477,-78.49121,186.64551,163.95996,-27.114258,29.49035
172249,2.359082,-2.4069335,-4.167871,-26.062012,-85.510254,199.46289,165.531,-26.746216,29.49035
172266,1.4116211,-2.5217774,-4.354492,-27.58789,-96.86279,211.05957,167.75574,-25.949707,29.49035
172283,0.69384766,-2.9859376,-4.2205076,-17.578125,-113.64746,223.20557,169.60144,-24.900513,29.49035
172300,1.315918,-3.0816407,-3.9908204,-4.638672,-131.46973,231.2622,172.24365,-22.961426,29.49035
172317,2.7945313,-3.3496094,-4.1822267,12.390137,-105.773926,238.83057,174.31458,-21.747437,29.49035
172334,2.3925781,-2.569629,-4.1104493,33.935547,-76.538086,246.15479,176.5393,-20.473022,29.49035
172351,0.58857423,-1.3015625,-4.1487303,34.5459,-71.28906,249.14551,179.37927,-19.473267,29.49035
172368,-0.92353517,-1.808789,-4.713379,40.283203,-96.13037,261.16943,-178.5498,-17.93518,29.487133
172385,0.71298826,-1.5886719,-7.4839845,38.57422,-100.28076,254.57764,-176.01196,-15.210571,29.487133
172402,2.2442384,-1.287207,-9.63252,61.584473,-20.385742,249.02344,-174.19373,-14.144897,29.487133
172419,-0.5120117,-0.6459961,-11.025,106.38428,3.0517578,246.33789,-172.1228,-13.64502,29.497862
172436,-4.191797,0.521582,-10.374219,144.22607,-83.49609,250.06104,-168.57422,-11.535645,29.505371
172453,-4.2348633,2.5887694,-9.216211,77.57568,-177.97852,267.76123,-166.87683,-8.12439,29.510736
172470,-0.7321289,2.5409179,-9.374121,99.91455,-268.85986,276.9165,-165.0476,-1.6479492,29.5161
172487,1.7848632,2.909375,-9.441113,108.21533,-253.78418,250.30518,-164.02588,3.1091309,29.521465
172504,0.7416992,2.478711,-10.474707,120.30029,-242.3706,254.15039,-162.8888,7.5750732,29.530048
172521,-0.53115237,3.22041,-12.757227,131.46973,-239.99023,272.64404,-161.5924,13.601074,29.537558
172538,-2.1581054,4.6416016,-14.341113,118.71338,-292.5415,250.61035,-160.98267,18.69873,29.542923
172555,1.0575196,2.1533203,-11.905469,138.24463,-309.44824,214.78271,-159.93347,25.823364,29.542923
172572,1.8757813,2.3495116,-11.17334,136.59668,-284.30176,208.12988,-159.11499,30.662842,29.542923
172589,-0.2296875,1.8422852,-12.637598,125.305176,-291.19873,225.64697,-158.59863,35.194702,29.542923
172606,-3.000293,1.9714844,-18.241016,149.84131,-333.61816,262.6953,-158.42285,42.335815,29.542923
172623,-3.5649414,6.220703,-21.25088,183.59375,-387.63428,286.438,-158.5492,48.52661,29.584764
172640,-4.6320314,20.887207,-23.499903,193.72559,-422.18018,334.0454,-160.98267,57.996826,29.624462
172657,-5.2206054,29.816309,-22.418457,172.72949,-415.03906,336.54785,-166.32751,65.13245,29.664158
172674,-4.2444334,35.314453,-21.241308,138.48877,-364.37988,356.68945,-178.27515,71.21338,29.745697
172691,-5.0770507,36.482033,-22.83955,95.15381,-257.8125,321.41113,153.66577,74.60266,29.788612
172708,-4.703809,34.046387,-26.816015,-118.53027,-264.34326,183.59375,133.13782,74.50928,29.830456
172725,12.819433,24.18418,-27.390234,-320.92285,-205.93262,89.904785,108.76465,73.69629,29.864788
172742,29.175098,46.047558,-31.548534,-8.850098,189.08691,-98.083496,111.51123,72.27905,29.907703
172759,5.675195,98.933105,-60.62793,-704.77295,-453.61328,-633.4839,112.14844,75.805664,29.907703
172776,95.597855,82.29512,-133.08476,-746.64307,-700.8667,-1141.3574,-28.608398,82.45239,29.907703
172793,156.58467,80.15615,155.15869,-991.08887,-885.9253,-1691.04,-62.682495,57.974854,29.907703
172810,-154.17294,51.129395,-107.18272,-1220.1538,-430.3589,1999.6338,-86.7041,15.644531,30.099749
172827,153.90498,36.242775,28.20371,-481.2622,786.9263,1999.6338,-95.76782,-17.061768,30.296087
172844,123.25606,-8.694629,30.510157,875.42725,1999.7559,-1944.7632,-73.59192,-52.750854,30.488132
172861,85.45811,-61.3792,-117.23633,1782.2876,1999.7559,-1264.2212,1.0272217,-36.447144,30.679106
172878,-76.418945,-22.528515,151.81387,1207.0312,389.9536,552.9785,22.005615,-19.000854,30.87437
172895,-9.752149,61.517967,-96.885056,1061.5234,-539.0625,42.60254,53.99231,-29.23462,31.06749
172912,-2.6509767,95.9998,-29.11289,243.89648,-356.99463,-188.04932,68.12622,-29.21814,31.260609
172929,-10.221094,60.79541,-18.67168,26.000977,-424.74365,-134.33838,75.250854,-28.531494,31.651138
172946,-1.1484375,41.051857,-14.503809,-288.75732,-556.5796,-1.0375977,78.98071,-28.817139,31.651138
172963,7.015039,25.495312,-7.0868163,-320.6787,-420.89844,180.05371,78.59619,-31.50879,31.651138
172980,-10.804883,30.687206,2.603125,-364.68506,-562.5,260.86426,78.17322,-36.26587,31.651138
172997,5.2875977,15.097168,1.6700195,-221.43555,-672.7295,240.17334,81.45264,-40.46814,31.651138
173014,31.290136,11.149414,3.828125,-62.01172,-290.71045,127.74658,86.37451,-44.708862,31.651138
173031,24.428223,12.010742,7.010254,5.126953,-52.490234,22.216797,88.40149,-47.27417,31.45051
173048,8.019922,10.996289,6.0723634,45.47119,-10.437012,-69.15283,88.29712,-46.724854,31.246662
173065,4.1008787,5.900098,3.9238281,75.98877,14.160156,-161.9873,88.445435,-43.599243,30.843258
173082,4.8808594,3.9381835,2.8136718,85.38818,60.11963,-200.0122,88.58826,-40.786743,30.63941
173099,4.2348633,1.559961,1.6317383,103.637695,150.57373,-209.47266,88.33008,-37.93579,30.435562
173116,-2.4021485,0.46894532,-0.94267577,103.45459,182.86133,-190.67383,88.03345,-33.67859,30.234932
173133,-8.503222,0.14355469,-3.2586913,103.33252,136.53564,-151.7334,88.99475,-29.536743,30.034304
173150,-10.656543,-0.59814453,-4.565039,86.9751,47.424316,-97.41211,91.41724,-24.56543,29.830456
173167,-9.273633,-0.45458984,-3.952539,70.98389,-7.5683594,-55.236816,93.50464,-21.66504,29.830456
173184,-8.11084,-0.3828125,-3.1151366,51.757812,-41.503906,-16.479492,95.339355,-19.47876,29.830456
173201,-7.04375,-0.0765625,-2.0049806,27.160645,-88.80615,34.91211,97.300415,-17.5177,29.830456
173218,-5.9288087,-0.05263672,-1.8662109,10.803223,-112.36572,64.02588,98.52539,-16.715698,29.830456
173235,-4.9765625,-0.20097657,-1.4786133,4.3945312,-140.31982,97.717285,100.06897,-16.347656,29.804707
173252,-4.13916,0.28710938,-1.1627929,0.24414062,-150.8789,115.90576,101.12915,-16.550903,29.775738
