timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1029539979,6.369043,-2.8615234,2.3112304,-38.269043,138.85498,-217.83447,-174.88037,-75.14099,31.961203
1029539996,6.8379884,-4.7899413,0.32539064,-22.399902,132.50732,-197.50977,168.48633,-78.00293,31.961203
1029540013,8.340528,-4.7325196,0.11005859,-1.5258789,146.05713,-181.51855,153.67126,-79.37073,31.95262
1029540030,8.115625,-2.9955077,0.1866211,-19.53125,167.5415,-157.34863,135.54932,-80.2771,31.939745
1029540047,7.259082,-3.182129,-1.2393554,-25.268555,178.16162,-131.22559,110.45105,-80.02991,31.93438
1029540064,6.3164062,-3.1151366,-2.2203126,-30.944824,175.29297,-97.229004,94.64172,-79.27185,31.929016
1029540081,5.134473,-2.1676757,-2.7323241,-47.729492,161.68213,-75.43945,79.2334,-77.84363,31.92365
1029540098,4.9,-2.0001953,-2.8375976,-58.044434,159.79004,-59.631348,70.235596,-76.64612,31.916142
1029540115,3.3735352,-1.2202148,-3.2874024,-54.992676,146.1792,-57.06787,61.17737,-74.86633,31.916142
1029540132,3.4213867,-0.46416014,-3.273047,-72.81494,126.34277,-52.978516,56.694946,-73.498535,31.916142
1029540149,3.890332,-0.93789065,-3.4979491,-70.55664,133.42285,-60.913086,52.9541,-72.04834,31.93438
1029540166,2.4643555,-1.3494141,-3.5697265,-55.29785,145.69092,-57.31201,48.499146,-69.93347,31.939745
1029540183,2.3734374,-1.0575196,-3.885547,-43.151855,159.3628,-58.410645,45.549316,-68.20862,31.947254
1029540200,1.9666992,-1.1292969,-4.7420897,-38.57422,168.45703,-55.786133,42.1875,-65.791626,31.957983
1029540217,1.3350586,-0.7608398,-4.7373047,-30.212402,174.80469,-65.979004,40.303345,-63.83606,31.961203
1029540234,0.062207032,0.062207032,-4.895215,-58.22754,181.33545,-64.51416,38.86963,-61.57837,31.966566
1029540251,-1.9666992,-0.82304686,-4.6990232,-76.171875,163.08594,-44.37256,36.589966,-58.864746,31.966566
1029540268,-2.3112304,-1.3111328,-4.282715,-70.67871,143.55469,-35.27832,34.760742,-57.244263,31.966566
1029540285,-1.8327148,-1.0240234,-4.076953,-84.04541,116.21094,-15.869141,33.068848,-55.90393,31.966566
1029540302,-0.7225586,-1.4451172,-4.249219,-88.43994,120.4834,-7.751465,30.305786,-54.49768,31.966566
1029540319,-1.6317383,-1.5121094,-4.254004,-63.842773,123.10791,2.380371,28.240356,-53.399048,31.986952
1029540336,-3.0385742,-0.023925781,-4.196582,-79.04053,106.93359,17.700195,25.966187,-51.954346,32.006264
1029540353,-3.5314453,-0.03828125,-3.986035,-103.94287,80.01709,27.22168,24.093018,-51.09192,32.02665
1029540370,-2.7131836,-0.40673828,-2.9141603,-104.18701,36.56006,14.038086,21.483765,-50.427246,32.048107
1029540387,-0.6890625,-0.023925781,-3.4644532,-110.961914,45.715332,10.681152,19.714966,-50.20752,32.064198
1029540404,-0.5263672,-0.30146486,-3.9621093,-112.854004,75.31738,12.817383,17.70996,-49.77356,32.10604
1029540421,-2.1485353,-1.0527344,-3.5075195,-122.07031,89.96582,25.939941,14.458008,-48.66394,32.13823
1029540438,-2.1868165,-0.2536133,-4.378418,-89.96582,72.44873,-19.958496,12.903442,-47.944336,32.159687
1029540455,-2.9859376,0.062207032,-4.3209963,-99.42627,74.89014,0.12207031,10.997314,-46.796265,32.159687
1029540472,-3.890332,-0.5072266,-4.990918,-91.30859,59.265137,-3.479004,9.678955,-46.10962,32.159687
1029540489,-4.4310546,-0.066992186,-6.038867,-70.98389,30.761719,8.117676,8.761597,-45.93933,32.159687
1029540506,-5.335449,0.7608398,-6.550879,-89.904785,-4.0893555,-1.4648438,8.475952,-46.378784,32.159687
1029540523,-5.703906,0.0,-6.881055,-104.55322,-37.65869,-6.3476562,8.267212,-47.46643,32.159687
1029540540,-5.813965,-0.12919922,-6.9719725,-96.25244,-64.27002,5.859375,7.5915527,-49.850464,32.177925
1029540557,-5.8522463,1.071875,-7.292578,-131.28662,-88.256836,-2.9907227,7.300415,-51.866455,32.1908
1029540574,-6.091504,1.1340821,-8.058203,-188.7207,-126.28174,-22.521973,6.8444824,-54.310913,32.201527
1029540591,-6.7470703,-0.062207032,-8.546289,-183.04443,-157.53174,-37.475586,5.586548,-58.54065,32.2144
1029540608,-5.8474607,-0.8421875,-8.273535,-116.760254,-136.84082,-9.094238,4.356079,-61.92993,32.225132
1029540625,-6.780566,2.2777343,-7.866797,-111.328125,-121.7041,18.005371,3.3728027,-65.857544,32.23586
1029540642,-6.9624023,3.6558595,-8.177832,-147.15576,-127.13623,25.146484,2.642212,-68.67554,32.24659
1029540659,-5.9910154,4.718164,-9.666016,-176.3916,-124.38965,14.709473,1.6973877,-71.51001,32.257317
1029540676,-3.4835937,5.483789,-12.135157,-207.4585,-121.032715,-29.541016,1.6040039,-75.305786,32.257317
1029540693,0.3732422,6.986328,-21.222168,-268.98193,-33.447266,-5.79834,0.75805664,-77.39868,32.257317
1029540710,-0.23925781,6.8475585,-44.305763,-318.66455,16.906738,-123.22998,3.0596924,-78.497314,32.257317
1029540727,0.7416992,8.034277,-64.96328,-192.38281,-212.64648,-122.31445,14.49646,-81.01868,32.257317
1029540744,13.742969,28.7875,-78.13682,-753.72314,-789.48975,-219.11621,83.567505,-85.44617,32.259464
1029540761,49.435448,38.061134,-58.015236,-820.92285,-1190.5518,-595.459,141.53687,-66.30798,32.266975
1029540778,96.31563,31.223145,-38.247753,-567.44385,-960.14404,-982.91016,133.48389,-45.07141,32.27019
1029540795,105.10596,24.959375,-19.853613,-33.63037,-252.86865,-1374.3896,125.562744,-27.185669,32.280922
1029540812,51.20117,44.923046,-13.733398,305.7251,-150.63477,-1479.126,124.84863,-1.8896484,32.288433
1029540829,34.34785,67.70518,-10.197168,736.7554,-159.30176,-1500.061,133.80249,16.984863,32.29165
1029540846,53.63203,68.217186,-10.015332,1082.8247,189.7583,-1398.3154,163.09753,31.49231,32.293797
1029540863,33.907616,46.11455,-30.945606,1512.146,357.2998,-1017.5171,-167.28333,26.433105,32.29916
1029540880,5.9479494,55.139355,-63.81963,1610.2295,-510.68115,-691.04004,-129.92981,21.494751,32.29916
1029540897,19.250683,54.479004,-54.507713,1308.5938,-640.8081,-551.81885,-105.47424,17.940674,32.29916
1029540914,27.045704,53.201366,-33.213768,888.7329,-375.73242,-515.01465,-88.37402,10.925903,32.29916
1029540931,8.819043,32.653908,-26.677246,307.00684,-89.05029,-405.63965,-79.43115,-0.16479492,32.29916
1029540948,-2.9141603,23.55254,-23.844433,421.81396,-106.20117,-16.357422,-74.40491,-2.0159912,32.333492
1029540965,3.7754884,39.688087,-19.346386,-105.651855,-205.68848,-39.55078,-72.65259,-4.493408,32.371044
1029540982,6.038867,26.595898,-7.9481444,-155.70068,-258.97217,21.728516,-75.43213,-5.5371094,32.40752
1029540999,12.192578,22.246191,-2.4308593,-98.75488,-179.5044,-46.75293,-78.00293,-7.9211426,32.445072
1029541016,12.139941,16.671484,2.2203126,-57.128906,-134.94873,-132.26318,-79.14551,-10.805054,32.481552
1029541033,10.297656,12.905566,1.4833984,19.89746,-41.931152,-132.69043,-79.05762,-13.875732,32.51803
1029541050,4.1056643,10.048828,-2.1628907,152.70996,66.52832,-136.96289,-76.39343,-17.786865,32.592056
1029541067,-1.0288086,10.651758,-5.0626955,181.82373,83.740234,-106.26221,-73.39966,-19.995117,32.62961
1029541084,-3.5410156,11.297754,-5.9479494,114.56299,37.719727,-34.42383,-71.05408,-21.071777,32.62961
1029541101,-4.2109375,10.029688,-6.024512,52.55127,-22.399902,-36.254883,-69.9939,-21.890259,32.62961
1029541118,-3.3926759,8.847754,-5.3115234,13.183594,-55.480957,-28.015137,-70.60913,-22.769165,32.62961
1029541135,-1.6987305,7.8141603,-4.134375,-11.169434,-46.99707,-0.24414062,-72.07031,-24.087524,32.62961
1029541152,-1.5456054,7.97207,-3.2491212,-36.071777,-40.58838,19.104004,-73.168945,-24.801636,32.613514
1029541169,-0.32060546,8.1251955,-2.8567383,-74.279785,-32.043457,31.982422,-74.56421,-25.279541,32.5824
1029541186,-0.7991211,6.5078125,-2.8615234,-79.711914,10.437012,40.283203,-76.79993,-25.422363,32.568455
1029541203,-0.6220703,6.560449,-3.3113282,-100.83008,23.010254,54.382324,-78.55774,-25.10376,32.55558
1029541220,-1.0240234,6.2876954,-3.670215,-67.38281,66.345215,63.964844,-80.41443,-24.246826,32.542706
1029541237,-1.1723633,7.0916014,-4.1008787,-66.95557,85.81543,66.345215,-81.606445,-23.466797,32.52339
1029541254,-1.4977539,7.20166,-4.5219727,-79.40674,101.745605,64.331055,-82.76001,-22.63733,32.508373
1029541271,-1.3733399,7.742383,-4.938281,-101.623535,114.68506,71.16699,-84.80347,-21.43982,32.494427
1029541288,-1.6125977,7.780664,-5.1823244,-120.30029,130.24902,69.51904,-86.621704,-20.489502,32.494427
1029541305,-1.4164063,7.34043,-5.876172,-146.3623,138.24463,38.635254,-88.72009,-19.753418,32.494427
1029541322,-0.9091797,7.1825194,-7.115527,-154.41895,152.771,21.606445,-91.77429,-19.368896,32.494427
