timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
48286,1.2106445,-4.3257813,-2.239453,-67.44385,-62.13379,-124.45068,157.71423,-47.43347,21.61324
48303,2.631836,-4.842578,-1.1723633,-62.98828,-74.76807,-126.708984,154.59412,-45.142822,21.61324
48320,4.249219,-5.3067384,-0.60771483,-63.537598,-73.05908,-120.30029,152.5232,-43.33008,21.61324
48337,5.6177735,-6.6322265,-0.56464845,-53.16162,-61.340332,-117.30957,150.05676,-41.028442,21.61324
48354,6.3164062,-7.225586,-0.5263672,-31.433105,-35.52246,-119.62891,148.46924,-39.52881,21.61324
48371,5.81875,-7.20166,-0.29189453,-6.5307617,-11.230469,-114.56299,147.14539,-38.342285,21.60573
48388,4.904785,-6.8523436,-0.10048828,-0.79345703,-17.51709,-102.41699,145.77759,-36.90857,21.589636
48405,5.273242,-6.684863,-0.05263672,11.474609,-20.690918,-97.717285,145.11841,-35.81543,21.578907
48422,6.249414,-6.5125976,0.459375,24.414062,-25.817871,-86.42578,144.65149,-34.37622,21.568178
48439,7.440918,-6.158496,1.3350586,37.719727,-17.578125,-82.092285,144.59106,-33.381958,21.555304
48456,8.134766,-5.723047,2.0049806,47.729492,-4.699707,-75.68359,144.69543,-32.596436,21.533846
48473,8.263965,-5.297168,2.2538085,62.13379,21.1792,-75.19531,144.98108,-31.90979,21.517754
48490,7.64668,-4.919141,2.14375,72.75391,36.010742,-76.35498,145.27771,-31.651611,21.508097
48507,7.196875,-4.7277346,1.9236329,84.96094,52.4292,-71.28906,145.81604,-31.552734,21.508097
48524,6.58916,-4.354492,2.0384765,99.54834,64.51416,-69.76318,146.38733,-31.739502,21.508097
48541,6.3977537,-3.5745118,2.0480468,101.867676,62.74414,-59.020996,147.09595,-32.019653,21.508097
48558,7.742383,-3.1438477,1.9188477,110.4126,72.5708,-60.791016,148.11218,-32.50305,21.508097
48575,8.608496,-2.631836,2.0432618,124.572754,92.46826,-63.293457,148.96912,-33.112793,21.508097
48592,9.015234,-1.315918,1.9236329,140.07568,113.03711,-69.885254,150.17761,-34.260864,21.504879
48609,9.417188,-0.34931642,1.746582,146.60645,117.614746,-70.129395,151.11145,-35.271606,21.502733
48626,10.484278,0.4258789,1.440332,158.3252,130.98145,-77.33154,152.06177,-36.33728,21.497368
48643,11.828906,1.2728516,0.95703125,173.64502,151.24512,-81.4209,153.33069,-38.12805,21.497368
48660,12.71416,1.8805664,-0.019140625,188.78174,193.54248,-95.09277,154.13818,-39.902344,21.49415
48677,10.058398,3.3543944,-1.3924805,196.96045,228.33252,-98.69385,154.78088,-43.05542,21.492004
48694,9.000879,4.833008,-1.6604493,167.05322,194.03076,-79.46777,155.05554,-45.302124,21.492004
48711,10.297656,5.7374024,0.17226562,146.60645,209.96094,-77.57568,154.95117,-47.581787,21.486639
48728,10.489062,6.665723,0.6412109,126.15967,231.75049,-75.13428,153.97888,-50.88318,21.486639
48745,10.216309,7.5892577,0.59335935,76.66016,287.96387,-69.76318,151.72119,-53.997803,21.486639
48762,9.091797,6.1776366,-2.4260743,-33.691406,346.6797,-43.029785,145.5249,-58.90869,21.486639
48779,7.9098635,4.6081057,-5.0961914,-101.07422,418.7622,-19.40918,136.90063,-63.29773,21.486639
48796,3.340039,5.249316,-5.8905272,-184.021,421.63086,59.814453,123.777466,-67.55493,21.508097
48813,-0.98095703,5.3450193,-11.474805,-343.3838,389.34326,37.78076,99.28894,-71.45508,21.526337
48830,-3.22041,0.85654294,-13.671191,-426.81885,375.8545,88.31787,75.38269,-72.42737,21.54672
48847,-6.2063475,-3.1294923,-14.810059,-348.32764,362.91504,73.12012,45.911865,-70.06531,21.584272
48864,-8.115625,-2.29209,-15.613965,-289.7339,306.15234,45.043945,31.99768,-66.74194,21.60573
48881,-7.541406,0.59335935,-16.10205,-363.83057,324.1577,20.202637,22.17041,-61.51245,21.626114
48898,-9.182714,3.6223633,-20.140722,-501.09863,338.98926,64.697266,9.069214,-56.749878,21.636843
48915,-11.714063,2.421289,-22.121777,-589.29443,317.99316,109.13086,-1.9171143,-51.94336,21.6583
48932,-12.575391,1.315918,-25.361328,-630.3711,267.5171,131.53076,-16.02356,-45.906372,21.6583
48949,-12.541895,1.5743164,-27.773046,-630.79834,261.16943,176.69678,-26.317749,-41.39099,21.6583
48966,-13.068262,3.5170898,-31.103516,-658.8135,270.38574,227.7832,-36.502075,-36.30432,21.6583
48983,-14.22627,7.235156,-39.65459,-753.6011,323.4253,299.1333,-50.668945,-28.322754,21.6583
49000,-18.79131,10.924512,-50.933205,-856.01807,403.25928,380.12695,-62.20459,-20.775146,21.689415
49017,-40.89873,18.877441,-64.5374,-1055.1758,-36.43799,365.1123,-80.71655,-11.826782,21.716236
49034,-45.918358,11.64707,-68.31289,-1075.6226,-631.4087,198.7915,-98.56384,-7.163086,21.748423
