timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1131904,17.346191,5.7469726,-2.603125,-162.53662,-93.444824,-493.34717,151.85303,7.2564697,27.505516
1131921,19.485157,2.2250977,-0.6699219,-120.788574,162.04834,-552.6123,150.71594,11.365356,27.50337
1131938,16.111622,-1.4068359,0.37802735,-62.5,325.56152,-566.89453,151.44104,11.837769,27.492641
1131955,13.489355,-2.5552735,-1.1532227,-33.14209,424.19434,-580.0781,152.89673,10.612793,27.492641
1131972,12.063379,-6.9384766,-5.3737307,34.42383,546.93604,-577.2705,155.26978,6.624756,27.492641
1131989,7.34043,-8.441015,-9.134863,120.97168,576.0498,-511.16943,157.47803,2.0159912,27.492641
1132006,-0.15791015,-7.895508,-12.575391,221.25244,451.11084,-389.7705,159.92249,-3.1256104,27.492641
1132023,-7.8333006,-2.9524415,-10.895801,264.28223,254.82178,-342.83447,163.95447,-7.6519775,27.481913
1132040,-7.2686524,2.8375976,-7.7088866,205.32227,59.936523,-303.1006,166.70654,-8.140869,27.47333
1132057,-3.005078,3.9094727,-3.5410156,120.36133,0.30517578,-245.3003,168.93677,-7.3168945,27.463675
1132074,-1.2632812,3.4740233,-0.55029297,83.92334,1.7700195,-208.19092,169.9585,-6.696167,27.452946
1132091,-0.54072267,4.0003905,1.1292969,49.926758,46.691895,-173.76709,170.61218,-6.5039062,27.436852
1132108,-3.4453125,5.1679688,2.0432618,25.756836,41.381836,-139.4043,170.87036,-6.932373,27.426123
1132125,-3.6032226,5.1966796,3.1007812,-10.192871,10.131836,-116.1499,170.56274,-6.8389893,27.413248
1132142,-2.6461914,5.2014647,5.0770507,-22.094727,7.080078,-75.74463,170.0354,-6.7181396,27.40252
1132159,-0.83261716,5.0052733,5.880957,-69.82422,7.2021484,-61.21826,169.10706,-6.6082764,27.40252
1132176,2.0911133,3.0337892,5.885742,-64.94141,77.02637,-16.723633,167.90405,-7.3773193,27.40252
1132193,2.0958984,3.215625,4.679883,-60.058594,128.17383,-3.90625,166.5857,-9.014282,27.40252
1132210,-0.21054688,3.608008,3.3878906,-68.42041,143.7378,23.07129,165.531,-11.118164,27.40252
1132227,-3.7324219,4.2970705,2.5265625,-81.604004,107.97119,66.89453,164.04236,-13.782349,27.40252
1132244,-5.1918945,3.9381835,2.0384765,-102.47803,58.288574,99.609375,162.61963,-15.056763,27.40252
1132261,-6.1776366,2.9333007,1.4977539,-112.854004,-28.808594,152.46582,161.46606,-15.836792,27.40252
1132278,-4.995703,2.4356446,0.95224607,-113.586426,-71.22803,190.36865,160.04333,-15.721436,27.40252
1132295,-3.6415038,2.9285157,0.6029297,-145.01953,-103.94287,218.5669,159.01062,-15.490723,27.40252
1132312,-2.3782227,1.1532227,-0.28232422,-141.96777,-103.637695,243.4082,157.45605,-15.276489,27.40252
1132329,-2.454785,0.94746095,-0.6507813,-129.15039,-116.69922,249.08447,156.58264,-15.183105,27.40252
1132346,-1.3876953,1.2824218,-0.32539064,-152.16064,-110.83984,257.75146,155.61035,-15.133667,27.397156
1132363,0.2536133,0.28710938,0.8086914,-141.6626,-95.15381,262.08496,154.14368,-15.413818,27.397156
1132380,2.4452147,0.44501954,1.2728516,-150.14648,-48.095703,262.5122,153.02307,-16.386108,27.397156
1132397,1.9858398,-0.85654294,1.7035156,-101.5625,27.770996,259.3994,152.00134,-18.880005,27.397156
1132414,-1.7513672,1.9236329,1.7657226,-115.29541,41.3208,255.00488,151.52893,-21.258545,27.397156
1132431,-3.890332,2.29209,1.8422852,-167.11426,-7.873535,266.8457,150.71594,-23.961182,27.397156
1132448,-2.1868165,-0.08613281,1.287207,-140.93018,-12.390137,268.5547,149.77661,-25.768433,27.389645
1132465,-0.59814453,1.7274414,-0.119628906,-146.11816,42.907715,255.49316,149.23828,-28.042603,27.386427
1132482,-3.8664062,-0.5120117,-2.29209,-181.9458,84.7168,234.5581,147.80457,-31.799927,27.375698
1132499,-6.029297,-3.430957,-3.2395508,-200.8667,71.41113,236.6333,146.57959,-34.502563,27.368187
1132516,-6.3020506,-5.134473,-2.9189453,-182.18994,18.737793,241.02783,145.65125,-36.870117,27.36497
1132533,-4.282715,-3.1294923,-2.138965,-184.57031,34.973145,245.84961,144.98657,-40.039673,27.357458
1132550,-5.474219,-2.3447266,-3.3496094,-216.3086,44.73877,220.88623,144.04175,-42.577515,27.352095
1132567,-9.689941,-4.0865235,-6.4121094,-273.98682,46.26465,228.39355,141.97083,-45.91736,27.344584
1132584,-12.738086,-4.5219727,-10.388575,-290.6494,0.4272461,241.21094,140.48218,-48.361816,27.344584
1132601,-11.522656,-3.1055665,-15.963282,-311.95068,-88.012695,241.57715,139.87793,-49.976807,27.344584
1132618,-3.7180665,1.7561524,-31.586817,-290.22217,65.67383,228.33252,138.42224,-52.756348,27.344584
1132635,-15.063672,8.833399,-41.812695,-283.26416,5.6152344,193.48145,136.34583,-55.39856,27.344584
1132652,-21.738964,17.925196,-41.09971,-382.1411,-528.74756,-172.42432,134.79126,-50.213013,27.341366
1132669,-8.321386,26.399708,-31.783009,-317.1997,-692.5659,-270.44678,134.3518,-40.69336,27.341366
1132686,10.024902,21.896875,-28.983692,-125.24414,-600.3418,-577.6367,133.21472,-25.125732,27.336
1132703,13.341016,23.184082,-21.384863,13.916016,-543.7622,-869.2627,131.85791,-10.876465,27.336
1132720,14.140137,31.926563,-20.336914,100.15869,-558.8379,-1095.7642,132.72034,6.1413574,27.333855
1132737,26.830372,38.975098,-14.312403,284.3628,-356.20117,-1254.5166,140.75684,29.487305,27.333855
1132754,27.351954,34.247364,2.3351562,515.68604,-46.936035,-1330.7495,159.06006,41.26465,27.333855
1132771,4.938281,19.327246,1.4307617,1160.6445,-42.663574,-916.1377,-172.41394,42.264404,27.330637
1132788,2.5026367,36.587303,-24.121973,627.6245,-508.1787,-754.8828,-137.90039,41.676636,27.330637
1132805,9.776074,13.092188,-18.384571,434.75342,-287.59766,-456.66504,-122.26135,37.69409,27.330637
1132822,13.403223,12.183008,3.3543944,159.85107,-91.06445,-349.36523,-111.346436,31.860352,27.330637
1132839,0.81826174,2.8998046,-5.153613,169.73877,115.478516,-63.171387,-109.46777,29.42688,27.330637
1132856,-9.780859,10.029688,-13.331446,125.427246,-127.74658,118.28613,-106.47949,30.448608,27.40252
1132873,0.60771483,22.322754,-8.75205,-193.0542,-268.37158,108.27637,-105.27649,33.71704,27.442217
1132890,12.254786,14.623438,-6.550879,-296.5088,-260.80322,81.29883,-106.918945,35.96924,27.481913
1132907,22.648144,6.9624023,-0.56943357,-68.115234,-24.719238,102.41699,-108.90198,38.7323,27.516245
1132924,15.676172,10.345508,-1.7848632,-0.24414062,61.401367,55.847168,-109.94568,39.490356,27.552723
1132941,8.622851,10.804883,-2.7658203,17.63916,35.64453,19.28711,-110.57739,39.72107,27.59242
1132958,6.3786135,9.938769,-2.665332,12.145996,13.73291,4.0283203,-110.720215,39.748535,27.616024
1132975,6.4791017,8.900391,-1.9475586,14.404297,3.0517578,-0.4272461,-110.57739,39.732056,27.653574
1132992,6.7470703,8.340528,-1.1005859,20.141602,42.541504,-2.5024414,-110.582886,39.545288,27.653574
1133009,5.914453,8.254395,-1.3876953,24.536133,85.754395,-16.357422,-111.049805,38.99597,27.653574
1133026,4.0003905,7.474414,-2.3064454,40.71045,114.80713,9.521484,-111.62659,38.287354,27.653574
1133043,3.0959961,6.7327147,-2.6892579,52.612305,123.7793,21.54541,-112.49451,37.6886,27.653574
1133060,4.038672,6.369043,-2.1054688,47.790527,144.83643,29.785156,-113.274536,37.26013,27.664303
1133077,6.062793,5.474219,-1.0766602,6.8969727,222.77832,42.419434,-115.76294,36.452637,27.680397
1133094,6.034082,7.230371,-2.7514648,42.23633,304.99268,-46.38672,-117.993164,34.475098,27.690052
1133111,1.6748047,11.666211,-5.4024415,-7.8125,319.0918,-192.62695,-119.61365,30.377197,27.71473
1133128,-3.1007812,13.293164,-6.3164062,-183.53271,245.84961,-237.42676,-122.88757,23.752441,27.727604
1133145,-2.4356446,7.527051,-5.6560545,-226.7456,175.29297,-272.64404,-126.34827,18.737183,27.738333
1133162,0.4928711,4.4884768,-3.7754884,-156.49414,220.88623,-178.52783,-130.27588,12.914429,27.751207
1133179,1.038379,7.2112303,-2.138965,-127.68555,246.15479,-136.65771,-132.5885,8.865967,27.761936
1133196,1.0240234,7.206445,-2.3830078,-116.51611,202.9419,-158.26416,-134.60999,3.5925293,27.761936
1133213,2.8758788,4.0051756,-2.7179687,-87.46338,185.2417,-116.51611,-136.8512,0.31860352,27.761936
1133230,1.7896484,1.225,-1.6317383,35.88867,224.79248,-79.711914,-136.9281,-2.9553223,27.761936
1133247,2.3351562,6.6322265,-1.7896484,-47.36328,272.09473,8.605957,-136.61499,-7.157593,27.761936
