timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
853172,-2.1581054,-0.6890625,-0.82783204,-73.85254,17.63916,-93.811035,-7.866211,-20.917969,28.845549
853189,-0.96181643,-1.8231446,-0.41630858,-82.03125,20.263672,-97.29004,-8.723145,-20.74768,28.876661
853206,-0.12919922,-2.851953,0.68427736,-45.47119,45.410156,-99.243164,-9.4921875,-20.319214,28.876661
853223,-0.05263672,-2.6270509,0.9953125,-16.296387,67.56592,-115.53955,-9.42627,-19.643555,28.876661
853240,-0.7751953,-2.138965,0.30146486,-44.677734,61.09619,-107.48291,-9.310913,-18.616333,28.876661
853257,-1.2058594,-2.6126952,-0.36367187,-60.791016,44.6167,-91.30859,-9.992065,-17.995605,28.876661
853274,-0.8421875,-2.784961,-1.0240234,-71.16699,37.597656,-104.73633,-10.788574,-17.616577,28.876661
853291,-0.14833984,-3.3543944,-1.3829101,-67.13867,72.20459,-94.60449,-11.942139,-16.902466,28.894901
853308,-0.47373047,-3.9429688,-2.0480468,-55.236816,101.80664,-79.40674,-12.788086,-15.809326,28.90563
853325,-1.5886719,-3.7946289,-2.6749024,-38.635254,115.356445,-63.659668,-13.50769,-14.353638,28.910994
853342,-3.215625,-2.9572265,-3.5314453,-37.475586,102.47803,-53.95508,-14.436035,-12.194824,28.921722
853359,-4.014746,-2.4452147,-3.5266602,-50.109863,67.74902,-52.856445,-15.26001,-10.881958,28.929234
853376,-3.3208985,-2.603125,-2.8615234,-75.25635,10.253906,-40.039062,-16.89148,-10.118408,28.939962
853393,-1.8757813,-2.9763672,-2.2873046,-78.063965,12.084961,-29.11377,-18.29773,-9.942627,28.937817
853410,-0.91875,-3.182129,-1.6652343,-69.15283,28.381348,-16.357422,-19.627075,-9.624023,28.948545
853427,-0.8756836,-2.9667969,-1.3446289,-70.495605,46.99707,6.164551,-21.313477,-8.761597,28.948545
853444,-1.2154297,-2.789746,-0.8948242,-67.13867,45.166016,20.507812,-22.58789,-7.9266357,28.948545
853461,-1.2441406,-2.603125,-0.34931642,-77.75879,11.962891,27.954102,-24.351196,-7.102661,28.948545
853478,-0.09091797,-2.8663087,0.13398437,-65.36865,13.305664,41.381836,-25.647583,-6.6796875,28.948545
853495,0.98095703,-2.7801757,0.26796874,-53.222656,31.49414,51.330566,-26.762695,-5.8831787,28.948545
853512,2.0384765,-2.234668,0.21533203,-46.75293,60.180664,67.13867,-27.982178,-4.855957,28.948545
853529,1.8279297,-1.6556641,-0.91875,-52.612305,90.57617,98.69385,-28.90503,-3.2629395,28.948545
853546,0.70820314,-1.4594727,-2.076758,-83.55713,80.01709,145.56885,-30.72876,-0.5383301,28.953909
853563,-0.46894532,-2.0671875,-0.7512695,-51.208496,84.65576,180.9082,-31.860352,1.8347168,28.953909
853580,-1.5695312,-0.81826174,-0.58378905,-65.18555,57.06787,198.4253,-32.53601,4.493408,28.953909
853597,0.16748047,-1.1340821,-0.10048828,-113.40332,5.3710938,204.28467,-34.085083,7.3168945,28.956055
853614,4.4884768,-3.7467773,0.42109376,-114.19678,6.4697266,221.98486,-35.601196,9.014282,28.956055
853631,10.120605,-6.550879,-0.6651367,-7.080078,132.01904,272.2168,-36.430664,12.502441,28.956055
853648,9.082227,-4.7899413,-2.90459,18.493652,275.14648,343.62793,-35.914307,17.748413,28.956055
853665,5.909668,-5.2828126,-3.488379,-39.001465,328.4912,389.34326,-35.941772,24.488525,28.956055
853682,1.1867187,-7.230371,-1.4164063,-12.268066,355.896,433.77686,-35.337524,34.89258,28.956055
853699,-2.7418945,-6.708789,0.023925781,-67.07764,260.2539,422.30225,-34.085083,42.34131,28.956055
853716,1.5216796,-9.359766,0.53115237,-51.818848,196.3501,398.4375,-31.37146,49.751587,28.956055
853733,4.1104493,-9.967481,-0.41152343,-3.2958984,208.55713,417.5415,-27.29004,55.266724,28.956055
853750,7.6706057,-8.311816,1.0670898,-33.935547,238.03711,445.3125,-20.906982,60.54016,28.953909
853767,15.594824,-8.957812,-1.0862305,-0.48828125,228.75977,464.17236,-7.1466064,66.780396,28.953909
853784,20.5666,-6.129785,-2.416504,95.27588,303.34473,474.24316,11.491699,70.460815,28.953909
853801,20.04502,2.0432618,-4.565039,111.38916,348.38867,460.32715,48.619995,71.52649,28.956055
