timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
206394,0.13398437,-0.028710937,-0.3158203,2.1972656,0.30517578,0.30517578,105.24902,-76.294556,88.57083
206411,0.0765625,-0.057421874,-0.28710938,1.8920898,3.112793,-0.18310547,105.216064,-76.30005,88.57083
206428,-0.11484375,-0.057421874,-0.30146486,1.2207031,3.0517578,0.0,105.06775,-76.311035,88.57083
206445,-0.17226562,-0.033496093,-0.31103516,0.18310547,2.9296875,0.4272461,104.96338,-76.327515,88.57083
206462,-0.062207032,-0.2296875,-0.23447266,0.48828125,4.5776367,2.2583008,104.80408,-76.37146,88.57083
206479,0.0047851563,-0.24404296,-0.17226562,1.159668,7.9345703,2.5634766,104.48547,-76.448364,88.57083
206496,-0.095703125,-0.26796874,-0.2296875,1.7089844,10.375977,3.8452148,103.99109,-76.54175,88.57083
206513,-0.3301758,-0.17705078,-0.39716798,0.61035156,7.2631836,5.3100586,103.46924,-76.673584,88.56869
206530,-0.27753907,-0.18183593,-0.3732422,-0.6713867,3.0517578,7.446289,103.375854,-76.78894,88.56869
206547,-0.0047851563,-0.23925781,-0.19140625,-1.5869141,1.2817383,9.460449,103.48572,-76.9812,88.56869
206564,0.2536133,-0.27753907,-0.153125,-0.9765625,3.1738281,10.253906,103.51318,-77.145996,88.56547
206581,0.17705078,-0.1866211,-0.17705078,-1.7089844,3.112793,9.643555,103.43628,-77.316284,88.56547
206598,-0.023925781,-0.119628906,-0.25839844,-2.9907227,1.159668,9.094238,103.45825,-77.51953,88.56547
206615,-0.09091797,-0.21533203,-0.32060546,-3.9672852,-1.2817383,10.009766,103.67798,-77.65686,88.5526
206632,-0.153125,-0.10527344,-0.28232422,-5.6762695,-2.1972656,10.559082,104.08447,-77.86011,88.5526
206649,-0.25839844,-0.019140625,-0.30625,-7.446289,-4.0283203,10.375977,104.45801,-77.99744,88.5526
206666,-0.35888672,-0.0047851563,-0.31103516,-9.216309,-5.2490234,10.070801,104.902954,-78.16223,88.5526
206683,-0.27753907,-0.12919922,-0.28710938,-9.277344,-2.1362305,10.009766,105.44678,-78.29407,88.5526
206700,-0.27753907,-0.14355469,-0.3301758,-8.483887,2.9907227,10.192871,105.5072,-78.447876,88.5526
206717,-0.58857423,0.0765625,-0.57421875,-9.460449,6.225586,8.239746,105.13367,-78.63464,88.5526
206734,-0.9043945,0.14355469,-0.7751953,-12.451172,1.3427734,8.728027,105.0238,-78.75549,88.5526
206751,-0.91396487,0.17705078,-0.7416992,-16.540527,-8.239746,10.498047,105.45776,-78.84888,88.5526
