timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1422470,0.47373047,-0.08613281,0.14833984,13.671875,19.226074,-9.399414,163.58093,-82.33154,86.290955
1422487,-0.14833984,0.09091797,-0.124414064,14.038086,15.441895,-9.70459,161.68579,-82.53479,86.2931
1422504,-0.33496094,0.033496093,-0.22490235,12.939453,6.8969727,-9.094238,160.46631,-82.611694,86.290955
1422521,-0.3397461,-0.05263672,-0.11005859,12.390137,1.0375977,-8.911133,159.32373,-82.60071,86.2931
1422538,0.15791015,-0.6555664,0.0,15.563965,2.319336,-6.652832,158.80188,-82.58423,86.2931
1422555,0.5072266,-0.5024414,0.32539064,19.958496,10.620117,-5.554199,158.33496,-82.6886,86.2931
1422572,0.09091797,0.12919922,0.32060546,19.65332,13.305664,-11.474609,156.51672,-82.88635,86.2931
1422589,0.019140625,-0.20097657,0.14833984,20.446777,8.483887,-12.634277,154.89624,-82.95776,86.2931
1422606,0.2727539,-0.56464845,0.21533203,19.28711,4.760742,-13.305664,153.13293,-82.96326,86.2931
1422623,0.48330078,-0.7560547,0.3301758,21.972656,9.58252,-13.061523,151.77612,-83.0072,86.2931
1422640,0.15791015,-0.459375,0.3301758,22.521973,13.000488,-15.808105,149.92493,-83.100586,86.29632
1422657,-0.023925781,-0.5359375,0.21533203,23.254395,11.779785,-13.916016,147.33215,-83.172,86.29632
1422674,-0.17226562,-0.26796874,0.29189453,23.376465,8.239746,-13.427734,145.67322,-83.19397,86.29632
1422691,-0.124414064,-0.2727539,0.41152343,24.108887,4.699707,-12.573242,143.78357,-83.15552,86.30168
1422708,-0.03828125,-0.16748047,0.40673828,23.986816,0.24414062,-12.634277,142.67395,-83.08411,86.30383
1422725,0.59335935,-0.5120117,0.7321289,29.541016,4.333496,-9.460449,142.03125,-83.02368,86.30383
1422742,0.39716798,-0.023925781,0.91875,32.592773,3.6621094,-11.962891,140.59753,-83.012695,86.30383
1422759,0.45458984,-0.009570313,0.8996094,36.315918,5.1879883,-11.291504,139.5044,-82.98523,86.30383
1422776,0.19140625,0.16748047,0.70341796,36.010742,-3.7841797,-12.512207,138.41125,-82.8479,86.30383
1422793,0.48330078,-0.12919922,0.96660155,38.879395,-6.225586,-11.59668,138.22998,-82.699585,86.30383
1422810,0.7225586,-0.09091797,1.225,44.189453,-2.6245117,-14.343262,137.92786,-82.54578,86.30383
1422827,0.81826174,0.057421874,1.4594727,48.76709,3.7841797,-17.456055,136.63147,-82.40845,86.30383
1422844,0.9091797,-0.014355469,1.4881836,53.95508,9.277344,-18.798828,135.03296,-82.337036,86.30383
1422861,0.6268555,0.44501954,1.4786133,57.556152,13.977051,-21.66748,132.23145,-82.29309,86.30383
1422878,0.3158203,0.3732422,1.2728516,58.410645,9.765625,-23.19336,130.07263,-82.161255,86.29846
1422895,-0.066992186,0.44023436,1.0288086,56.57959,-2.8076172,-24.597168,128.52905,-81.9635,86.29846
1422912,0.023925781,-0.028710937,1.043164,57.556152,-8.178711,-22.460938,127.94678,-81.535034,86.29846
1422929,0.13398437,0.014355469,1.2776368,59.387207,-7.019043,-22.399902,127.81494,-81.2384,86.30168
1422946,0.7895508,-0.0765625,1.4642578,67.26074,4.3945312,-20.324707,127.161255,-80.94177,86.30168
1422963,0.55986327,0.5072266,1.3589844,70.98389,9.70459,-21.728516,126.03516,-80.79346,86.30168
1422980,0.24882813,0.5263672,1.0575196,74.89014,7.9345703,-16.967773,124.96948,-80.60669,86.30168
1422997,-0.31103516,0.85654294,0.7991211,77.45361,-1.0375977,-15.991211,124.590454,-80.40344,86.30168
1423014,-0.071777344,1.1867187,1.1675781,76.78223,-8.300781,-13.916016,125.128784,-80.16174,86.30168
1423031,1.1149414,0.69863284,1.3924805,82.94678,-3.2348633,-12.634277,125.97473,-79.870605,86.30383
1423048,1.9284179,0.95224607,1.4499023,89.59961,7.507324,-11.71875,126.09009,-79.78821,86.3092
1423065,2.574414,1.5695312,0.93789065,93.87207,11.657715,-14.709473,125.67261,-79.72229,86.31456
1423082,3.4979491,2.3973632,0.765625,95.703125,-7.6904297,-17.700195,126.04614,-79.44214,86.31992
1423099,4.7564454,3.608008,0.8996094,96.86279,-24.169922,-24.597168,127.61719,-79.01367,86.32207
1423116,7.3643556,4.90957,0.80390626,101.379395,-32.958984,-34.301758,130.22095,-78.11279,86.32529
1423133,9.311914,6.4168944,0.6459961,107.72705,-12.145996,-44.6167,131.04492,-77.45911,86.31992
1423150,10.623047,7.981641,-0.17705078,113.40332,16.418457,-51.635742,130.03418,-77.01965,86.32529
1423167,13.211817,12.680664,0.6029297,107.055664,-9.58252,-59.753418,128.8147,-76.21216,86.32529
1423184,14.116211,21.667187,5.579492,82.03125,-41.3208,-39.855957,129.86938,-75.371704,86.32529
1423201,20.437403,55.20635,18.56162,2.4414062,40.222168,-25.756836,130.33081,-75.03662,86.32529
1423218,32.86924,69.446976,14.360254,-250.42725,259.76562,-191.58936,115.493774,-74.75098,86.32529
1423235,43.243458,46.683983,-14.551661,-577.2705,419.4336,-197.02148,89.31885,-72.323,86.34889
1423252,13.001269,23.71045,-57.38838,-959.10645,409.66797,-97.53418,54.475708,-66.7749,86.3725
1423269,-16.37002,4.7660155,-81.62998,-1374.2676,154.66309,18.737793,30.882568,-63.550415,86.399315
1423286,-41.243263,-21.62412,-90.14756,-1568.9087,-68.96973,306.9458,-8.97583,-64.330444,86.42292
1423303,-40.157032,-21.896875,-86.12803,-1675.8423,-335.9375,658.8745,-51.097412,-63.36914,86.444374
1423320,-30.275684,-27.021778,-67.22188,-1285.8276,-667.48047,1101.8677,-94.41101,-52.146606,86.494804
1423337,-5.0866213,-38.324318,-21.949512,-864.4409,-1049.4385,1266.3574,-122.60742,-23.164673,86.51304
1423354,37.180664,-14.7574215,15.082812,-291.01562,-718.13965,907.4707,-129.82544,-3.081665,86.53879
1423371,37.69746,2.1916015,17.580664,203.125,-2.1362305,324.40186,-129.14978,8.55835,86.53879
1423388,9.81914,14.977539,2.8375976,297.36328,95.39795,-15.441895,-125.337524,8.904419,86.53879
1423405,-1.5982422,18.820019,-0.1866211,328.4912,97.41211,-398.0713,-120.55847,3.4716797,86.53879
1423422,3.3639648,9.139648,0.4928711,356.14014,189.5752,-555.11475,-113.81287,-4.3725586,86.53879
1423439,2.0671875,1.8231446,-3.3878906,396.91162,299.86572,-620.8496,-107.96265,-14.238281,86.53879
1423456,-9.713867,-1.1149414,-11.728418,431.70166,353.08838,-625.8545,-97.9541,-27.89978,86.60531
1423473,-16.42744,-1.009668,-14.130567,426.94092,256.46973,-554.62646,-89.0387,-36.886597,86.63964
