timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
936751,-0.85654294,-0.6603516,-0.24404296,11.230469,11.291504,11.413574,154.14368,-60.76538,87.141754
936768,-1.0288086,-0.6364258,-0.27753907,11.535645,3.9672852,13.671875,154.62158,-60.908203,87.141754
936785,-0.8756836,-0.59814453,-0.14833984,12.207031,-3.4179688,13.85498,155.21484,-60.9906,87.141754
936802,-0.67470706,-0.67470706,-0.028710937,13.061523,-7.446289,12.023926,156.0553,-60.985107,87.141754
936819,-0.48808593,-0.71777344,-0.033496093,13.793945,-8.056641,9.460449,156.68152,-60.93567,87.1439
936836,-0.11484375,-0.95224607,0.05263672,16.479492,-6.7749023,4.211426,157.38464,-60.842285,87.13424
936853,0.23447266,-0.96660155,0.36367187,19.714355,-2.9907227,-0.9765625,157.8186,-60.820312,87.13424
936870,0.56464845,-0.8900391,0.70820314,24.291992,1.6479492,-9.82666,158.0658,-60.820312,87.13424
936887,0.7321289,-0.8900391,0.9043945,28.747559,5.6762695,-16.296387,158.18115,-60.864258,87.13424
936904,0.6507813,-0.6651367,0.85654294,31.61621,7.2631836,-23.31543,158.08228,-60.90271,87.13424
936921,0.7225586,-0.8852539,0.82304686,36.132812,8.728027,-27.893066,157.83508,-60.91919,87.13424
936938,0.5120117,-0.6029297,0.98095703,37.109375,7.385254,-32.836914,157.54944,-60.91919,87.13102
936955,0.56464845,-0.6364258,1.253711,37.963867,2.5024414,-35.705566,157.21985,-60.842285,87.13102
936972,0.84697264,-0.6507813,1.7513672,37.963867,-0.12207031,-38.513184,156.74194,-60.682983,87.128876
936989,1.4929688,-1.009668,2.2729492,39.55078,-2.0751953,-40.039062,156.36292,-60.48523,87.128876
937006,3.2586913,-1.1627929,3.493164,50.29297,-3.1738281,-43.70117,155.96191,-60.100708,87.12351
937023,6.345117,-0.8421875,5.9527345,65.36865,-5.6762695,-48.52295,155.80261,-59.749146,87.12029
937040,7.7136717,0.49765626,7.407422,88.62305,-9.94873,-64.02588,155.77515,-59.260254,87.128876
937057,10.666113,2.7036133,9.613379,102.23389,11.84082,-85.9375,155.51147,-58.656006,87.12351
937074,12.8050785,2.4834962,9.685156,124.87793,72.75391,-105.10254,154.50073,-58.710938,87.12351
937091,11.690137,3.1629882,7.1873045,122.37549,143.98193,-120.17822,151.84204,-59.798584,87.12351
937108,7.072461,2.9524415,3.493164,91.61377,159.17969,-113.464355,148.60657,-60.979614,87.12351
937125,1.7035156,2.7945313,0.34931642,41.259766,147.03369,-89.29443,144.89319,-62.094727,87.12351
937142,-4.2157226,2.1628907,-2.1006837,-41.68701,88.012695,-38.635254,140.17456,-63.14392,87.128876
937159,-5.904883,0.18183593,-3.000293,-106.99463,50.04883,5.065918,137.42798,-63.73169,87.13102
937176,-7.747168,-2.5313478,-4.2013674,-172.97363,43.029785,65.49072,134.56604,-64.956665,87.13102
937193,-10.27373,-3.8089843,-6.1441407,-213.50098,34.91211,108.58154,132.84668,-66.379395,87.13424
937210,-14.719141,-4.2061524,-8.780762,-265.50293,-38.94043,172.54639,132.30835,-67.98889,87.138535
937227,-17.508886,-5.1057615,-10.618261,-276.062,-139.77051,226.62354,137.54333,-69.55994,87.141754
937244,-14.747851,-5.8283205,-9.421972,-260.37598,-196.59424,266.90674,146.27747,-69.76318,87.141754
937261,-8.187403,-4.7660155,-5.885742,-190.85693,-178.40576,264.5874,159.48303,-68.845825,87.141754
937278,-3.6510742,-3.521875,-3.3543944,-122.00928,-145.01953,228.51562,167.74475,-67.60986,87.141754
937295,-1.1005859,-2.30166,-2.0911133,-36.315918,-102.90527,152.83203,174.33105,-66.154175,87.141754
937312,-1.1388671,-1.2632812,-2.1293945,12.6953125,-97.65625,87.40234,179.60449,-64.27002,87.141754
