timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
654378,0.17705078,1.8805664,-5.115332,-28.808594,191.65039,34.606934,120.201416,-51.09192,87.374565
654395,-1.5168946,2.7083983,-5.80918,-39.42871,179.07715,38.391113,117.34497,-52.608032,87.39281
654412,-2.205957,2.6461914,-5.9862304,-62.194824,149.6582,41.931152,113.4668,-54.228516,87.41105
654429,-1.6604493,1.808789,-5.5125,-76.9043,132.50732,48.64502,110.6488,-55.316162,87.41641
654446,-0.7416992,0.8086914,-4.627246,-77.697754,132.08008,53.95508,107.78137,-56.45874,87.43465
654463,-0.8996094,0.7512695,-3.9333985,-79.65088,144.65332,55.725098,103.2605,-58.05725,87.43465
654480,-1.4164063,0.54072267,-3.9142578,-80.444336,155.33447,57.31201,99.25049,-59.18335,87.43465
654497,-2.7610352,0.8756836,-3.8376954,-83.19092,153.44238,65.979004,93.4552,-60.512695,87.43465
654514,-3.952539,1.7083008,-3.8568358,-92.041016,147.46094,65.49072,88.89038,-61.24878,87.47434
654531,-4.679883,1.4977539,-4.2348633,-109.61914,143.00537,77.941895,84.08386,-61.84204,87.514046
654548,-4.5506835,0.79433596,-4.3592772,-113.342285,154.96826,87.890625,77.145996,-62.660522,87.55159
654565,-4.354492,1.0335938,-4.962207,-121.88721,173.33984,97.41211,71.07605,-63.154907,87.59129
654582,-4.249219,0.3923828,-6.254199,-137.69531,195.55664,100.28076,61.77063,-63.380127,87.62777
654599,-5.0052733,0.20097657,-7.0820312,-155.57861,203.18604,99.42627,54.382324,-63.171387,87.667465
654616,-6.249414,-0.119628906,-8.029492,-177.79541,184.50928,99.853516,47.087402,-62.649536,87.749
654633,-6.8714843,-1.2967774,-7.594043,-191.71143,181.45752,113.15918,37.8479,-61.935425,87.788704
654650,-7.0820312,-1.0479492,-7.2830076,-213.74512,187.43896,114.80713,30.541992,-61.09497,87.788704
654667,-8.302246,-1.7944336,-7.7375975,-237.30469,186.15723,123.168945,20.489502,-59.573364,87.788704
654684,-8.814258,-2.3160157,-7.6083984,-251.0376,175.65918,132.75146,12.414551,-58.156128,87.788704
654701,-8.72334,-2.7179687,-7.531836,-264.34326,168.33496,147.09473,3.9550781,-56.359863,87.788704
654718,-9.718653,-3.5601563,-8.359668,-266.17432,142.45605,163.08594,-7.091675,-53.415527,87.788704
654735,-10.144531,-3.6941407,-7.6036134,-267.15088,119.68994,177.6123,-15.023804,-51.00952,87.817665
654752,-9.924414,-4.813867,-5.6416993,-278.68652,121.520996,183.47168,-24.823608,-47.054443,87.871315
654769,-8.823828,-7.216016,-4.6750975,-280.76172,141.41846,186.70654,-31.38794,-43.56079,87.90028
654786,-8.297461,-9.804785,-4.622461,-258.91113,172.60742,209.77783,-37.10083,-39.6167,87.92603
654803,-10.321582,-8.402735,-4.775586,-261.16943,176.69678,231.81152,-43.90686,-33.47534,87.954994
654820,-11.929395,-6.7470703,-4.8234377,-269.7754,165.46631,240.9668,-48.757324,-28.586426,87.979675
