timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1568152,2.1581054,0.59335935,2.2442384,13.73291,46.875,0.79345703,-56.052246,-32.93701,86.74049
1568169,1.4499023,1.038379,2.1102538,10.375977,49.072266,2.5634766,-55.491943,-32.50305,86.74049
1568186,1.1340821,0.7416992,1.9140625,4.8217773,48.88916,10.070801,-54.909668,-31.816406,86.74478
1568203,1.6413085,0.7512695,1.8853515,3.6010742,51.086426,18.371582,-54.5636,-31.173706,86.737274
1568220,2.172461,0.85654294,1.9188477,1.5258789,66.101074,26.123047,-54.228516,-30.404663,86.737274
1568237,2.7323241,1.0910156,1.7130859,0.7324219,80.26123,32.043457,-53.723145,-29.064331,86.737274
1568254,2.4595704,1.3876953,1.258496,-2.4414062,90.270996,39.42871,-53.34961,-27.82837,86.737274
1568271,2.234668,1.7035156,0.58378905,-9.643555,98.87695,55.480957,-53.025513,-25.900269,86.737274
1568288,2.4595704,2.2777343,0.057421874,-15.50293,110.47363,63.171387,-52.833252,-24.285278,86.737274
1568305,2.454785,2.14375,-0.765625,-23.986816,122.98584,76.049805,-52.805786,-22.401123,86.74049
1568322,2.0576172,2.5600586,-1.6604493,-34.5459,134.46045,91.24756,-52.98706,-19.4458,86.74264
1568339,1.2202148,2.8902345,-2.0624022,-49.25537,134.58252,104.12598,-53.399048,-17.028809,86.75015
1568356,-0.4498047,2.9955077,-2.3495116,-64.331055,112.54883,127.56348,-54.398804,-13.688965,86.753365
1568373,-1.0670898,2.938086,-2.2538085,-79.40674,93.20068,146.24023,-55.524902,-11.096191,86.755516
1568390,-0.9953125,2.603125,-1.7705078,-89.782715,81.970215,169.18945,-56.85974,-7.4157715,86.76088
1568407,-0.58857423,2.1054688,-0.83261716,-93.322754,82.336426,186.95068,-58.74939,-4.4055176,86.76946
1568424,-0.9043945,1.775293,-0.36845702,-93.07861,84.41162,197.69287,-60.144653,-1.2030029,86.77697
1568441,-2.4069335,1.6508789,0.13876954,-98.81592,76.78223,217.40723,-62.06726,3.312378,86.78233
1568458,-3.2012696,1.009668,0.25839844,-102.72217,69.70215,234.80225,-63.511963,6.965332,86.78233
1568475,-3.4500976,0.5024414,0.3301758,-102.66113,67.44385,252.56348,-64.96216,12.008057,86.78233
1568492,-3.5697265,0.6555664,0.57421875,-104.67529,70.86182,267.33398,-66.829834,16.029053,86.78233
1568509,-3.6319337,0.71777344,0.5455078,-107.666016,75.37842,275.0244,-68.28003,20.214844,86.78233
1568526,-3.36875,0.3301758,0.153125,-102.96631,93.444824,283.56934,-70.235596,25.98816,86.784485
1568543,-4.569824,1.1771485,-0.20576172,-104.12598,87.646484,287.41455,-71.71326,30.509033,86.78985
1568560,-5.483789,1.7513672,-0.3301758,-109.98535,77.0874,315.979,-73.21838,35.200195,86.800575
1568577,-5.5364256,2.8232422,-0.21054688,-112.12158,66.16211,327.7588,-75.14099,41.7865,86.803795
1568594,-4.5458984,3.0625,0.03828125,-107.788086,71.22803,338.562,-76.55823,46.91162,86.80594
1568611,-3.1007812,3.430957,-0.6699219,-90.88135,93.75,334.65576,-78.76099,53.843994,86.81452
1568628,-4.0243163,3.5362306,-1.3015625,-90.20996,97.41211,345.39795,-80.91431,59.144897,86.81452
1568645,-3.2491212,4.411914,-1.2202148,-80.3833,102.23389,353.39355,-83.671875,64.627075,86.816666
1568662,-3.9621093,6.3020506,-1.7513672,-81.970215,88.56201,364.86816,-88.94531,71.93298,86.816666
1568679,-3.9764647,7.7041016,-1.8135742,-97.65625,70.43457,372.43652,-95.19653,77.47009,86.816666
1568696,-1.0240234,8.383594,-1.5886719,-87.46338,87.890625,371.09375,-121.30554,84.24866,86.816666
1568713,2.387793,10.977148,-1.6508789,-72.75391,129.63867,355.83496,173.18298,85.20996,86.816666
1568730,2.9811523,14.326757,-4.5793943,-70.251465,171.50879,319.2749,141.03699,80.892334,86.82418
1568747,2.3925781,20.19336,-8.75205,-92.34619,163.81836,282.1045,130.46814,74.2511,86.829544
1568764,3.947754,23.341991,-10.613477,-119.4458,170.77637,225.28076,127.666626,69.84009,86.83813
1568781,6.091504,24.03584,-16.489649,-157.2876,165.1001,144.04297,126.205444,64.885254,86.845634
1568798,7.3069334,24.949804,-20.150293,-188.29346,115.72266,39.18457,125.47485,62.79785,86.848854
1568815,9.240137,28.088867,-23.016602,-214.11133,56.21338,-97.839355,125.05188,62.72644,86.86388
1568832,17.42754,38.228615,-25.088573,-267.08984,-48.339844,-389.28223,126.35376,67.28027,86.86173
1568849,27.184473,37.443848,-27.10791,-309.021,-145.20264,-666.9922,134.51111,74.95972,86.86924
1568866,47.904198,27.045704,-24.528711,-375.79346,-236.93848,-1027.9541,-133.99475,81.33728,86.86924
1568883,64.99678,15.575684,-20.863281,-442.1997,-212.1582,-1313.3545,-100.634766,65.76965,86.86924
1568900,78.08418,-3.1294923,-24.198536,-503.1128,-158.02002,-1438.4766,-98.61328,45.92285,86.86924
1568917,96.95205,-35.237892,-17.461035,-420.4712,-63.354492,-1436.4624,-103.15613,17.44629,86.86924
1568934,65.34609,-10.489062,-1.9619141,-183.41064,182.86133,-1437.1948,-105.842285,-3.3068848,86.941124
1568951,53.8043,2.9620118,1.2345703,99.18213,266.05225,-1313.1714,-108.13843,-31.349487,87.07845
1568968,37.38164,-2.9955077,1.5408204,342.77344,313.78174,-1042.4805,-104.51843,-48.911133,87.14926
1568985,28.749218,-10.847949,-1.2202148,516.3574,383.36182,-693.84766,-92.51587,-65.928955,87.221146
1569002,9.024805,-12.26914,-13.355371,472.16797,296.81396,-403.8086,-60.770874,-71.883545,87.28981
1569019,-2.3351562,-2.359082,-13.967871,394.7754,150.08545,-112.48779,-40.48462,-72.26257,87.358475
1569036,-2.45,11.64707,-4.9430666,192.13867,-136.23047,91.97998,-38.62793,-72.58667,87.42714
1569053,5.368945,8.225683,-0.12919922,116.08887,-202.9419,158.02002,-47.889404,-73.21289,87.49795
1569070,11.417383,4.9,2.9859376,72.5708,-161.07178,173.40088,-59.23828,-72.839355,87.49795
1569087,15.403418,2.6988282,5.6464844,58.898926,-113.64746,158.26416,-70.04883,-70.99365,87.49795
1569104,13.173535,0.70341796,4.694238,37.719727,-78.24707,151.9165,-74.77295,-69.16443,87.49795
1569121,9.828711,1.1819336,3.550586,-4.0893555,-70.739746,116.33301,-79.49707,-66.92871,87.49795
1569138,8.522364,0.8517578,2.9763672,-29.35791,-72.99805,83.00781,-82.79846,-65.69275,87.39495
1569155,7.7136717,0.46416014,2.665332,-53.16162,-65.49072,41.68701,-85.93506,-64.885254,87.29732
1569172,8.010351,-0.41630858,3.1055665,-54.56543,-34.42383,14.892578,-89.23645,-64.3634,87.19432
1569189,7.230371,-0.066992186,3.0433593,-49.25537,5.6152344,-5.2490234,-90.2417,-64.34143,87.09454
1569206,3.493164,1.6556641,1.4020507,-54.016113,21.78955,-23.19336,-90.43945,-64.72046,86.892845
1569223,1.4738281,1.1819336,0.13398437,-59.692383,12.756348,-22.766113,-90.823975,-65.12146,86.78985
1569240,1.502539,0.5072266,-0.30146486,-55.725098,17.63916,-15.380859,-91.26892,-65.44556,86.695435
