timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
484045,1.7513672,2.6796875,-4.282715,33.325195,118.4082,-85.57129,-1.1260986,-55.958862,87.64064
484062,1.593457,3.9142578,-4.249219,-8.666992,99.06006,-63.354492,0.63720703,-54.371338,87.67283
484079,1.7848632,4.904785,-4.708594,-37.53662,92.28516,-56.396484,1.741333,-52.421265,87.69107
484096,1.2680664,4.7660155,-4.7708006,-59.020996,82.70264,-45.043945,1.8676758,-51.119385,87.69107
484113,2.205957,4.3162107,-4.254004,-78.308105,85.876465,-39.245605,1.3128662,-49.42749,87.69107
484130,3.5601563,3.4405274,-4.167871,-82.94678,104.55322,-33.87451,0.6866455,-47.94983,87.69107
484147,4.163086,2.1581054,-4.799512,-95.03174,136.71875,-29.663086,-0.21972656,-46.159058,87.69107
484164,3.4357421,0.67470706,-5.8331056,-90.63721,162.29248,-20.568848,-1.4886475,-43.17627,87.69107
484181,1.7178711,0.6412109,-6.680078,-94.055176,174.25537,-5.1879883,-2.6641846,-40.69336,87.7254
484198,0.27753907,0.81347656,-7.440918,-99.731445,174.68262,5.92041,-4.4769287,-37.22168,87.79943
484215,-0.58378905,0.08613281,-8.082129,-93.13965,179.5044,10.864258,-5.8502197,-34.541016,87.83913
484232,-2.177246,0.8756836,-8.546289,-111.38916,176.69678,16.723633,-7.267456,-31.843872,87.87346
484249,-3.7611327,1.3733399,-9.283203,-134.46045,166.19873,30.639648,-9.684448,-28.339233,87.913155
484266,-5.153613,1.3541992,-9.3980465,-156.86035,145.20264,48.217773,-12.079468,-25.98816,87.94749
484283,-5.6177735,0.3828125,-8.88125,-152.46582,143.67676,71.41113,-15.435791,-22.955933,87.98504
484300,-5.8426757,-0.49765626,-8.675488,-143.7378,154.1748,80.200195,-17.825317,-20.456543,88.021515
484317,-6.766211,-1.0910156,-8.618067,-136.59668,159.48486,118.16406,-20.181885,-17.704468,88.021515
484334,-6.8140626,-1.7130859,-8.388379,-130.67627,165.16113,141.60156,-23.192139,-13.716431,88.021515
484351,-7.1203127,-2.1246095,-8.230469,-125.48828,164.97803,160.03418,-25.339966,-10.50293,88.021515
484368,-6.861914,-2.8710938,-7.981641,-124.02344,157.34863,183.34961,-28.075562,-6.0369873,88.04298
484385,-6.278125,-3.4261718,-7.206445,-119.20166,150.75684,204.10156,-30.08606,-2.510376,88.06336
484402,-6.6274414,-2.9620118,-6.1632814,-122.13135,139.5874,225.3418,-31.904297,1.0107422,88.084816
484419,-7.565332,-2.9572265,-5.0818357,-123.47412,127.50244,239.50195,-34.21692,5.7788086,88.10628
484436,-6.488672,-4.153516,-4.474121,-109.86328,128.72314,256.34766,-35.6781,9.497681,88.129875
484453,-5.4024415,-4.6320314,-4.498047,-79.77295,146.85059,275.39062,-36.853638,14.924927,88.17172
484470,-5.4263673,-4.5267577,-4.378418,-62.561035,153.50342,315.91797,-37.18872,19.517212,88.20069
484487,-6.464746,-2.6079102,-4.196582,-65.55176,150.20752,341.24756,-37.078857,24.367676,88.22
484504,-14.116211,3.3065429,-6.574805,14.038086,127.38037,5.6152344,-36.04065,28.734741,88.22
484521,-9.067871,-4.5171876,-5.0004883,83.6792,103.393555,232.54395,-33.64563,31.992188,88.22
484538,-3.646289,-0.55986327,-1.9619141,38.391113,213.50098,311.70654,-30.657349,38.3313,88.22
484555,-8.350098,1.5838867,-4.6463866,2.0751953,186.64551,334.77783,-27.998657,43.3136,88.22
484572,-7.129883,1.9284179,-5.273242,-34.973145,136.1084,342.28516,-24.785156,47.647705,88.21464
484589,-1.4881836,2.1341796,-4.1056643,-42.053223,129.5166,351.86768,-19.02832,52.662964,88.209274
484606,1.8135742,3.1438477,-2.7801757,-44.128418,165.83252,375.0,-13.260498,56.310425,88.2039
