timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
34022,-1.1197265,-1.9810547,-4.1200194,106.20117,159.3628,-43.640137,54.11316,-66.04431,88.71889
34039,-1.0335938,-0.3397461,-5.029199,144.04297,133.72803,-73.48633,53.05847,-63.391113,88.72962
34056,-3.244336,1.8518555,-5.7421875,99.365234,99.609375,-66.77246,53.40454,-61.51245,88.734985
34073,-5.0674806,3.0194335,-6.364258,22.705078,21.362305,-67.74902,54.404297,-59.80957,88.74249
34090,-4.5411134,2.4021485,-5.349805,-35.64453,-31.61621,-61.523438,55.39856,-59.155884,88.74249
34107,-2.9333007,0.94267577,-3.98125,-57.250977,-88.012695,-47.36328,56.766357,-59.067993,88.74249
34124,-0.11005859,-0.13876954,-1.4451172,-68.359375,-87.58545,-59.631348,59.089966,-59.09546,88.74249
34141,0.5024414,-0.95224607,-0.97138673,-62.37793,-76.9043,-60.180664,60.69397,-58.985596,88.751076
34158,1.0000976,-1.3350586,-0.521582,-57.495117,-38.69629,-54.07715,61.92993,-58.639526,88.7618
34175,0.7704102,-2.3255858,-1.043164,-33.996582,-7.2021484,-49.49951,62.226562,-58.134155,88.76932
34192,0.30146486,-1.1005859,-1.7800782,-20.324707,6.164551,-60.97412,62.3584,-57.453003,88.776825
34209,-0.72734374,-0.27753907,-2.3447266,-28.808594,-0.36621094,-77.20947,62.786865,-56.167603,88.78541
34226,-1.7513672,-1.1915039,-2.8136718,-33.569336,-5.3100586,-58.59375,63.03955,-55.299683,88.796135
34243,-2.0432618,0.20097657,-3.7276368,-55.236816,-36.743164,-61.035156,63.413086,-54.519653,88.80901
34260,-0.92353517,-1.009668,-3.3878906,-59.387207,-40.649414,-57.06787,63.83606,-54.003296,88.81652
34277,-0.153125,-1.8135742,-3.1964843,-48.461914,-35.40039,-49.194336,64.23157,-53.514404,88.81652
34294,1.2010742,-2.5552735,-2.8088868,-32.165527,-17.822266,-47.302246,64.63257,-52.88269,88.81652
34311,1.043164,-2.0097656,-2.847168,-16.113281,5.2490234,-51.452637,64.82483,-52.32788,88.81652
34328,-0.37802735,-0.8900391,-3.646289,-10.803223,13.305664,-61.279297,64.956665,-51.16333,88.81652
34345,-0.9091797,-0.3301758,-4.2731447,-21.728516,1.6479492,-71.41113,65.11047,-50.213013,88.81652
34362,-0.8756836,-1.3446289,-4.4597654,-29.907227,-21.484375,-72.509766,65.390625,-49.279175,88.821884
34379,0.047851562,-1.7035156,-3.9668946,-31.555176,-25.08545,-73.791504,65.95642,-48.15857,88.821884
34396,0.35888672,-1.6652343,-3.5936522,-27.770996,-18.981934,-75.13428,66.35193,-47.252197,88.827255
34413,0.94267577,-1.440332,-3.4453125,-20.507812,1.7089844,-83.37402,66.68701,-45.840454,88.83047
34430,1.7944336,-1.9140625,-4.1104493,-10.437012,28.320312,-96.37451,66.92871,-44.604492,88.83262
34447,1.9236329,-2.3447266,-5.0674806,3.1738281,50.720215,-97.961426,67.08801,-43.170776,88.83262
34464,0.7751953,-2.1820312,-6.330762,0.91552734,39.978027,-100.21973,67.25281,-41.083374,88.83798
34481,0.7560547,-2.2538085,-6.9576173,-8.056641,24.780273,-95.336914,67.29126,-39.589233,88.843346
34498,1.5886719,-2.507422,-8.230469,-22.338867,-15.991211,-92.34619,67.73071,-37.963257,88.843346
34515,2.6557617,-3.4453125,-8.330957,-29.23584,-18.188477,-87.09717,67.901,-36.809692,88.843346
34532,3.4644532,-4.1774416,-8.359668,-24.719238,-9.94873,-81.78711,67.99988,-35.716553,88.843346
34549,4.4884768,-4.7564454,-7.8859377,-17.211914,11.657715,-76.293945,67.95044,-34.25537,88.843346
34566,4.813867,-5.483789,-7.8045897,4.333496,38.757324,-74.645996,67.906494,-33.05237,88.843346
34583,5.244531,-6.4073243,-8.9769535,29.418945,61.706543,-68.42041,68.02734,-31.305542,88.83798
34600,8.115625,-7.129883,-9.350195,47.60742,78.308105,-58.410645,68.26355,-30.0531,88.83798
34617,12.120801,-8.254395,-10.307226,81.4209,117.370605,-50.1709,68.68103,-28.734741,88.83584
34634,19.212402,-10.661328,-12.939062,137.87842,170.53223,-21.118164,69.63135,-26.921997,88.83047
