timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
1085945,1.287207,-1.9619141,0.96181643,92.95654,163.20801,11.657715,-107.86377,-17.418823,86.554886
1085962,0.5263672,-0.7416992,1.1867187,78.49121,161.43799,27.22168,-105.650024,-17.990112,86.554886
1085979,2.4595704,-2.2490234,2.177246,91.552734,168.09082,1.5869141,-102.84302,-18.325195,86.554886
1085996,3.5649414,-2.909375,1.2106445,26.245117,170.71533,-1.0986328,-101.27197,-18.951416,86.558105
1086013,3.0768554,-5.445508,1.3589844,84.47266,112.6709,-9.94873,-99.29993,-19.379883,86.558105
1086030,2.574414,-2.665332,1.4738281,96.0083,78.85742,-1.2817383,-97.30591,-19.698486,86.558105
1086047,3.153418,-1.071875,2.1102538,51.51367,77.819824,-5.3100586,-95.39429,-19.934692,86.558105
1086064,1.4546875,-1.4020507,0.48330078,33.38623,29.052734,-9.521484,-94.51538,-20.13794,86.558105
1086081,1.5838867,-0.57421875,-0.5072266,-21.54541,-36.865234,-9.58252,-94.61426,-20.308228,86.558105
1086098,2.938086,0.16748047,0.29189453,-149.29199,-43.09082,-26.672363,-96.93237,-20.53894,86.558105
1086115,1.0335938,-2.9811523,0.16269532,-112.91504,-45.898438,-26.184082,-99.332886,-20.890503,86.558105
1086132,1.043164,-3.3161132,-1.2824218,60.72998,-227.72217,-120.4834,-100.21179,-21.697998,86.558105
1086149,9.163574,-4.58418,4.7851562,-8.911133,-36.68213,-35.217285,-101.47522,-22.736206,86.558105
1086166,6.555664,-4.8665037,1.746582,50.65918,75.37842,17.456055,-100.51941,-22.879028,86.558105
1086183,3.2921875,-1.9571289,0.13876954,68.54248,88.1958,41.503906,-98.5199,-22.467041,86.558105
1086200,3.6989257,-1.6652343,-0.4354492,67.07764,99.42627,48.706055,-96.93237,-21.96167,86.54952
1086217,3.7324219,-1.3015625,-1.1627929,60.2417,118.774414,65.67383,-95.339355,-20.978394,86.54952
1086234,3.4644532,-0.30146486,-1.5360352,62.5,147.70508,76.11084,-93.065186,-20.039062,86.54952
1086251,2.4021485,0.54072267,-2.019336,68.90869,172.54639,85.754395,-91.14807,-18.885498,86.54952
1086268,0.56943357,1.8614258,-2.9237304,71.83838,172.66846,99.243164,-88.64868,-17.056274,86.54952
1086285,-0.05263672,2.2633789,-3.3878906,68.29834,163.75732,117.370605,-86.89087,-15.298462,86.54952
1086302,-0.009570313,2.239453,-3.36875,67.50488,164.61182,142.02881,-85.286865,-12.425537,86.56561
