timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
833176,-1.0766602,-0.6220703,-0.10527344,1.8310547,24.047852,-0.4272461,-132.86865,-24.927979,87.37672
833193,-1.1340821,-0.57900393,-0.033496093,-0.7324219,20.263672,1.0986328,-132.68738,-25.081787,87.37672
833210,-1.0240234,-0.61728513,0.08134766,-2.1972656,18.981934,2.380371,-132.58301,-25.20813,87.37993
833227,-0.8661133,-0.6029297,0.3732422,-4.0893555,20.629883,3.2958984,-132.45667,-25.372925,87.384224
833244,-0.7512695,-0.6603516,0.5167969,-4.333496,24.475098,2.9907227,-132.3468,-25.53772,87.384224
833261,-0.6699219,-0.7704102,0.6220703,-3.112793,31.738281,3.2348633,-132.193,-25.757446,87.38744
833278,-0.7464844,-0.68427736,0.58378905,-3.2958984,37.841797,2.9907227,-131.92383,-26.136475,87.38208
833295,-1.0240234,-0.56464845,0.41630858,-3.3569336,40.95459,2.5634766,-131.69312,-26.471558,87.384224
833312,-1.4211915,-0.41152343,0.2631836,-4.333496,38.146973,3.0517578,-131.41296,-26.889038,87.384224
833329,-1.5456054,-0.20576172,0.28232422,-6.713867,34.484863,2.6245117,-131.25916,-27.141724,87.384224
833346,-1.5695312,-0.20097657,0.36367187,-8.361816,33.447266,3.1738281,-131.14929,-27.383423,87.384224
833363,-1.4020507,0.03828125,0.6699219,-9.094238,36.987305,2.1972656,-130.99548,-27.723999,87.384224
833380,-1.2680664,0.21533203,0.9091797,-8.972168,44.311523,0.6713867,-130.84717,-28.081055,87.384224
833397,-1.0000976,0.4258789,1.1867187,-6.652832,58.83789,-2.8686523,-130.52307,-28.762207,87.38208
833414,-0.93789065,0.81826174,1.3829101,-5.859375,68.359375,-7.9345703,-130.19348,-29.465332,87.38208
833431,-0.94267577,0.8756836,1.4020507,-4.9438477,77.88086,-13.427734,-129.81445,-30.305786,87.37993
833448,-1.3541992,0.97617185,1.0479492,-5.126953,82.82471,-14.526367,-129.24866,-31.530762,87.37993
833465,-1.9140625,1.4977539,0.83740234,-8.7890625,87.46338,-15.319824,-128.82568,-32.492065,87.374565
833482,-2.6126952,1.9379883,0.6220703,-13.73291,88.80615,-15.014648,-128.32031,-33.788452,87.37672
833499,-3.1486328,2.3208008,0.59335935,-18.554688,88.86719,-13.977051,-127.94678,-34.77722,87.37672
833516,-3.3448243,2.3686523,0.72734374,-23.55957,100.64697,-14.465332,-127.57324,-36.172485,87.37672
833533,-3.5027344,2.4643555,0.35888672,-27.832031,112.18262,-13.48877,-126.95801,-37.320557,87.37672
833550,-3.7324219,2.8088868,-0.16269532,-33.26416,121.154785,-11.962891,-126.4032,-38.534546,87.37672
833567,-4.2970705,3.5314453,-0.7799805,-43.45703,128.90625,-9.521484,-125.617676,-40.18799,87.37672
833584,-4.249219,4.0195312,-1.2824218,-51.696777,138.24463,-12.207031,-124.99695,-41.49536,87.37672
833601,-4.191797,4.13916,-2.0432618,-67.0166,145.81299,-12.756348,-124.38721,-42.868652,87.3692
833618,-4.7420897,3.9621093,-3.7898438,-79.833984,140.19775,-12.817383,-123.70056,-44.697876,87.36598
833635,-5.20625,4.0243163,-5.110547,-99.12109,126.586914,-12.329102,-123.54126,-45.93933,87.36384
833652,-5.689551,3.9956055,-6.6274414,-134.82666,102.05078,-13.061523,-124.420166,-47.318115,87.36384
833669,-5.2828126,3.1342773,-7.35,-161.13281,86.18164,-11.657715,-125.61218,-48.224487,87.358475
833686,-4.0051756,2.512207,-7.895508,-178.10059,102.47803,-21.728516,-127.05139,-49.25171,87.355255
833703,-2.9572265,2.6461914,-9.402832,-197.26562,132.14111,-28.320312,-128.95203,-51.119385,87.34775
833720,-1.3494141,2.239453,-12.331347,-228.88184,153.93066,-48.27881,-130.5835,-53.014526,87.3456
833737,-0.6125,0.55029297,-15.925,-255.85938,163.14697,-90.08789,-133.45642,-56.37085,87.3456
833754,-2.0145507,-1.071875,-19.920605,-266.23535,152.09961,-115.234375,-136.61499,-59.210815,87.3456
833771,-5.014844,1.7370117,-21.619335,-305.17578,74.523926,-137.3291,-141.24023,-61.765137,87.3456
833788,-4.0051756,6.6609373,-23.275,-364.44092,-7.385254,-154.54102,-151.86401,-63.912964,87.3456
833805,3.6606445,3.3878906,-25.835058,-356.81152,22.827148,-218.07861,-163.07007,-64.989624,87.3456
833822,2.942871,4.349707,-32.213673,-316.71143,-6.0424805,-276.3672,179.39026,-66.08826,87.342384
833839,2.4691405,8.374023,-35.01299,-304.07715,-95.27588,-327.7588,164.75647,-64.56116,87.342384
833856,3.3496094,12.613672,-34.76416,-297.11914,-357.1167,-451.47705,152.36389,-59.2218,87.33701
833873,14.819629,14.580371,-26.701172,-192.68799,-419.67773,-549.07227,142.02026,-47.18628,87.33701
833890,22.523731,19.355957,-16.279102,-49.560547,-382.75146,-706.7261,137.36755,-36.271362,87.33701
833907,33.553516,16.125977,-6.5987306,245.23926,-260.2539,-912.5366,135.84595,-20.12146,87.32414
833924,37.329002,14.331543,3.2491212,547.30225,-66.89453,-1010.2539,140.10864,-8.673706,87.32414
833941,31.596386,7.9385743,8.11084,1001.77,192.13867,-892.2119,150.89172,-0.10986328,87.32414
833958,12.149511,14.618652,-3.8376954,1129.9438,127.92969,-667.41943,172.41394,0.6866455,87.32414
833975,4.3975587,23.633886,-21.461426,1026.9165,-125.67139,-475.09766,-171.46362,1.2139893,87.32414
833992,-4.995703,32.515137,-35.075195,753.72314,-435.18066,-304.6875,-153.55042,5.163574,87.32414
834009,-3.9764647,35.678123,-29.376074,532.7759,-579.0405,-274.90234,-143.432,9.645996,87.36598
834026,13.900879,37.99414,-7.900293,303.77197,-418.09082,-225.95215,-135.66467,14.051514,87.4089
834043,30.720703,26.131739,14.948828,262.45117,-153.07617,-205.32227,-128.27637,13.963623,87.453964
834060,23.054882,19.714844,13.647265,234.68018,55.96924,-166.07666,-124.2334,11.843262,87.495804
834077,6.5317383,20.145508,2.2729492,162.90283,105.163574,-79.3457,-120.34424,8.816528,87.54086
834094,2.5265625,18.9875,0.05263672,61.828613,22.766113,-36.865234,-118.98193,7.761841,87.58271
834111,5.603418,16.748047,1.7800782,-4.1503906,6.7749023,-10.681152,-118.66882,7.3883057,87.667465
834128,7.995996,11.919825,4.713379,-13.48877,37.963867,4.1503906,-118.927,7.102661,87.709305
834145,5.8905272,11.044141,4.718164,-16.906738,62.01172,8.239746,-119.245605,6.8170166,87.709305
834162,3.98125,9.981836,3.1773438,-21.1792,72.387695,3.540039,-119.78943,6.2182617,87.709305
834179,3.186914,8.397949,1.7322266,-25.45166,53.344727,5.1879883,-120.23987,5.8062744,87.709305
834196,2.7610352,6.6370115,1.0623047,-27.404785,16.174316,4.4555664,-120.71228,5.592041,87.709305
834213,3.067285,4.411914,1.6891601,-20.812988,4.211426,3.3569336,-121.22864,5.592041,87.709305
834230,3.4740233,3.4357421,2.3638673,-11.047363,9.82666,4.8828125,-121.448364,5.586548,87.709305
834247,3.2299805,3.2539062,2.0624022,-1.6479492,26.916504,3.7231445,-121.56372,5.4437256,87.709305
834264,2.942871,2.694043,1.1101563,-0.7324219,34.606934,2.1972656,-121.61865,5.223999,87.712524
834281,2.6222656,1.9188477,-0.25839844,-3.3569336,29.418945,5.493164,-121.67908,4.987793,87.712524
834298,1.6604493,1.6269531,-1.5551758,-9.033203,17.089844,10.437012,-121.84387,4.8779297,87.712524
834315,0.93789065,1.3637695,-1.7035156,-14.404297,7.9345703,13.305664,-122.15149,4.894409,87.71467
834332,0.7560547,1.3589844,-1.1484375,-22.888184,3.90625,18.981934,-122.65137,5.1141357,87.71467
834349,1.3350586,1.2967774,-0.8900391,-30.395508,4.0283203,21.850586,-123.1073,5.350342,87.71467
834366,2.4643555,0.8613281,-0.5455078,-32.53174,7.1411133,20.996094,-123.62366,5.5371094,87.71467
834383,3.3161132,0.32539064,-0.1866211,-31.066895,13.671875,22.705078,-124.332275,5.6085205,87.71467
834400,2.9189453,0.73691404,0.0765625,-31.311035,19.470215,21.78955,-124.84863,5.685425,87.71467
834417,2.3447266,1.1723633,0.22011718,-32.104492,36.987305,21.911621,-125.55725,5.7019043,87.712524
834434,2.205957,1.4786133,0.20097657,-33.691406,49.25537,22.766113,-126.12305,5.5700684,87.70716
834451,2.0145507,1.8183594,0.10527344,-38.391113,60.72998,25.268555,-126.73828,5.29541,87.70394
834468,2.1916015,1.2919922,-0.79433596,-44.49463,53.833008,24.780273,-127.683105,5.059204,87.7018
834485,2.8328125,0.46894532,-0.96660155,-48.828125,46.813965,29.11377,-128.4906,4.9108887,87.69429
834502,2.9763672,0.9953125,-0.21533203,-55.29785,53.95508,31.49414,-129.67163,4.658203,87.68892
834519,2.636621,1.4546875,0.31103516,-57.800293,72.387695,33.14209,-130.60547,4.389038,87.68571
