timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
523753,-6.3546877,0.45458984,-5.450293,-153.38135,90.148926,129.57764,8.00354,-64.835815,87.79729
523770,-6.7183595,0.20576172,-5.3976564,-154.66309,80.62744,130.3711,1.3623047,-63.704224,87.83376
523787,-6.5700197,-0.55029297,-5.5268555,-153.86963,70.251465,132.93457,-6.70166,-62.072754,87.871315
523804,-6.9576173,-0.2296875,-5.1679688,-157.71484,61.76758,132.50732,-12.392578,-60.78186,87.91101
523821,-6.125,-0.35888672,-4.6750975,-158.6914,44.799805,127.62451,-19.379883,-59.106445,87.94534
523838,-4.718164,-0.20097657,-3.8807616,-158.20312,46.081543,121.88721,-24.20288,-57.79358,87.94534
523855,-2.3208008,-0.7895508,-3.1055665,-144.59229,84.77783,104.12598,-28.234863,-56.228027,87.94534
523872,0.16748047,-1.3685547,-2.5361328,-124.75586,134.21631,86.30371,-31.723022,-53.399048,87.94534
523889,1.2202148,-0.69863284,-2.9141603,-96.80176,202.14844,70.495605,-32.838135,-50.57007,87.94534
523906,-1.7417969,3.1629882,-6.0867186,-83.6792,255.3711,39.733887,-32.612915,-45.950317,87.96573
523923,-3.6893554,4.230078,-7.1873045,-87.1582,257.20215,19.77539,-32.16797,-42.46765,87.98933
523940,-3.4166017,3.1629882,-7.4887695,-90.20996,253.66211,21.66748,-31.992188,-39.11682,88.02903
523957,-4.134375,2.851953,-8.12998,-96.13037,262.26807,31.00586,-32.129517,-34.431152,88.05585
523974,-6.522168,2.909375,-8.73291,-113.52539,246.39893,18.737793,-32.634888,-31.008911,88.07731
523991,-7.0868163,-0.521582,-7.881152,-135.00977,231.75049,24.780273,-33.947754,-26.94397,88.097694
524008,-7.005469,-0.84697264,-7.4935546,-144.89746,227.05078,38.085938,-35.343018,-23.774414,88.113785
524025,-7.680176,-1.0144532,-7.35,-162.71973,195.92285,51.51367,-37.106323,-19.857788,88.13524
524042,-10.154101,-2.9811523,-5.421582,-174.25537,150.6958,59.87549,-40.13855,-17.30896,88.13524
524059,-10.077539,-3.067285,-3.82334,-180.84717,128.05176,93.20068,-42.70935,-14.919434,88.13524
524076,-7.9290037,-3.6415038,-3.6032226,-188.47656,138.24463,111.572266,-45.499878,-11.6015625,88.13524
524093,-5.139258,-7.0485353,-4.12959,-177.97852,155.2124,126.15967,-49.075928,-8.717651,88.13524
524110,-5.1009765,-9.441113,-3.2347655,-166.07666,178.40576,134.64355,-51.558838,-5.592041,88.129875
524127,-6.364258,-11.972461,-3.430957,-159.3628,181.57959,131.46973,-54.717407,-1.3348389,88.12773
524144,-5.2014647,-11.670996,-3.215625,-146.91162,204.40674,170.53223,-57.008057,2.3345947,88.12773
524161,1.0958008,-10.953222,-2.2681642,-118.2251,293.82324,192.07764,-59.864502,8.173828,88.12451
524178,1.4738281,-8.75205,-2.0528321,-97.0459,372.00928,189.08691,-62.02881,13.287964,88.11915
524195,-1.8422852,-7.8524413,-3.5936522,-89.47754,379.27246,207.70264,-64.48425,18.57788,88.117004
524212,-9.201856,-4.6655273,-6.3881836,-120.36133,283.93555,230.83496,-68.323975,25.279541,88.113785
524229,-11.79541,-3.9046874,-6.584375,-155.15137,162.8418,274.35303,-71.26831,30.014648,88.10842
524246,-8.613281,-4.0625978,-3.5984375,-169.49463,70.98389,337.3413,-74.62463,36.600952,88.10842
524263,-5.5029297,-3.8424804,-1.0479492,-156.25,62.316895,375.3662,-76.69006,42.121582,88.10842
524280,-3.5697265,-3.6415038,-0.29189453,-129.21143,82.092285,410.0952,-78.65662,48.153076,88.10842
524297,-2.8950195,-1.8901367,-1.622168,-120.666504,83.00781,427.36816,-81.52405,56.727905,88.10842
524314,-2.138965,-0.32060546,-1.9810547,-113.83057,94.23828,447.14355,-84.16077,63.45703,88.10842
524331,-1.4020507,2.9189453,-3.488379,-109.49707,120.30029,478.88184,-90.83496,72.89429,88.08267
524348,-0.16748047,6.5700197,-4.703809,-110.83984,167.05322,492.12646,-106.24878,79.8761,88.071945
524365,-0.3301758,10.053614,-7.5174804,-132.26318,217.5293,504.82178,-160.19165,83.72131,88.05799
524382,-0.99052733,16.116405,-11.967676,-167.60254,259.0332,506.71387,141.64124,76.54724,88.04298
524399,-2.880664,19.858398,-15.791016,-238.58643,278.38135,513.0005,130.03967,68.24707,88.02903
524416,0.4498047,21.136036,-17.197851,-330.07812,350.83008,501.4038,122.3053,56.26648,88.01937
524433,3.9046874,22.786915,-19.733984,-389.09912,437.07275,430.48096,118.948975,47.340088,88.005424
524450,6.0532227,29.912012,-25.059864,-496.64307,530.7007,265.56396,116.103516,38.930054,87.98933
524467,13.096972,49.354103,-34.31914,-583.06885,557.73926,52.978516,111.26404,31.574707,87.98933
524484,31.897852,64.41777,-48.05254,-684.81445,568.0542,-309.81445,106.77063,31.300049,87.98933
524501,57.953026,60.541798,-80.936134,-764.64844,483.88672,-839.9658,101.29944,40.85266,87.98933
524518,82.70186,47.889843,-97.70332,-805.66406,327.9419,-1266.2964,99.13513,56.590576,87.98933
524535,111.910446,38.391308,-100.87588,-940.1245,85.57129,-1772.7661,105.14465,78.343506,88.071945
524552,-154.18253,21.552343,-91.487404,-1032.7148,19.348145,-1826.6602,-104.66675,65.7312,88.15348
524569,-150.46445,25.107716,-67.04482,-986.6333,197.81494,-1714.5386,-111.35742,40.39673,88.23073
524586,-154.07724,45.43506,-68.001854,-866.76025,319.0918,-1525.2686,-121.81091,8.986816,88.39381
524603,117.72441,22.906544,-59.00576,-516.60156,393.31055,-1220.8252,-135.37903,-9.882202,88.47642
524620,48.33965,0.47373047,-30.787695,-95.09277,288.6963,-713.3789,-141.94336,-23.59314,88.55581
524637,-0.5359375,0.10048828,-13.575488,1.0375977,74.645996,-320.73975,-146.09619,-32.58545,88.62877
524654,8.651563,5.8713865,-20.64795,35.705566,-138.97705,-20.690918,-146.98608,-32.48108,88.71138
524671,27.662989,10.005762,-12.628027,4.638672,-212.40234,70.67871,-147.39258,-28.553467,88.71138
524688,37.53955,-3.273047,-4.9813476,51.02539,-128.96729,66.28418,-147.1399,-25.966187,88.71138
