timeStamp,accX,accY,accZ,gyroX,gyroY,gyroZ,angleX,angleY,height
556673,-5.249316,4.155516,-8.072558,-135.31494,61.828613,50.29297,-23.735962,-60.688477,87.94554
556690,-2.7801757,2.7706056,-6.8714843,-163.75732,32.55174,55.17578,-27.097778,-60.84778,87.94554
556707,1.8566406,-1.0240234,-5.723047,-152.83203,50.354004,47.851562,-32.0636,-60.474243,87.94554
556724,2.722754,-2.8758788,-5.0387697,-134.76562,91.918945,44.98291,-34.991455,-59.554912,87.94554
556741,0.91396487,-3.4070313,-4.4262695,-114.13574,160.70557,49.926758,-37.39746,-57.057495,87.94554
556758,-1.3685547,-3.4213867,-5.1057615,-101.989746,226.3794,43.029785,-38.22693,-54.299927,87.97109
556775,-5.139258,-2.2011719,-6.857129,-92.59033,273.92578,23.55957,-38.554546,-50.960083,87.992546
556792,-11.048925,-1.2202148,-9.216211,-109.25293,274.6582,32.55174,-39.2157,-45.950317,88.01615
556809,-14.546875,-1.2441406,-9.7425785,-133.30078,250.73242,57.373047,-40.413208,-41.885576,88.03976
556826,-17.15957,-1.2010742,-9.278418,-161.13281,194.0918,101.07422,-42.423706,-36.50757,88.088036
556843,-16.98252,-2.081543,-6.3259764,-161.31592,170.28809,119.07959,-45.85144,-32.470093,88.11164
556860,-17.231348,-2.5552735,-3.7802734,-151.24512,152.46582,149.71924,-48.30139,-28.493042,88.12773
556877,-18.241016,-2.2558085,-1.2010742,-147.3999,140.01465,184.3872,-51.520386,-22.63733,88.15134
556894,-17.977833,-1.9523437,-1.2967774,-147.03369,117.43164,231.99463,-54.00879,-17.918701,88.15134
556911,-17.135645,-0.55986327,-2.1820312,-155.07617,88.37891,288.45215,-57.579346,-11.002808,88.15134
556928,-17.437109,-0.03828125,-2.2107422,-154.78516,29.052734,317.1997,-60.265503,-5.652466,88.15134
556945,-14.570801,0.062207032,-0.6699219,-165.71045,-16.174316,395.38574,-62.81433,-0.09338379,88.15134
556962,-7.2973633,-0.5263672,3.5649414,75.43945,205.5664,-144.89746,-61.32019,1.2139893,88.14597
556979,-18.07832,-3.0864258,-4.713379,-7.6293945,193.29834,115.78369,-60.880737,4.9987793,88.13739
556996,-12.68545,-5.4024415,-8.225683,16.418457,169.00635,188.23242,-60.858765,10.036011,88.13203
557013,-13.647265,-2.5791993,-8.055418,-76.78223,82.214355,151.06201,-61.80359,13.183594,88.12451
557030,-13.33623,-5.0100584,-8.072558,-77.45561,-65.36865,126.89209,-62.929688,16.243286,88.113785
557047,-7.259082,-3.6606445,-2.7514648,-93.50586,-147.58301,170.8374,-64.297485,18.358154,88.10628
557064,1.2297852,-6.857129,3.8089843,-67.38281,-88.50098,184.3872,-64.75542,20.385132,88.097694
557081,3.5075195,-8.479297,7.235156,0.6713867,73.85254,223.75488,-64.47327,23.867798,88.088036
557098,1.0575196,-5.4311523,5.4359374,36.193848,164.91699,208.4961,-64.06677,27.251587,88.088036
557115,-1.808789,-3.890332,2.1054688,51.02559,211.60889,198.97461,-63.97888,31.080322,88.088036
557132,-4.904785,-2.2873046,-1.8231446,29.23584,199.40186,220.39795,-64.66555,36.897583,88.088036
557149,-8.441015,-1.5886719,-3.5170898,1.6479492,149.6582,255.2959,-65.40161,41.59424,88.088036
557166,-8.196973,-0.20097657,-3.273047,-51.14746,117.06543,306.51855,-66.26955,48.394775,88.088036
557183,-5.2255904,-0.8996094,-3.765918,-59.143066,149.96338,338.25684,-67.41211,54.058228,88.084816
557200,-5.81875,-0.047851562,-5.541211,-94.23828,195.1294,399.8413,-69.70825,60.457764,88.07731
557217,-8.388379,1.7226562,-9.139648,-134.0332,171.81396,452.9419,-75.20691,70.08728,88.07409
557234,-6.8762693,2.9955077,-8.955028,-177.73438,154.23584,502.56348,-82.18323,78.05237,88.071945
557251,-2.2873046,1.8614258,-7.9098635,-198.66943,190.12451,493.55027,-151.02356,86.77551,88.066574
557268,-1.8135742,0.6890625,-8.048633,-211.48682,251.46484,494.812,137.22473,80.930786,88.06336
557285,-1.7657226,1.0335938,-7.5174804,-245.17822,322.44873,511.6577,126.8811,72.0813,88.066574
557302,1.3589844,2.4691405,-6.1632814,-254.45557,417.29736,474.85552,123.5083,59.2218,88.06336
557319,0.5120117,4.7851562,-7.771094,-292.11426,455.24707,419.86084,122.700806,49.92737,88.06336
557336,2.019336,5.177559,-8.618067,-338.1958,553.6914,388.79395,121.21765,37.095537,88.06336
557355,2.4834962,16.245605,-9.091797,-363.40332,555.9082,334.83887,118.22937,28.042603,88.06336
557370,7.412207,27.351954,-8.067774,-362.91504,628.05176,128.1128,115.40039,20.324707,88.09018
557387,24.366016,39.429688,-11.091992,-348.20557,697.937,-134.64355,111.708984,14.47998,88.11915
557404,43.994728,43.08076,-18.154882,-278.19824,692.3828,-425.5571,110.15991,14.661255,88.15134
557421,67.19795,37.051464,-32.3333,-210.32715,508.42285,-917.2363,110.8136,23.258057,88.180305
557438,86.84102,23.72002,-46.52129,-155.45654,228.69873,-1229.3701,114.73572,36.38672,88.209274
557455,110.40312,9.924414,-55.703808,-114.07471,-0.9765625,-1682.0068,126.430664,55.684204,88.267204
557472,144.14804,10.192383,-42.635742,-159.05762,-138.12256,-1992.1875,-156.2201,70.34546,88.29617
557489,-150.39746,8.378809,-14.288477,-155.82275,-127.68555,1999.6338,-117.84485,48.652954,88.32514
557506,147.03828,22.428028,15.427343,213.80615,301.26955,-1927.063,-108.4021,8.684692,88.32514
557523,104.97676,20.32256,9.154004,595.7031,299.92676,-1586.855,-100.81604,-20.13794,88.32514
557540,50.41162,12.135157,-9.106155,549.3164,-9.094238,-1008.5449,-90.670166,-41.68213,88.32514
557557,-2.2107422,10.938868,-26.916504,309.14307,-188.29346,-657.1655,-88.85742,-60.45227,88.32514
557574,3.7994142,27.27559,-19.461231,50.65918,-363.95264,-395.813,-102.88147,-68.37891,88.32514
557591,35.797752,28.098438,10.632617,-127.197266,-397.7661,-160.88867,-134.77478,-71.207886,88.422775
557608,37.041893,19.087988,14.862696,-120.23926,-278.56445,-55.466797,-149.63379,-69.97742,88.4732
557625,36.24756,12.058594,9.552031,-95.27588,-62.194824,10.7421875,-155.76965,-69.16443,88.52363
557642,35.615917,1.593457,4.689455,-62.5,51.818848,-34.240723,-157.96143,-70.68054,88.576195
557659,29.87373,-1.6795899,3.3496094,-78.85742,38.94043,-122.37549,-162.39441,-72.74048,88.626625
557676,21.863379,0.9043945,-0.48808593,-125.79346,-52.246094,-25.512695,-167.12952,-73.55896,88.67383
557693,19.542578,2.842383,-1.5264648,-184.63135,-131.34766,-63.90381,-173.88062,-72.438354,88.72211
557710,19.207617,-3.0912108,-0.4354492,-166.62598,-118.71338,-96.19141,179.67041,-70.8728,88.77146
557727,17.212208,-4.349707,1.2154297,-137.146,-71.83838,-127.38037,172.07886,-69.609375,88.77146
557744,15.044551,-4.8234377,1.3685547,-113.342285,-37.719727,-139.64844,166.40442,-69.25781,88.77146
557761,11.055711,-4.0817385,0.057421874,-84.59473,-18.859863,-146.54541,159.14795,-68.85132,88.77146
557778,8.775976,-3.2586913,-0.8613281,-66.16211,-13.916016,-136.35254,154.55369,-68.35144,88.77146
557795,7.354785,-3.057715,-0.83261716,-40.527344,-7.1411133,-114.01367,150.85527,-67.785645,88.61911
557812,6.1680665,-2.8280272,-0.5455078,-14.831543,4.211426,-93.322754,147.51892,-67.39014,88.467834
557829,5.2110355,-2.3495116,-0.55115237,10.559082,18.798828,-74.09668,145.81604,-67.368164,88.31978
557846,4.155516,-1.9236329,-0.84697264,39.489746,41.748047,-50.78125,144.63501,-67.71423,88.01615
557863,2.3734374,-0.7799805,-1.3924805,54.748555,55.649902,-33.26416,143.56384,-68.08777,87.86273
557880,1.3733399,-0.6125,-1.7083008,70.98389,62.74414,-12.390137,143.2782,-68.58215,87.712524
557897,0.0765625,0.79433596,-2.478711,67.0166,46.875,-4.5776367,143.55286,-68.933716,87.559105
557914,-0.34931642,0.6316406,-2.4930663,63.23242,31.12793,0.91552734,144.13513,-68.845825,87.40568
557931,-0.8086914,0.7225586,-3.3065429,51.574707,6.225586,7.6904297,146.0138,-68.37341,87.40568
557948,-0.8900391,1.2010742,-3.3783202,32.470703,-20.019551,4.8828125,147.63977,-67.48352,87.40568
557965,-0.38759765,-0.0765625,-2.9763672,24.719238,-20.568848,2.5634766,149.25476,-66.63757,87.40568
557982,0.066992186,-0.29667968,-2.631836,19.104004,-10.009766,-4.699707,151.05652,-65.77515,87.40568
557999,0.071777344,0.4928711,-1.9666992,12.207031,-0.061035156,-16.967773,151.42456,-65.2478,87.403554
558016,-0.85654294,-0.5024414,-1.3924805,9.58252,16.113281,-20.751955,151.29272,-64.819336,87.400314
